bn,progress_report_type
Q251,EC
K065,EMS
X186,D75
Q224,D75
K032,EMS
K061,EMS
K627,EC
Q317,EC
K091,EMS
K143,EMS
K145,EMS
K130,EMS
K139,EMS
K368,D75
M382,EC
K108,EMS
M178,EC
K066,EMS
M386,EC
K012,EMS
K057,EMS
K141,D75
Q256,D75
K029,EMS
K146,EMS
K128,EMS
Q341,EC
X723,D75
K024,EMS
K040,EMS
K134,EMS
K120,EMS
X352,D75
K109,EMS
K088,EMS
Q028,EC
K020,EMS
K131,EMS
K361,EC
X010,D75
K003,EMS
Q304,EC
X394,EC
K039,EMS
K044,EMS
Q075,D75
X088,EC
K095,EMS
K372,D75
R025,D75
K094,EMS
R373,D75
Q004,D75
K133,EMS
K136,EMS
K628,EC
K018,EMS
K791,EC
Q306,EC
X443,EC
K651,EC
K071,EMS
K103,EMS
K028,EMS
K105,EMS
K117,EMS
K132,EMS
