total_register,boro
162,M
27,M
27,M
5,M
53,M
17,M
30,M
22,M
94,M
24,M
80,M
20,M
52,M
167,M
21,M
22,M
21,M
27,M
225,M
22,M
10,M
198,M
29,M
35,M
19,M
11,M
28,M
32,M
27,M
225,M
20,M
322,M
77,M
44,M
43,M
36,M
26,M
20,M
58,M
15,M
22,M
17,M
33,M
26,M
19,M
29,M
58,M
27,M
57,M
65,M
25,M
16,M
32,M
12,M
62,M
24,M
153,M
225,M
86,M
21,M
95,M
33,M
23,M
48,M
21,M
168,M
26,M
17,M
12,M
11,M
29,M
12,M
47,M
25,M
51,M
25,M
225,M
32,M
37,M
62,M
58,M
32,M
20,M
53,M
167,M
25,M
64,M
25,M
20,M
32,M
21,M
60,M
37,M
76,M
27,M
80,M
38,M
36,M
56,M
21,M
43,M
22,M
162,M
19,M
18,M
22,M
27,M
34,M
13,M
12,M
55,M
80,M
51,M
19,M
31,M
44,M
17,M
23,M
92,M
21,M
24,M
12,M
159,M
30,M
15,M
22,M
26,M
10,M
21,M
29,M
41,M
19,M
26,M
20,M
167,M
22,M
163,M
168,M
168,M
57,M
168,M
19,M
29,M
12,M
80,M
32,M
35,M
22,M
21,M
26,M
35,M
63,M
167,M
162,M
63,M
28,M
31,M
21,M
25,M
52,M
10,M
22,M
26,M
63,M
52,M
13,M
167,M
175,M
24,M
25,M
30,M
18,M
18,M
161,M
22,M
54,M
69,M
58,M
58,M
23,M
175,M
58,M
-29,M
28,M
45,M
21,M
20,M
175,M
163,M
20,M
31,M
25,M
19,M
60,M
23,M
163,M
18,M
10,M
20,M
26,M
