size_of_smallest_class,size_of_largest_class,average_class_size
28.0,29.0,28.5
24.0,24.0,24.0
11.0,11.0,11.0
26.0,26.0,26.0
11.0,11.0,11.0
16.0,16.0,16.0
21.0,31.0,25.3
21.0,21.0,21.0
28.0,35.0,30.6
26.0,29.0,27.3
11.0,11.0,11.0
11.0,12.0,11.5
14.0,15.0,14.5
,,
19.0,19.0,19.0
24.0,24.0,24.0
17.0,17.0,17.0
9.0,12.0,10.7
12.0,12.0,12.0
13.0,13.0,13.0
24.0,24.0,24.0
22.0,22.0,22.0
23.0,23.0,23.0
19.0,19.0,19.0
9.0,13.0,11.0
23.0,23.0,23.0
23.0,23.0,23.0
,,
,,
19.0,19.0,19.0
18.0,18.0,18.0
21.0,21.0,21.0
27.0,29.0,28.0
18.0,18.0,18.0
15.0,15.0,15.0
22.0,25.0,23.7
25.0,25.0,25.0
17.0,17.0,17.0
,,
26.0,26.0,26.0
30.0,31.0,30.5
,,
26.0,29.0,27.7
6.0,6.0,6.0
13.0,13.0,13.0
18.0,18.0,18.0
12.0,12.0,12.0
21.0,21.0,21.0
21.0,21.0,21.0
15.0,19.0,17.0
24.0,24.0,24.0
23.0,23.0,23.0
21.0,24.0,22.5
20.0,31.0,24.0
15.0,16.0,15.5
22.0,22.0,22.0
,,
26.0,28.0,27.0
,,
24.0,25.0,24.3
27.0,27.0,27.0
24.0,24.0,24.0
29.0,30.0,29.5
14.0,14.0,14.0
23.0,23.0,23.0
27.0,27.0,27.0
29.0,29.0,29.0
26.0,26.0,26.0
18.0,20.0,19.0
19.0,19.0,19.0
11.0,11.0,11.0
21.0,31.0,25.3
21.0,21.0,21.0
22.0,22.0,22.0
17.0,21.0,19.0
13.0,15.0,14.0
23.0,28.0,24.7
17.0,17.0,17.0
24.0,24.0,24.0
17.0,17.0,17.0
27.0,27.0,27.0
21.0,21.0,21.0
11.0,11.0,11.0
,,
20.0,20.0,20.0
19.0,19.0,19.0
25.0,25.0,25.0
13.0,13.0,13.0
15.0,16.0,15.5
25.0,25.0,25.0
,,
28.0,28.0,28.0
22.0,24.0,23.0
20.0,20.0,20.0
13.0,13.0,13.0
22.0,22.0,22.0
22.0,22.0,22.0
17.0,17.0,17.0
11.0,11.0,11.0
8.0,8.0,8.0
19.0,20.0,19.5
25.0,25.0,25.0
24.0,24.0,24.0
12.0,12.0,12.0
8.0,8.0,8.0
15.0,15.0,15.0
19.0,19.0,19.0
26.0,28.0,27.0
22.0,22.0,22.0
24.0,24.0,24.0
23.0,28.0,24.7
20.0,24.0,21.3
19.0,19.0,19.0
,,
23.0,23.0,23.0
28.0,28.0,28.0
21.0,21.0,21.0
22.0,22.0,22.0
11.0,11.0,11.0
21.0,23.0,22.0
17.0,20.0,18.7
19.0,23.0,21.0
16.0,19.0,17.7
16.0,16.0,16.0
24.0,24.0,24.0
18.0,18.0,18.0
15.0,19.0,17.0
22.0,23.0,22.3
26.0,29.0,27.7
12.0,12.0,12.0
32.0,34.0,33.0
19.0,19.0,19.0
20.0,20.0,20.0
21.0,31.0,25.3
9.0,9.0,9.0
24.0,24.0,24.0
,,
29.0,29.0,29.0
19.0,21.0,20.0
23.0,28.0,24.7
32.0,32.0,32.0
20.0,31.0,24.0
17.0,17.0,17.0
18.0,19.0,18.5
12.0,14.0,13.0
17.0,17.0,17.0
29.0,29.0,29.0
20.0,20.0,20.0
19.0,19.0,19.0
19.0,19.0,19.0
7.0,12.0,9.5
11.0,11.0,11.0
23.0,24.0,23.3
24.0,24.0,24.0
28.0,29.0,28.5
20.0,31.0,24.0
9.0,9.0,9.0
24.0,24.0,24.0
26.0,26.0,26.0
22.0,23.0,22.3
28.0,35.0,30.6
19.0,21.0,20.0
28.0,35.0,30.6
,,
21.0,22.0,21.5
,,
27.0,27.0,27.0
16.0,16.0,16.0
20.0,20.0,20.0
21.0,23.0,22.0
16.0,16.0,16.0
21.0,22.0,21.5
27.0,27.0,27.0
26.0,27.0,26.5
21.0,21.0,21.0
20.0,23.0,21.5
26.0,28.0,27.0
23.0,23.0,23.0
,,
,,
16.0,19.0,17.5
21.0,21.0,21.0
20.0,31.0,24.0
21.0,21.0,21.0
23.0,23.0,23.0
23.0,28.0,24.7
27.0,27.0,27.0
26.0,28.0,27.0
21.0,31.0,25.3
35.0,35.0,35.0
25.0,28.0,26.5
16.0,16.0,16.0
20.0,20.0,20.0
22.0,22.0,22.0
17.0,17.0,17.0
12.0,12.0,12.0
21.0,22.0,21.7
12.0,15.0,13.5
21.0,21.0,21.0
28.0,34.0,31.0
