dbn,school,principal
02M475,Stuyvesant High School,Stanley Teitel
03M492,"High School for Law, Advocacy and Community Justice",Miriam Nightengale
04M038,P.S. 38 Roberto Clemente,Norma Caraballo
01M301,"Technology, Arts, and Sciences Studio",George Morgan
02M655,Life Sciences Secondary School,Genevieve Stanislaus
03M242,P.S. M242 - Gwendolyn Powell Brown Computer School,Denise Gomez
02M313,"James Baldwin School, The: A School for Expeditionary Learning",Elijah Hawkes
01M696,Bard High School Early College,Raymond Peterson
01M509,Marta Valle High School,Jayne Godlewski
01M539,"New Explorations into Science, Technology and Math",Dr. Olga Livanis
02M620,Norman Thomas High School,Philip Martin Jr
02M294,Essex Street Academy,Alex Shub
02M300,"Urban Assembly School of Design and Construction, The",Mathew Willoughby
02M543,New Design High School,Scott Conti
03M415,Wadleigh Secondary School for the Performing & Visual Arts,Herma Hall
02M655,Life Sciences Secondary School,Genevieve Stanislaus
03M166,P.S. 166 The Richard Rodgers School of The Arts and Technology,Debbie J. Hand
01M539,"New Explorations into Science, Technology and Math",Dr. Olga Livanis
02M183,P.S. 183 Robert L. Stevenson,Mary Anne Sacco
02M531,Repertory Company High School for Theatre Arts,Michael Mehmet Jr.
02M002,P.S. 002 Meyer London,Brett Gustafson
02M690,School for the Physical City High School,Junior Miller
02M414,N.Y.C. Museum School,Darlene Miller
02M422,Quest to Learn,Elisa Aragon
02M551,New York Harbor School,Nathan Dudley
03M299,"High School for Arts, Imagination and Inquiry",Stephen Noonan
03M283,Manhattan Theatre Lab High School,Evelyn Collins
02M407,Institute for Collaborative Education,John Pettinato
02M500,Unity Center for Urban Technologies,Fausto De La Rosa
02M305,"Urban Assembly Academy of Government and Law, The",David Glasner
02M111,P.S. 111 Adolph S. Ochs,Irma Medina
03M009,P.S. 009 Sarah Anderson,Diane Brady
02M896,Lower Manhattan Community Middle School,Kelly Mcguire
02M425,Leadership and Public Service High School,Lawrence Pendergast
02M158,P.S. 158 Bayard Taylor,Darryl Alhadeff
02M630,Art and Design High School,Eric Strauss
02M400,High School for Environmental Studies,Shirley H. Matthews
02M316,"Urban Assembly School of Business for Young Women, the",Patricia Minaya
03M258,Community Action School - MS 258,John Curry
02M234,P.S. 234 Independence School,Lisa Ripperger
02M413,School of the Future High School,Stacy Paige Goldstein
02M393,BUSINESS OF SPORTS SCHOOL,Joshua Solomon
02M126,P.S. 126 Jacob August Riis,Kerry Decker
01M019,P.S. 019 Asher Levy,Jacqueline Flanagan
02M289,I.S. 289,Ellen Foote
02M440,Bayard Rustin Educational Complex,Nancy Amling
01M378,School for Global Leaders,Carry Chan
02M580,Richard R. Green High School of Teaching,David Raubvogel
02M575,Manhattan Comprehensive Night and Day High School,Michael Toise
03M180,P.S. 180 Hugo Newman,Peter Mcfarlane
04M050,P.S. 050 Vito Marcantonio,Rebekah Mitchell
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,Santiago Mayol
02M047,47 The American Sign Language and English Secondary School,Watfa A. Shama
02M600,The High School of Fashion Industries,Hilda Nieto
02M392,MANHATTAN BUSINESS ACADEMY,Karen Polsonetti
01M142,P.S. 142 Amalia Castro,Rhonda Levy
02M006,P.S. 006 Lillie D. Blake,Lauren Fontana
03M044,J.H.S. M044 William J. O'Shea,Liza Ortiz
03M163,P.S. 163 Alfred E. Smith,Virginia Pepe
03M208,P.S. 208 Alain L. Locke,Susan M. Green
03M246,M.S. M246 Crossroads School,Gary Harris Eisinger
03M241,P.S. 241 Family Academy,Diana Diaz
03M505,Edward A. Reynolds West Side High School,Jean Mctavish
02M104,J.H.S. 104 Simon Baruch,Rosemarie Gaetani
01M361,The Children's Workshop School,Maria Velez Clarke
01M345,"Collaborative Academy of Science, Technology, & Language-Arts Education",Judith De Los Santos
02M296,High School of Hospitality Management,Matthew Corallo
04M013,J.H.S. 013 Jackie Robinson,Jacob Michelman
03M541,Manhattan / Hunter Science High School,Susan Kreisman
03M479,Beacon High School,Ruth Lacey
02M308,Lower Manhattan Arts Academy,John Wenk
03M075,P.S. 075 Emily Dickinson,Robert O'brien
02M529,Jacqueline Kennedy Onassis High School,Edward Demeo
03M256,M.S. 256 Academic & Athletic Excellence,Jeffrey S. Perl
02M150,P.S. 150,Maggie Siena
02M408,Professional Performing Arts High School,Keith Ryan
04M045,M.S. 45/S.T.A.R.S. Prep Academy,Maria Aviles
02M374,Gramercy Arts High School,Denise Dicarlo
04M007,P.S. 007 Samuel Stern,Racquel Jones
04M096,P.S. 096 Joseph Lanzetta,Noel Rios
02M255,M.S. 255 Salk School of Science,Jennifer Goodwin
02M560,High School M560 - City As School,Antoniette Scarpinato
03M494,High School of Arts and Technology,Anne Geiger
03M247,M.S. M247 Dual Language Middle School,Claudia Aguirre
02M520,Murry Bergtraum High School for Business Careers,Barbara A. Esmilla
01M650,Cascades High School,Paul Rotondo
03M084,P.S. 084 Lillian Weber,Robin Sundick
01M137,P.S. 137 John L. Bernstein,Melissa Rodriguez
02M130,P.S. 130 Hernando De Soto,Lily Woo
01M448,University Neighborhood High School,Elizabeth Collins
04M012,Tag Young Scholars,Janette Cesar
02M212,P.S. 212 Midtown West,Dean Ketchum
02M303,"Facing History School, The",Gillian Smith
01M034,P.S. 034 Franklin D. Roosevelt,Joyce Stallings Harte
02M413,School of the Future High School,Stacy Paige Goldstein
02M460,Washington Irving High School,Bernardo Ascona
04M037,River East Elementary,Alison Mckenzie
03M860,Frederick Douglass Academy II Secondary School,Latasha Greer
02M124,P.S. 124 Yung Wing,Alice Hom
01M839,Tompkins Square Middle School,Sonhando Estwick
03M859,Special Music School,Katherine Banucci Smith
02M429,Legacy School for Integrated Studies,Gregory Rodrigues
03M860,Frederick Douglass Academy II Secondary School,Latasha Greer
02M167,J.H.S. 167 Robert F. Wagner,Jennifer Rehn
02M416,Eleanor Roosevelt High School,Dimitri Saliani
02M225,Ella Baker School,Laura Garcia
03M250,M.S. 250 West Side Collaborative Middle School,Jeanne Rotunda
02M116,P.S. 116 Mary Lindley Murray,Jane Hsu
01M064,P.S. 064 Robert Simon,Marlon L. Hosang
02M420,High School for Health Professions and Human Services,Robert Gentile
02M041,P.S. 041 Greenwich Village,Kelly Shannon
02M042,P.S. 042 Benjamin Altman,Rosa Casiello O'day
02M376,NYC iSchool,Alisa Berger/Mary Moss
02M449,Vanguard High School,Louis Delgado
04M083,P.S. 083 Luis Munoz Rivera,Frances Castillo
02M040,P.S. 040 Augustus Saint-Gaudens,Susan Felder
03M245,M.S. M245 The Computer School,Henry Zymeck
03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,Alexandra Rathmann-Noonan
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,Kim Bruno
02M625,High School of Graphic Communication Arts,Jerod Resnick
02M550,Liberty High School Academy for Newcomers,Melodee Khristan
02M419,Landmark High School,Trevor Naidoo
03M076,P.S. 076 A. Philip Randolph,Charles Deberry
03M054,J.H.S. 054 Booker T. Washington,Elana Elster
03M165,P.S. 165 Robert E. Simon,Pedro De La Cruz
02M439,Manhattan Village Academy,Hector Geager
02M260,M.S. 260 Clinton School Writers & Artists,Joseph Anderson
01M140,P.S. 140 Nathan Straus,Esteban Barrientos
02M288,Food and Finance High School,Roger Turgeon
02M605,Humanities Preparatory Academy,Julie Conason
01M188,P.S. 188 The Island School,Mary Pree
01M450,East Side Community School,Mark Federman
02M047,47 The American Sign Language and English Secondary School,Watfa A. Shama
02M565,Urban Academy Laboratory High School,Herb Mack
02M394,EMMA LAZARUS HIGH SCHOOL,Melody Kellogg
01M315,The East Village Community School,Robin Williams
02M033,P.S. 033 Chelsea Prep,Linore Lindy
03M185,P.S. 185 John M. Langston,Jane Murphy
02M542,Manhattan Bridges High School,Mirza Sanchez Medina
01M292,Henry Street School for International Studies,Erin Balet
03M145,"P.S. 145, The Bloomingdale School",Ivelisse Alvarez
02M011,P.S. 011 William T. Harris,Robert Bender
01M332,University Neighborhood Middle School,Laura Peynado
03M307,"Urban Assembly School for Media Studies, The",Cordelia Veve
02M473,Washington Irving YABC,Roger Bradley
01M020,P.S. 020 Anna Silver,James Lee
01M110,P.S. 110 Florence Nightingale,Karen Feuer
02M519,Talent Unlimited High School,Linda Hamil
03M199,P.S. 199 Jessie Isador Straus,Katy Rosen
03M415,Wadleigh Secondary School for the Performing & Visual Arts,Herma Hall
02M459,Manhattan International High School,Alan Krull
02M586,Harvey Milk High School,Alan Nolan
04M072,The Lexington Academy,Antonio Hernandez
01M515,Lower East Side Preparatory High School,Martha Polin
01M292,Henry Street School for International Studies,Erin Balet
03M334,The Anderson School,Jodi Hyde
02M570,Satellite Academy High School,Steven Zbaida
03M403,THE GLOBAL LEARNING COLLABORATIVE,Jennifer Zinn
02M418,Millennium High School,Robert Rhodes
02M489,High School of Economics and Finance,Michael Stanzione
01M134,P.S. 134 Henrietta Szold,Loretta Caputo
03M577,Brandeis YABC,
02M003,P.S. 003 Charrette School,Lisa Siegman
03M404,INNOVATION DIPLOMA PLUS,Casey Jones
02M347,The 47 American Sign Language & English Lower School,David Bowell
03M862,Mott Hall II,Ana De Los Santos
02M089,P.S. 89,Veronica Najjar
02M217,P.S./I.S. 217 Roosevelt Island,Mandana Beckman
02M442,"Ballet Tech, NYC Public School for Dance",Roy Oneill
02M412,N.Y.C. Lab School for Collaborative Studies,Brooke Jackson
02M131,M.S. 131,Phyllis Tam
02M544,Independence High School,Ron Smolkin
02M077,P.S. 77 Lower Lab School,Mara Ratesic Koetke
01M450,East Side Community School,Mark Federman
02M298,Pace High School,Larry Gabbard
03M191,P.S. 191 Amsterdam,Maria Verdesoto
02M051,P.S. 051 Elias Howe,Nancy Sing Bock
02M312,New York City Lab Middle School for Collaborative Studies,Megan Adams
03M421,WEST PREP ACADEMY,Emily Noto
02M001,P.S. 001 Alfred E. Smith,Amy Hom
02M059,P.S. 059 Beekman Hill International,Adele Schroeter
02M407,Institute for Collaborative Education,John Pettinato
01M184,P.S. 184m Shuang Wen,Ling Ling Chou
02M615,Chelsea Career and Technical Education High School,Brian Rosenbloom
01M015,P.S. 015 Roberto Clemente,Thomas Staebell
02M290,P.S. 290 Manhattan New School,Sharon Hill
03M149,P.S. 149 Sojourner Truth,Kayrol Burgess Harper
01M364,Earth School,Alison Gail Hazut
04M057,James Weldon Johnson,Israel Soto
03M333,P.S. 333 Manhattan School for Children,Susan Rappaport
02M408,Professional Performing Arts High School,Keith Ryan
01M063,P.S. 063 William McKinley,Darlene Despeignes
01M363,Neighborhood School,Milo Novelo
03M087,P.S. 087 William Sherman,Monica Berry
02M114,East Side Middle School,David Getz
02M545,High School for Dual Language and Asian Studies,Li Yan
02M198,P.S. 198 Isador E. Ida Straus,Sharon Jeffrey Roebuck
03M470,Louis D. Brandeis High School,Dr. Eloise Messineo
03M243,M.S. 243 Center School,Elaine Schwartz
02M411,Baruch College Campus High School,Alicia Perez-Katz
