dbn,school_name,parent_horizon_communication,student_safety_and_respect,enrollment,parent_horizon_academic,student_horizon_communication,student_horizon_academic
75K036,P.S. K036,40.0,5.5,289.0,55.0,31.4,32.0
75K371,P.S. 371 - Lillian L. Rashkis,95.0,6.9,287.0,85.0,48.6,40.0
75K368,P.S. 368,70.0,6.9,276.0,70.0,51.4,60.0
75K753,P.S. K753 - School for Career Development,0.0,6.7,368.0,0.0,40.0,40.0
75M138,P.S. 138,55.0,6.5,420.0,50.0,34.3,36.0
75X012,P.S. X012 Lewis and Clark School,60.0,6.8,266.0,55.0,25.7,48.0
75Q721,P.S. Q721 - Queens Occupational Training Center,65.0,8.6,417.0,60.0,88.6,88.0
75K811,P.S. K811 Connie Lekas School,25.0,7.9,432.0,25.0,74.3,72.0
75X168,P.S. 168,35.0,7.0,365.0,35.0,51.4,68.0
75K141,P.S. K141,50.0,6.4,384.0,55.0,42.9,44.0
75X186,P186X Walter J. Damrosch School,45.0,7.0,399.0,55.0,74.3,84.0
75Q811,P.S. Q811,45.0,7.8,357.0,50.0,34.3,68.0
75Q023,P.S. Q023 @ Queens Children Center,90.0,7.5,397.0,80.0,37.1,60.0
75X010,P.S. X010,65.0,7.2,433.0,70.0,65.7,72.0
75M169,P.S. M169 - Robert F. Kennedy,20.0,5.7,239.0,35.0,11.4,20.0
75K771,P.S. K771,65.0,8.3,379.0,65.0,97.1,92.0
75Q177,P.S. Q177,75.0,8.5,484.0,75.0,91.4,84.0
75Q004,P.S. Q004,75.0,6.3,398.0,75.0,20.0,20.0
75X188,P.S. X188,80.0,7.0,380.0,80.0,40.0,60.0
75Q993,P.S. Q993,85.0,7.8,393.0,85.0,74.3,56.0
75R037,P.S. R037,75.0,5.8,300.0,65.0,77.1,52.0
75M094,P.S. M094,10.0,6.9,206.0,5.0,28.6,56.0
75Q233,P.S. Q233,55.0,7.0,372.0,55.0,54.3,44.0
75M079,P.S. M079 - Horan School,65.0,7.3,341.0,75.0,68.6,56.0
75Q075,Robert E. Peary School,45.0,7.2,320.0,70.0,51.4,76.0
75X754,J. M. Rapport School Career Development,10.0,6.8,633.0,10.0,42.9,44.0
75K373,P.S. 373 - Brooklyn Transition Center,45.0,7.7,355.0,60.0,77.1,68.0
75K369,P.S. K369  - Coy L. Cox School,40.0,6.3,556.0,60.0,42.9,36.0
75K372,P.S. 372 -The Children's School,45.0,,174.0,70.0,,
75M226,P.S. M226,55.0,7.7,276.0,60.0,40.0,44.0
75Q009,P.S. 009,25.0,5.9,422.0,20.0,34.3,52.0
75R373,P.S. R373,45.0,7.2,397.0,50.0,85.7,100.0
75Q224,P.S. Q224,65.0,7.4,420.0,60.0,42.9,40.0
75K396,P.S. K396,55.0,,288.0,30.0,,
75K004,P.S. K004,95.0,,311.0,90.0,,
75X721,P.S. X721 - Stephen McSweeney School,35.0,7.9,481.0,45.0,65.7,76.0
75Q752,Queens School for Career Development,15.0,7.4,467.0,25.0,65.7,56.0
75M721,P.S. M721 - Manhattan Occupational Training Center,65.0,7.8,253.0,70.0,62.9,56.0
75K721,P.S. K721 - Brooklyn Occupational Training Center,50.0,7.4,474.0,60.0,71.4,60.0
75M035,P.S. 035,80.0,6.3,284.0,75.0,14.3,40.0
75X017,P.S. X017,55.0,6.7,363.0,65.0,48.6,52.0
75M811,P.S. M811 - Mickey Mantle School,65.0,6.3,339.0,70.0,51.4,64.0
75R025,South Richmond High School I.S./P.S. 25,45.0,6.5,501.0,50.0,37.1,40.0
75M751,Manhattan School for Career Development,55.0,6.3,245.0,60.0,22.9,4.0
75K077,P.S. K077,45.0,8.0,284.0,50.0,91.4,60.0
75X811,P.S. X811,60.0,7.4,632.0,65.0,54.3,52.0
75R721,The Richard H. Hungerford School,70.0,8.6,312.0,65.0,74.3,68.0
75K231,P.S. K231,45.0,8.8,294.0,40.0,85.7,80.0
75X723,X723,35.0,7.0,394.0,35.0,57.1,52.0
75K053,P.S. K053,65.0,8.3,366.0,75.0,88.6,88.0
75X176,P.S. X176,90.0,8.8,557.0,85.0,100.0,76.0
75Q255,P.S. Q255,80.0,7.3,386.0,70.0,37.1,40.0
75Q256,P.S. Q256,75.0,6.6,427.0,75.0,42.9,40.0
75X352,The Vida Bogart School for All Children,65.0,6.8,282.0,70.0,68.6,60.0
75K140,P.S. K140,10.0,6.6,303.0,15.0,8.6,28.0
75K370,P.S. 370,60.0,6.1,199.0,65.0,17.1,16.0
