horizion_communication_score,teacher_horizon_engagement,school_type,teacher_academic_expectations,teacher_horizon_academic,student_engagement_score,student_horizon_safety_and,parent_safety_and_respect,teacher_horizon_safety_and,teacher_horizon_communication,horizion_engagement_score,student_communication_score,teacher_safety_and_respect,horizion_academic_expectations
70.4,100.0,special education school,7.8,79.4,6.7,58.5,8.8,81.8,92.9,77.5,6.4,8.0,66.7
51.0,53.1,special education school,6.7,47.1,7.6,51.2,9.0,45.5,39.3,69.2,6.5,6.8,61.9
38.6,59.4,special education school,7.3,64.7,7.4,41.5,7.0,48.5,71.4,49.2,6.5,6.9,33.3
69.8,65.6,special education school,6.8,50.0,7.8,65.9,8.3,48.5,64.3,70.2,7.8,6.9,61.9
67.6,28.1,special education school,5.7,17.6,8.8,90.2,8.9,42.4,32.1,71.8,8.2,6.7,52.4
48.6,53.1,special education school,7.6,73.5,6.5,9.8,7.9,54.5,78.6,33.2,6.2,7.1,57.1
83.4,59.4,special education school,7.8,79.4,8.5,82.9,8.6,75.8,64.3,81.9,8.2,7.8,85.7
58.7,56.3,special education school,6.7,47.1,7.4,58.5,8.6,54.5,57.1,61.8,7.0,7.1,52.4
65.1,65.6,special education school,7.8,79.4,7.3,39.0,8.4,69.7,75.0,66.7,6.6,7.6,71.4
67.5,50.0,special education school,7.1,58.8,7.2,43.9,8.8,42.4,57.1,64.3,6.8,6.7,61.9
52.8,12.5,special education school,5.9,23.5,,,8.5,45.5,57.1,11.1,,6.8,4.8
67.3,68.8,special education school,7.8,79.4,8.2,46.3,8.6,63.6,82.1,77.8,7.0,7.4,66.7
56.5,46.9,special education school,7.1,58.8,7.7,43.9,8.5,36.4,50.0,63.6,6.9,6.5,66.7
9.3,21.9,special education school,5.7,17.6,7.2,43.9,8.1,30.3,10.7,22.7,6.1,6.3,19.0
63.7,100.0,special education school,8.7,100.0,,,8.7,100.0,71.4,100.0,,8.8,95.2
57.7,65.6,special education school,7.8,79.4,6.6,29.3,8.9,75.8,85.7,57.2,5.8,7.8,61.9
41.5,25.0,special education school,5.9,23.5,7.4,70.7,8.7,57.6,3.6,49.6,7.3,7.2,42.9
54.6,31.3,special education school,6.4,38.2,6.9,39.0,8.6,42.4,25.0,38.1,7.5,6.7,52.4
51.2,87.5,special education school,7.8,79.4,8.0,68.3,8.7,87.9,75.0,84.3,6.3,8.2,71.4
8.8,9.4,special education school,7.0,55.9,6.8,39.0,7.7,15.2,39.3,10.1,5.4,5.8,33.3
30.3,18.8,special education school,5.6,14.7,7.8,56.1,8.1,18.2,10.7,35.6,7.4,5.9,23.8
53.2,59.4,special education school,7.0,55.9,7.1,46.3,8.2,54.5,64.3,46.7,6.9,7.1,52.4
89.0,78.1,special education school,8.2,91.2,7.4,68.3,9.1,87.9,85.7,82.8,7.7,8.2,85.7
56.1,43.8,special education school,6.6,44.1,8.1,46.3,8.4,42.4,35.7,62.9,7.7,6.7,61.9
94.3,90.6,special education school,7.8,79.4,8.5,90.2,8.9,87.9,82.1,100.0,8.3,8.2,85.7
41.7,50.0,special education school,7.0,55.9,7.1,34.1,8.2,54.5,50.0,45.1,6.4,7.1,47.6
100.0,93.8,special education school,7.8,79.4,8.4,97.6,8.9,87.9,92.9,100.0,8.9,8.2,85.7
44.6,25.0,special education school,5.3,5.9,8.0,53.7,8.7,18.2,3.6,59.5,7.5,5.9,38.1
74.4,62.5,special education school,6.9,52.9,,,9.0,78.8,50.0,78.0,,7.9,66.7
35.8,40.6,special education school,6.1,29.4,6.4,34.1,8.7,45.5,32.1,31.5,6.3,6.8,33.3
36.7,56.3,special education school,7.2,61.8,7.2,31.7,8.3,42.4,42.9,64.3,5.6,6.7,61.9
60.7,37.5,special education school,6.2,32.4,9.7,56.1,8.5,33.3,32.1,86.7,8.1,6.4,71.4
95.0,100.0,special education school,9.0,100.0,8.5,90.2,8.9,100.0,100.0,100.0,7.7,8.7,95.2
32.9,43.8,special education school,6.6,44.1,7.2,43.9,7.6,18.2,50.0,35.8,6.6,5.9,33.3
50.1,59.4,special education school,7.6,73.5,7.4,48.8,8.4,69.7,53.6,54.7,7.1,7.6,57.1
8.3,40.6,special education school,5.9,23.5,6.7,17.1,8.1,30.3,28.6,30.8,5.5,6.3,19.0
53.2,46.9,special education school,6.2,32.4,7.3,39.0,8.6,39.4,53.6,51.2,6.8,6.6,47.6
83.0,87.5,special education school,7.6,73.5,5.6,22.0,9.0,81.8,71.4,53.6,7.8,8.0,66.7
63.6,53.1,special education school,7.1,58.8,6.9,31.7,8.6,66.7,67.9,53.9,6.9,7.5,66.7
44.6,46.9,special education school,6.7,47.1,8.2,53.7,8.8,45.5,42.9,68.3,6.9,6.8,66.7
38.9,31.3,special education school,6.5,41.2,7.3,41.5,7.6,9.1,46.4,50.0,6.0,5.6,47.6
49.3,56.3,special education school,6.8,50.0,8.1,70.7,8.4,75.8,39.3,66.2,7.4,7.8,57.1
18.3,21.9,special education school,5.4,8.8,7.4,19.5,8.1,21.2,17.9,27.5,6.3,6.0,19.0
25.5,28.1,special education school,6.1,29.4,6.7,29.3,8.6,12.1,25.0,39.4,5.9,5.7,23.8
46.7,50.0,special education school,6.5,41.2,7.2,29.3,8.6,51.5,60.7,50.2,6.6,7.0,42.9
78.1,75.0,special education school,7.8,79.4,7.9,51.2,8.8,69.7,82.1,79.5,7.4,7.6,81.0
42.6,31.3,special education school,6.5,41.2,7.1,29.3,8.5,45.5,42.9,37.2,6.6,6.8,42.9
54.9,43.8,special education school,7.5,70.6,7.5,58.5,8.8,51.5,50.0,65.6,6.4,7.0,76.2
18.0,12.5,special education school,5.7,17.6,6.3,22.0,8.8,6.1,14.3,22.6,5.7,5.5,23.8
68.6,53.1,special education school,6.4,38.2,7.5,78.0,8.5,54.5,39.3,60.3,8.3,7.1,47.6
34.6,40.6,special education school,6.2,32.4,7.7,63.4,8.7,54.5,25.0,54.1,6.5,7.1,38.1
67.8,65.6,special education school,7.1,58.8,7.9,61.0,8.7,63.6,64.3,76.6,7.6,7.4,61.9
93.3,75.0,special education school,7.9,82.4,8.2,80.5,8.7,75.8,78.6,83.6,8.5,7.8,90.5
75.1,50.0,special education school,7.0,55.9,8.0,92.7,8.3,57.6,64.3,63.2,8.1,7.2,61.9
62.6,78.1,special education school,7.7,76.5,7.0,58.5,8.8,63.6,78.6,67.4,6.6,7.4,61.9
70.1,65.6,special education school,7.4,67.6,8.3,70.7,8.2,63.6,82.1,69.7,7.7,7.4,61.9
