shape_area,cb2010,borocode
19784.3873397,1000,5
2173.04811911,1003,5
148433.51514,1004,5
187430.289811,1003,5
179431.084464,1002,5
165818.338797,1003,5
118085.889664,1000,5
55427.0608369,1000,5
51315.9803927,1001,5
264822.03395,1004,5
64399.6187314,1000,5
43232.1911419,1000,5
121457.401697,1000,5
130422.274796,1003,5
102152.458422,1001,5
111075.100974,1003,5
107222.467556,1002,5
95287.8854269,1002,5
231733.795825,1004,5
106572.771592,1003,5
75383.72072,1002,5
224021.46533,1001,5
379580.555545,1002,5
139065.090067,1004,5
324449.571265,1002,5
92737.7479014,1000,5
139084.021423,1000,5
222164.713056,1001,5
268308.104361,1002,5
107577.574883,1001,5
170250.765,1000,5
180499.290599,1003,5
88275.8353443,1003,5
174853.562565,1002,5
44646.6114362,1003,5
83977.5379528,1003,5
87166.9040277,1003,5
200784.982138,1000,5
280349.089641,1002,5
111006.257729,1000,5
21220.9924063,1003,5
93319.7971403,1004,5
158261.542262,1001,5
184551.235928,1003,5
150467.347989,1004,5
137191.111018,1001,5
93793.4111971,1004,5
310745.368373,1000,5
65630.8933912,1001,5
95706.5475383,1004,5
54874.9021721,1002,5
104352.669086,1002,5
407806.181353,1001,5
102807.22403,1003,5
215177.927522,1000,5
203357.905513,1000,5
120653.211235,1002,5
227560.56452,1003,5
103595.683625,1001,5
145568.417897,1003,5
146697.810388,1002,5
311389.510031,1001,5
428607.224506,1003,5
101042.836806,1002,5
612875.287568,1002,5
81631.7014371,1003,5
123760.280834,1003,5
34417.2101977,1002,5
180343.183712,1003,5
188445.513963,1001,5
93007.9508479,1001,5
81140.7223725,1001,5
72346.3208258,1001,5
171030.740972,1003,5
9148.42503636,1001,5
101135.935617,1003,5
123560.550054,1000,5
101361.151691,1001,5
105768.427688,1003,5
239070.905426,1002,5
34583.7913231,1001,5
163453.412921,1004,5
66684.0963788,1000,5
193220.708983,1002,5
150406.766022,1000,5
133777.06883,1003,5
148440.977522,1004,5
205770.940883,1000,5
111326.378264,1002,5
141296.561149,1000,5
198803.579506,1002,5
78186.2725051,1002,5
278572.737569,1003,5
203393.790563,1002,5
23823.1201731,1001,5
307853.179778,1004,5
159701.403496,1002,5
99810.3217483,1002,5
305282.202124,1000,5
400307.63139,1000,5
125034.69893,1003,5
110567.361232,1000,5
133112.60929,1003,5
148817.039165,1002,5
191269.136703,1001,5
25426.9405662,1003,5
198995.186229,1003,5
581749.013137,1000,5
20894.9123168,1000,5
82325.4277334,1001,5
135649.780899,1002,5
150054.663555,1001,5
383819.330979,1003,5
165419.479435,1002,5
279704.555183,1002,5
139819.216872,1000,5
100335.412167,1002,5
167884.050792,1003,5
189063.155456,1001,5
105157.157527,1003,5
93902.0489833,1004,5
175787.846929,1001,5
203238.066449,1004,5
6454.95626426,1003,5
103812.300819,1002,5
206721.14429,1002,5
164263.475943,1000,5
60939.8005774,1003,5
104379.714494,1002,5
74445.5789174,1002,5
93162.6522247,1002,5
109154.937476,1001,5
281603.71817,1002,5
296990.228692,1003,5
204803.92093,1004,5
197337.241666,1002,5
152585.89843,1003,5
140593.931111,1002,5
504712.960913,1003,5
159883.050974,1000,5
104903.989419,1002,5
58943.9991866,1003,5
169559.269587,1003,5
98712.5539732,1004,5
27925.7347417,1001,5
149575.999736,1003,5
109506.972671,1000,5
135974.165871,1003,5
252525.70016,1001,5
82351.7246071,1002,5
93432.430447,1003,5
142547.334738,1003,5
138383.352412,1001,5
215702.475221,1003,5
120145.422003,1003,5
14341.3977033,1002,5
141138.044544,1001,5
254756.415792,1001,5
125148.598003,1003,5
224290.427455,1001,5
9380.00793508,1002,5
99106.607068,1004,5
223815.328127,1003,5
122114.379232,1002,5
229494.574092,1004,5
244589.571777,1000,5
137370.552848,1003,5
183061.337294,1000,5
30542.0927155,1001,5
145503.149937,1001,5
210828.916863,1000,5
214008.287457,1001,5
234729.211352,1003,5
120353.317718,1002,5
229143.562255,1000,5
351026.977948,1002,5
411733.146776,1002,5
115178.857464,1003,5
235931.234893,1001,5
90731.1458939,1001,5
98015.989508,1002,5
66609.9720249,1003,5
195859.722495,1001,5
123747.053431,1002,5
83807.320252,1003,5
113324.408715,1001,5
60018.9328484,1004,5
238454.286882,1002,5
156313.747867,1004,5
154054.813816,1003,5
237906.251506,1003,5
61555.7570984,1002,5
108587.98559,1001,5
172181.617501,1002,5
496338.355387,1001,5
153304.829434,1000,5
99453.7083265,1003,5
117515.765931,1001,5
125743.854976,1002,5
206118.07658,1001,5
