dbn,school,principal,peer_index,_2011_2012_additional_credit,_2009_10_progress_report
02M041,P.S. 041 Greenwich Village,Kelly Shannon,10.81,3.2,B
01M142,P.S. 142 Amalia Castro,Rhonda Levy,62.7,3.9,B
05M036,P.S. 036 Margaret Douglas,Cynthia Mullins-Simmons,60.31,2.9,B
20K682,THE ACADEMY OF TALENTED SCHOLARS,Josephin Sportella-Giust,18.77,1.4,.
29Q251,P.S. 251 Queens,Edna Loncke,49.08,2.8,C
02M347,The 47 American Sign Language & English Lower Sc,David Bowell,68.03,2.6,B
75Q009,P.S. 009,Robert Wojnarowski,,4.9,B
03M415,Wadleigh Secondary School for the Performing & V,Herma Hall,2.15,1.8,C
02M059,P.S. 059 Beekman Hill International,Adele Schroeter,14.61,2.2,B
04M057,James Weldon Johnson,Israel Soto,65.54,4.8,A
75X017,P.S. X017,Robin Cohen,,6.8,A
03M199,P.S. 199 Jessie Isador Straus,Katy Rosen,10.8,1.7,A
02M413,School of the Future High School,Stacy Paige Goldstein,3.14,1.9,B
01M034,P.S. 034 Franklin D. Roosevelt,Joyce Stallings Harte,67.83,4.4,B
03M242,PS M242-Gwendolyn Powell Brown Computer School,Denise Gomez,65.15,2.5,C
01M450,East Side Community School,Mark Federman,2.17,4.7,A
04M377,Renaissance School of the Arts,Tammy Pate,1.89,4.9,A
04M037,River East Elementary,Don Catlin,59.11,1.8,B
04M406,GLOBAL TECHNOLOGY PREPARATORY,Chrystina Russell,2.09,4.8,.
01M301,"Technology, Arts, and Sciences Studio",George Morgan,2.04,3.6,C
75K369,P.S. K369 - Coy L. Cox School,Rudy Giuliani,,5.5,B
03M087,P.S. 087 William Sherman,Monica Berry,14.5,3.0,B
03M256,M.S. 256 Academic & Athletic Excellence,Jeffrey S. Perl,1.95,3.9,C
84K797,New Hope Academy Charter School,Keishea Allen,52.66,1.1,.
02M089,P.S. 89,Veronica Najjar,10.99,2.6,B
04M072,The Lexington Academy,Antonio Hernandez,71.69,5.4,A
03M333,P.S. 333 Manhattan School for Children,Susan Rappaport,21.84,2.9,C
75M811,P.S. M811 - Mickey Mantle School,Barry Daub,,6.2,F
04M045,M.S. 45/S.T.A.R.S. Prep Academy,Tomasz Grabski,1.93,2.6,C
02M051,P.S. 051 Elias Howe,Nancy Sing Bock,49.67,3.0,B
01M063,P.S. 063 William McKinley,Darlene Despeignes,59.43,4.8,B
03M250,M.S. 250 West Side Collaborative Middle School,Jeanne Rotunda,2.2,2.6,A
02M040,P.S. 040 Augustus Saint-Gaudens,Susan Felder,15.27,3.5,A
11X169,BAYCHESTER ACADEMY,Cristine Vaughan,54.07,1.3,.
01M137,P.S. 137 John L. Bernstein,Melissa Rodriguez,61.67,4.6,C
04M964,Central Park East II,Naomi Smith,44.12,1.8,B
02M255,M.S. 255 Salk School of Science,Rhonda Perry,3.56,2.5,B
02M655,Life Sciences Secondary School,Genevieve Stanislaus,2.18,4.2,C
03M859,Special Music School,Katherine Banucci-Smith,7.11,1.0,A
03M009,P.S. 009 Sarah Anderson,Diane Brady,19.16,1.5,B
01M134,P.S. 134 Henrietta Szold,Loretta Caputo,52.29,2.5,B
02M312,New York City Lab Middle School for Collaborativ,Megan Adams,3.61,3.1,A
75X723,P.S. 723,Christine Walsh,,6.0,C
02M896,Lower Manhattan Community Middle School,Kelly Mcguire,2.52,4.2,C
75K053,P.S. K053,Heather Leykam,,5.2,B
03M247,M.S. M247 Dual Language Middle School,Claudia Aguirre,2.36,7.0,A
25Q242,P.S. 242 Leonard P. Stavisky Early Childhood Sch,Patricia Costa,27.47,5.6,A
03M258,Community Action School - MS 258,John Curry,2.16,3.9,A
75Q224,P.S. Q224,Desmond Park,,5.8,B
17K249,P.S. 249 The Caton,Ms. Elisa Brown,57.87,5.3,A
01M015,P.S. 015 Roberto Clemente,Irene Sanchez,73.38,2.4,C
02M158,P.S. 158 Bayard Taylor,Darryl Alhadeff,15.08,3.9,A
04M102,P.S. 102 Jacques Cartier,Sandra Gittens,65.44,5.1,A
02M198,P.S. 198 Isador E. Ida Straus,Sharon Jeffrey Roebuck,41.13,2.3,B
04M375,Mosaic Preparatory Academy,Lisette Caesar,65.75,6.1,B
75K368,P.S. 368,Joycelyn Nedd,,2.5,D
01M363,Neighborhood School,Milo Novelo,31.97,3.1,C
03M241,P.S. 241 Family Academy,Diana Diaz,64.17,2.0,C
02M001,P.S. 001 Alfred E. Smith,Amy Hom,37.87,2.5,B
01M188,P.S. 188 The Island School,Mary Pree,71.58,4.7,C
75M094,P.S. M094,Ronnie Shuster,,3.3,C
04M096,P.S. 096 Joseph Lanzetta,Betty Lugo,65.2,3.2,C
03M180,P.S. 180 Hugo Newman,Peter Mcfarlane,50.78,3.4,C
01M184,P.S. 184m Shuang Wen,"Iris Chiu, I.A.",19.3,2.7,A
04M206,P.S. 206 Jose Celso Barbosa,Camille Forbes,65.06,5.2,C
02M011,P.S. 011 William T. Harris,Robert Bender,27.15,3.0,A
06M178,Professor Juan Bosch Public School,Deirdre Budd,54.84,6.3,B
75X188,P.S. X188,Shanie Johnson,,3.1,C
02M276,BATTERY PARK CITY SCHOOL,Theresa Ruyter,13.23,4.3,.
05M046,P.S. 046 Arthur Tappan,George Young,62.5,2.7,C
01M064,P.S. 064 Robert Simon,Marlon L. Hosang,60.73,4.1,C
05M154,P.S. 154 Harriet Tubman,Elizabeth Jarrett,66.49,3.9,C
24Q028,P.S. 28 - The Thomas Emanuel Early Childhood Cen,Laura Pessutti,59.84,7.2,A
75R373,P.S. R373,Ilene Goldstein- Harn,,6.5,B
02M116,P.S. 116 Mary Lindley Murray,Jane Hsu,21.19,1.9,B
05M123,P.S. 123 Mahalia Jackson,Beverly Lewis,64.19,3.6,C
84K737,Brownsville Ascend Charter School,Kelly Bowers/Angela Beal,52.68,1.7,.
03M860,Frederick Douglass Academy II Secondary School,Osei Owusu-Afriyie,2.09,2.9,C
05M092,P.S. 092 Mary McLeod Bethune,Rosa Davila,65.86,4.3,B
02M289,I.S. 289,Ellen Foote,3.2,2.9,B
30Q222,P.S. Q222 - Fire Fighter Christopher A. Santora,Yvonne Marrero,51.07,5.8,A
04M083,P.S. 083 Luis Munoz Rivera,Frances Castillo,52.6,2.3,A
02M126,P.S. 126 Jacob August Riis,Jacqueline Getz,35.0,4.5,A
09X449,GRANT AVENUE ELEMENTARY SCHOOL,Kristin Erat,65.17,2.9,.
03M862,Mott Hall II,Ana De Los Santos,3.02,3.6,A
03M191,P.S. 191 Amsterdam,Maria Verdesoto,54.31,4.9,C
10X023,P.S. 023 The New Children's School,Shirley Torres,73.2,5.8,C
04M012,Tag Young Scholars,Janette Cesar,33.36,1.1,A
75R025,South Richmond High School I.S./P.S. 25,James Mckeon,,5.7,B
02M033,P.S. 033 Chelsea Prep,Linore Lindy,37.56,2.9,A
04M038,P.S. 38 Roberto Clemente,Norma Caraballo,69.37,6.4,C
03M245,M.S. M245 The Computer School,Henry Zymeck,3.11,3.0,B
75X352,The Vida Bogart School for All Children,Lourdes Mendez,,5.0,B
84M483,New York French American Charter School,Stephen V. Peters,39.4,2.1,.
05M030,P.S. 030 Hernandez/Hughes,Teri Stinson,70.62,4.9,A
84X461,Metropolitan Lighthouse Charter School,Courtney Russell,55.85,3.0,.
84K734,The Ethical Community Charter School (TECCS),Ann Mooney,53.62,1.1,.
04M224,M.S. 224 Manhattan East School for Arts & Academ,Liliana Sarro,3.29,1.5,C
01M140,P.S. 140 Nathan Straus,Esteban Barrientos,64.64,3.6,B
02M130,P.S. 130 Hernando De Soto,Lily Woo,23.15,2.9,A
01M364,Earth School,Alison Gail Hazut,31.56,4.1,D
01M345,"Collaborative Academy of Science, Technology, &",Judith De Los Santos,2.38,3.3,B
05M161,P.S. 161 Pedro Albizu Campos,Pamela Price Haynes,65.64,4.0,B
25Q130,P.S. 130,Michelle Contratti,17.92,3.4,A
01M332,University Neighborhood Middle School,Laura Peynado,1.94,3.3,B
24Q007,P.S. 007 Louis F. Simeone,Sara Tucci,35.55,4.1,B
05M129,P.S. 129 John H. Finley,Odelphia Pierre,62.61,4.2,B
04M171,P.S. 171 Patrick Henry,Dimitres Pantelidis,54.7,5.5,A
04M146,P.S. 146 Ann M. Short,Mona Silfen,75.42,4.5,C
28Q182,P.S. 182 Samantha Smith,Andrew Todd Topol,46.18,4.0,D
02M042,P.S. 042 Benjamin Altman,Rosa Casiello O'day,28.66,4.6,A
04M497,Central Park East I,Lindley Uehling/Julia Zucke,34.14,2.2,C
01M539,"New Explorations into Science, Technology and Ma",Dr. Olga Livanis,10.44,1.6,A
04M112,P.S. 112 Jose Celso Barbosa,Eileen Reiter,63.85,6.2,B
02M407,Institute for Collaborative Education,John Pettinato,3.51,1.1,C
05M125,P.S. 125 Ralph Bunche,Reginald Higgins,61.55,4.4,B
84K379,Explore Excel Charter School,Ethan Mitnick,52.44,.,.
75X168,P.S. 168,Rosa Nieves Greene,,4.6,D
09X088,P.S. X088 - S. Silverstein Little Sparrow School,Melinda Hyer,67.3,3.9,B
75K036,P.S. 36,Johanna Schneider,,5.3,C
