rostercount,gradelevel
107,02
27,01
79,05
25,04
28,03
39,0K
41,01
26,01
43,05
76,05
43,01
27,03
38,0K
47,03
77,04
18,PK
23,04
25,04
47,02
29,02
122,0K
85,03
25,01
51,04
44,02
54,PK
108,02
18,PK
27,03
25,01
32,PK
18,PK
119,0K
38,0K
38,0K
78,04
43,05
41,01
30,PK
86,03
18,PK
79,04
28,03
48,03
31,PK
77,05
43,05
27,05
30,02
51,04
121,0K
32,PK
120,0K
54,PK
54,PK
23,04
47,03
41,0K
18,PK
30,PK
45,01
76,05
48,02
18,PK
28,PK
43,05
75,05
110,01
107,01
23,04
30,01
39,0K
54,PK
27,01
121,0K
47,03
79,05
108,02
43,05
24,05
49,02
24,05
51,04
25,01
26,05
38,0K
107,01
51,04
85,03
26,05
42,01
38,0K
39,0K
78,04
44,0K
30,02
41,0K
47,03
119,0K
25,04
28,03
109,02
27,02
24,04
43,0K
46,01
26,03
108,01
81,04
24,05
106,02
31,02
43,05
33,01
30,03
18,PK
39,0K
76,05
26,02
86,03
30,PK
52,03
24,05
120,0K
52,04
41,0K
85,03
26,04
119,0K
78,05
18,PK
41,0K
108,02
54,PK
47,01
24,04
109,02
30,PK
45,02
28,03
51,04
26,05
43,05
30,PK
107,01
41,01
51,04
119,0K
48,03
45,02
43,05
108,01
41,0K
51,04
107,02
32,PK
41,0K
30,03
46,01
78,04
107,01
42,0K
52,04
87,03
24,04
108,02
84,03
41,01
55,PK
46,02
31,03
26,01
25,02
30,02
109,01
46,02
49,03
49,03
54,PK
24,02
24,05
108,01
18,PK
51,04
42,0K
46,02
45,02
47,03
26,05
80,04
54,PK
85,03
41,0K
42,05
43,05
27,01
78,04
18,PK
29,02
54,PK
