school,monthcode
01M020,2
01M015,2
01M020,8
01M015,10
01M015,10
01M015,3
01M019,9
01M015,6
01M019,3
01M020,3
01M019,5
01M015,7
01M015,10
01M019,10
01M020,4
01M015,1
01M015,4
01M015,7
01M019,2
01M015,10
01M020,4
01M020,7
01M015,10
01M019,8
01M019,10
01M020,1
01M020,6
01M015,5
01M015,1
01M015,8
01M019,2
01M015,7
01M020,6
01M015,4
01M015,5
01M020,8
01M019,4
01M019,7
01M019,8
01M020,2
01M015,9
01M020,6
01M015,6
01M019,3
01M019,5
01M020,5
01M019,5
01M015,6
01M015,6
01M019,7
01M020,8
01M019,3
01M020,9
01M020,9
01M020,4
01M015,5
01M019,4
01M019,10
01M015,6
01M019,7
01M019,4
01M020,2
01M019,6
01M015,8
01M019,1
01M019,6
01M020,1
01M020,4
01M020,3
01M015,3
01M015,4
01M019,2
01M020,8
01M015,5
01M020,1
01M019,8
01M020,7
01M020,3
01M019,10
01M015,5
01M019,1
01M015,4
01M019,9
01M015,9
01M015,8
01M015,6
01M020,2
01M019,2
01M020,6
01M015,10
01M019,6
01M015,7
01M015,8
01M020,5
01M019,5
01M015,8
01M019,4
01M019,9
01M020,5
01M015,8
01M015,3
01M020,5
01M015,4
01M015,2
01M019,6
01M019,3
01M015,2
01M020,6
01M020,1
01M015,2
01M020,1
01M015,9
01M019,9
01M015,1
01M015,4
01M015,4
01M015,9
01M020,4
01M015,1
01M020,3
01M019,9
01M019,1
01M015,1
01M020,7
01M019,6
01M019,9
01M020,8
01M015,9
01M020,3
01M020,6
01M015,2
01M019,7
01M020,4
01M020,3
01M019,1
01M015,1
01M020,8
01M019,10
01M019,8
01M015,9
01M019,5
01M015,7
01M019,7
01M019,6
01M020,1
01M019,8
01M019,3
01M020,2
01M019,5
01M019,7
01M019,1
01M020,5
01M015,1
01M019,4
01M020,9
01M019,4
01M019,3
01M015,8
01M019,2
01M020,3
01M020,9
01M019,8
01M019,1
01M020,1
01M015,6
01M020,7
01M020,5
01M019,10
01M020,5
01M019,5
01M015,5
01M015,7
01M015,2
01M015,5
01M020,8
01M019,4
01M019,6
01M019,2
01M020,7
01M015,3
01M015,3
01M020,7
01M015,10
01M019,10
01M019,1
01M019,3
01M019,9
01M019,7
01M015,9
01M020,7
01M020,6
01M020,4
01M015,2
01M019,2
01M019,8
01M015,3
01M020,2
01M015,3
01M015,7
01M020,2
