school_name,total_engagement_score,total_teacher_response_rate
P.S. X012 Lewis And Clark School,6.2,0.21
P.S. 368,7.2,0.85
P.S. M079 - Horan School,7.1,0.92
P.S. K140,6.9,0.65
P.S. K004,7.7,0.96
South Richmond High School I.S./P.S. 25,7.8,0.73
P.S. Q023 @ Queens Children Center,7.4,0.67
P.S. 372 -The Children'S School,8.2,0.7
P.S. X176,8.0,0.35
P.S. 009,7.5,0.58
P.S. X721 - Stephen Mcsweeney School,8.1,0.42
P.S. K753 - School For Career Development,7.7,0.75
P.S. K396,8.0,0.88
P.S. K053,8.2,0.89
P.S. 370,8.0,0.77
P.S. 371 - Lillian L. Rashkis,7.7,0.55
Robert E. Peary School,7.7,0.48
P.S. X017,7.2,0.74
