student_perf_11_12,progress_rpt_10_11
A,A
,
A,B
A,
,
B,B
A,B
A,B
B,B
A,B
,
,
C,
A,B
A,A
C,B
D,D
,
,
B,B
,
A,A
B,B
B,B
A,A
B,C
A,B
B,
A,A
A,A
A,A
F,C
F,B
C,B
A,B
C,C
B,A
C,C
A,B
B,A
C,C
D,D
A,A
B,A
,
A,B
A,A
B,B
B,C
,
B,B
,
D,B
B,A
A,A
,
A,A
A,B
A,
,
B,C
A,B
A,A
,A
B,C
C,B
,
A,C
A,A
B,A
A,B
B,C
,
,
A,A
F,C
,
C,C
,
D,D
A,A
B,
B,B
A,A
F,F
A,A
B,A
A,A
A,
A,B
C,A
A,A
C,B
B,D
A,A
A,
B,A
A,B
B,A
A,A
B,C
B,A
,
,
,
,
A,B
D,C
B,B
C,B
F,A
B,C
B,A
C,D
C,B
C,C
C,C
,
A,A
F,C
C,C
,
,
,
A,B
A,A
A,A
C,D
,
C,C
C,C
B,C
B,C
F,C
B,B
F,F
B,C
,
,
B,B
,
A,B
C,B
A,B
B,A
F,C
A,B
,
,
C,C
B,C
B,C
,
C,D
B,B
A,C
F,C
B,B
,
C,B
B,A
B,B
,
B,D
,
A,A
A,A
,
A,A
C,C
A,A
,
C,C
C,B
B,C
C,A
,
,
A,A
A,B
B,A
F,C
B,C
B,B
A,C
A,A
,
B,C
C,B
A,A
B,C
C,D
A,A
,
A,B
,
A,A
A,A
C,A
A,A
