college_enroll_2010_11,quality_review_year,envi_11_12
49.50%,2008.0,A
,,
36.30%,2010.0,C
,2009.0,D
,2012.0,
92.30%,2012.0,A
66.20%,2009.0,D
60.80%,2010.0,C
66.40%,2010.0,C
82.00%,2010.0,C
,2012.0,
,,
,2010.0,B
52.80%,2011.0,C
,2009.0,B
29.90%,2012.0,C
31.10%,2011.0,F
,2012.0,
,2012.0,
46.60%,2010.0,C
,2012.0,
87.00%,2008.0,B
49.20%,2011.0,B
34.20%,2009.0,B
69.70%,2008.0,A
54.80%,2010.0,C
52.30%,2009.0,B
,2012.0,A
77.40%,2008.0,A
31.90%,2008.0,D
58.30%,2008.0,B
51.90%,2011.0,C
24.10%,2009.0,A
59.80%,2010.0,B
34.70%,2010.0,B
46.00%,2010.0,B
47.80%,2009.0,A
36.80%,2012.0,F
36.70%,2008.0,B
75.70%,2010.0,F
57.90%,2010.0,A
42.60%,2012.0,F
48.20%,2008.0,A
43.80%,2008.0,B
,2012.0,
75.60%,2010.0,B
52.30%,2012.0,B
65.60%,2011.0,B
38.10%,2010.0,B
,2008.0,
36.40%,2010.0,A
,2010.0,
25.10%,2012.0,B
,2012.0,B
69.20%,2008.0,A
,2011.0,
96.90%,2009.0,A
65.80%,2012.0,F
,2008.0,A
,,
40.40%,2010.0,D
35.10%,2012.0,A
82.00%,2008.0,A
67.20%,2008.0,
47.70%,2010.0,F
30.70%,2010.0,B
,2009.0,
44.00%,2010.0,D
71.70%,2008.0,F
41.50%,2012.0,A
48.30%,2008.0,A
57.40%,2011.0,B
,,
,,
79.60%,2008.0,B
,2012.0,F
,,
38.50%,2010.0,C
,,
40.30%,2012.0,B
51.70%,2008.0,A
,2012.0,A
46.50%,2010.0,C
52.70%,2012.0,B
41.80%,2011.0,F
60.50%,2012.0,B
35.30%,2010.0,B
61.50%,2009.0,B
,2010.0,B
56.30%,2012.0,A
37.90%,2008.0,A
,2009.0,A
21.70%,2012.0,B
50.00%,2012.0,D
32.50%,2012.0,A
,2012.0,C
54.00%,2008.0,A
75.00%,2010.0,D
60.30%,2010.0,C
98.20%,2011.0,A
42.70%,2010.0,A
81.70%,2008.0,A
,2008.0,
,2012.0,
,2012.0,
,2008.0,
50.00%,2012.0,B
32.70%,2011.0,F
58.30%,2010.0,B
39.10%,2012.0,A
30.20%,2011.0,A
46.00%,2012.0,C
34.70%,2008.0,B
28.60%,2012.0,D
27.20%,2010.0,C
30.30%,2011.0,D
14.10%,2012.0,F
,,
68.30%,2010.0,A
54.50%,2010.0,F
28.20%,2009.0,A
,2012.0,
,,
,,
47.50%,2009.0,B
98.10%,2008.0,A
56.00%,2010.0,B
33.70%,2012.0,B
,2012.0,
51.50%,2008.0,B
32.40%,2010.0,D
58.50%,2012.0,B
54.80%,2010.0,C
47.10%,2010.0,A
47.30%,2011.0,C
43.20%,2012.0,F
57.10%,2010.0,B
,,
,2012.0,
77.80%,2010.0,B
,,
51.60%,2008.0,A
48.50%,2011.0,A
50.50%,2011.0,D
55.90%,2012.0,B
30.40%,2011.0,C
95.70%,2010.0,A
,2012.0,
,,
45.50%,2012.0,C
36.30%,2011.0,B
80.50%,2011.0,D
,,
42.60%,2011.0,D
35.30%,2009.0,B
42.20%,2010.0,C
22.10%,2012.0,B
28.80%,2012.0,C
,,
64.00%,2012.0,C
42.30%,2008.0,C
69.50%,2010.0,B
,2012.0,
39.70%,2012.0,F
,,
65.30%,2011.0,A
36.40%,2008.0,B
,2012.0,
66.30%,2008.0,C
39.70%,2010.0,C
87.00%,2011.0,C
,2012.0,
54.40%,2010.0,B
27.40%,2011.0,B
45.30%,2010.0,D
70.90%,2011.0,A
,,
,,
69.20%,2008.0,A
30.10%,2011.0,C
,2009.0,B
18.30%,2010.0,B
62.60%,2010.0,B
47.50%,2011.0,C
71.20%,2011.0,B
42.70%,2009.0,A
,,
50.00%,2010.0,C
38.70%,2010.0,C
44.20%,,B
42.80%,2010.0,B
55.90%,2012.0,F
40.90%,2008.0,B
,,
79.10%,2011.0,B
,,
78.40%,2011.0,D
62.70%,2008.0,B
30.60%,2008.0,B
88.00%,2008.0,A
