site_id,site_name,dbn,year,male,other,black_1
MAVR,East Calvary DCC,03M700,2015-16,11,s,0.875
01M019,P.S. 019 Asher Levy,01M019,2015-16,11,s,0.3333333333
MBGQ,CCLC at 4 NY Plaza,02M700,2015-16,6,s,s
MAVM,Citizens Care DCC #1,03M700,2015-16,s,s,0.8181818182
MBKK,River Park Nursery School,03M700,2015-16,6,s,s
MATQ,Escuela Hispana Montessori 2,01M700,2015-16,21,s,0.1891891892
02M158,P.S. 158 Bayard Taylor,02M158,2015-16,34,6,s
02M041,P.S. 041 Greenwich Village,02M041,2015-16,18,s,s
04M102,P.S. 102 Jacques Cartier,04M102,2015-16,s,s,s
Z031,Pre-K Center at 425 East 35th Street,02M391,2015-16,40,s,s
MAGN,St. Ann School,04M700,2015-16,13,s,0.2647058824
MAHP,St. Paul School,04M700,2015-16,15,s,0.2258064516
MANJ,Ivy League Early Learning Academy,02M700,2015-16,11,s,0.2307692308
05M154,P.S. 154 Harriet Tubman,05M154,2015-16,14,s,0.5
02M051,P.S. 051 Elias Howe,02M051,2015-16,28,s,s
MBJS,NY Preschool TriBeCa,02M700,2015-16,s,s,s
01M140,P.S. 140 Nathan Straus,01M140,2015-16,6,s,s
MASU,Hamilton Madison House EarlyLearn Center 5,01M700,2015-16,s,s,s
02M001,P.S. 001 Alfred E. Smith,02M001,2015-16,9,s,s
04M057,James Weldon Johnson,04M057,2015-16,16,s,0.4166666667
05M092,P.S. 092 Mary McLeod Bethune,05M092,2015-16,14,s,0.5862068966
MAMZ,MANHATTAN NURSERY SCHOOL,02M700,2015-16,16,s,0.28125
MAUB,University Settlement ECC,01M700,2015-16,35,s,s
MAUP,Hudson Guild Children's Center,02M700,2015-16,13,s,0.4166666667
MAUH,Bellevue-Educare Childcare Center,02M700,2015-16,s,s,s
02M217,P.S./I.S. 217 Roosevelt Island,02M217,2015-16,21,s,s
Z034,Pre-K Center at P.S. 343 The Peck Slip School,02M391,2015-16,20,s,0.1794871795
02M124,P.S. 124 Yung Wing,02M124,2015-16,34,s,s
03M165,P.S. 165 Robert E. Simon,03M165,2015-16,11,s,s
04M072,The Lexington Academy,04M072,2015-16,22,s,s
MAAY,Ascension School,03M700,2015-16,29,s,0.1851851852
04M112,P.S. 112 Jose Celso Barbosa,04M112,2015-16,11,s,0.32
MBAU,Sacred Heart Parochial,02M700,2015-16,27,s,0.1733333333
03M242,P.S. 242 - The Young Diplomats Magnet Academy,03M242,2015-16,7,s,0.5
MABK,CASSIDY'S PLACE,02M700,2015-16,11,s,s
05M123,P.S. 123 Mahalia Jackson,05M123,2015-16,18,s,0.5294117647
Z032,Pre-K Center at P.S. 051 Elias Howe,02M391,2015-16,6,s,s
MAZN,Goddard Riverside Day Care 1,03M700,2015-16,20,s,0.225
MASP,Goddard Riverside Head Start Center @ W 95th St 4,03M700,2015-16,s,s,s
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,04M108,2015-16,s,s,s
MAOZ,Educational Alliance - Lillian Wald,01M700,2015-16,8,s,s
02M198,P.S. 198 Isador E. Ida Straus,02M198,2015-16,20,s,s
MAQL,Goddard Riverside Day Care Center@ West 84th St 3,03M700,2015-16,s,s,s
MAUA,Education Alliance - E Broadway,02M700,2015-16,51,s,s
MAQI,The Child Center of NY,03M700,2015-16,15,s,s
MBBE,Lexington Children's Center,02M700,2015-16,11,s,s
MAUU,Garment Industry Day Care Center,02M700,2015-16,9,s,s
04M037,River East Elementary,04M037,2015-16,7,s,0.6153846154
MBAA,St. Brigid Early Childhood Academy,01M700,2015-16,s,s,s
01M315,The East Village Community School,01M315,2015-16,17,s,s
MBJU,UCP of NYC Manhattan UPK,03M700,2015-16,s,s,s
MBKF,Sunshine Lc Of 3Rd Ave,04M700,2015-16,s,s,s
MAWA,Union Washington Child Care Center,04M700,2015-16,10,s,0.5555555556
03M185,P.S. 185 - The Early Childhood Discovery and Design Magnet School,03M185,2015-16,27,9,0.5
02M002,P.S. 002 Meyer London,02M002,2015-16,11,s,s
Z033,Pre-K Center at 590 Sixth Avenue,02M391,2015-16,24,s,s
MAVS,"Boys & Girls Harbor, Inc.",04M700,2015-16,37,s,0.4938271605
04M038,P.S. 38 Roberto Clemente,04M038,2015-16,15,s,s
MAYL,Sunshine Daycare East Harlem,03M700,2015-16,8,s,0.5714285714
MASL,Hudson Guild Children's Center I,02M700,2015-16,7,s,s
MAQM,Dawning Village Too,04M700,2015-16,s,s,s
04M155,P.S. 155 William Paca,04M155,2015-16,15,s,s
01M015,P.S. 015 Roberto Clemente,01M015,2015-16,s,s,0.5
MAUJ,Children's Aid at P.S. 50,04M700,2015-16,12,s,0.2857142857
MAVG,HARLEM GEMS @ P.S. 149,03M700,2015-16,17,s,0.825
02M003,P.S. 003 Charrette School,02M003,2015-16,28,s,s
MBGR,Renanim Manhattan,02M700,2015-16,s,s,s
