principal_name,status_descriptions,grades_text,community_school_sup_name,census_tract,:@computed_region_yeji_bk3q,nta_name,nta,state_code,location_type_description,open_date,principal_title
Ezequiel Garcia,Open,"09,10,11,12",,3601,4,Chinatown                                                                  ,MN27,NY,Transfer School,1998-01-05T00:00:00.000,I.A. PRINCIPAL
Anita Manninen Felix,Open,"09,10,11,12,SE",,7200,4,Murray Hill-Kips Bay                                                       ,MN20,NY,Transfer School,2010-07-01T00:00:00.000,PRINCIPAL
FIA DAVIS,Open,"09,10,11,12,SE",,12700,4,Clinton                                                                    ,MN15,NY,Career Technical,1958-07-01T00:00:00.000,I.A. PRINCIPAL
Theresa Ruyter,Open,"0K,01,02,03,04,05,06,07,08,SE","LABOY, BONNIE",31704,4,Battery Park City-Lower Manhattan                                          ,MN25,NY,General Academic,2009-07-01T00:00:00.000,PRINCIPAL
Kerry Decker,Open,"09,10,11,12,SE",,16900,4,Upper West Side                                                            ,MN12,NY,Career Technical,2009-07-01T00:00:00.000,PRINCIPAL
LISA SIEGMAN,Open,"PK,0K,01,02,03,04,05,SE","LABOY, BONNIE",7300,4,West Village                                                               ,MN23,NY,General Academic,1905-07-01T00:00:00.000,PRINCIPAL
Carland Washington,Open,"06,07,08,SE","ALTSCHUL, ILENE",18900,4,Upper West Side                                                            ,MN12,NY,General Academic,2009-07-01T00:00:00.000,PRINCIPAL
CARRY CHAN,Open,"06,07,08,SE","PHILLIPS, DANIELLA",3001,4,Chinatown                                                                  ,MN27,NY,General Academic,2008-07-01T00:00:00.000,PRINCIPAL
Steven Zbaida,Open,"09,10,11,12",,9500,4,Midtown-Midtown South                                                      ,MN17,NY,Transfer School,1999-07-01T00:00:00.000,PRINCIPAL
DANIEL STORCHAN,Open,"09,10,11,12",,16900,4,Upper West Side                                                            ,MN12,NY,Transfer School,2009-07-01T00:00:00.000,PRINCIPAL
Karla Chiluiza,Open,"09,10,11,12,SE",,16900,4,Upper West Side                                                            ,MN12,NY,General Academic,2009-07-01T00:00:00.000,PRINCIPAL
NANCY SING BOCK,Open,"PK,0K,01,02,03,04,05,SE","LABOY, BONNIE",12900,4,Clinton                                                                    ,MN15,NY,General Academic,1905-07-01T00:00:00.000,PRINCIPAL
Carmen Colon,Open,"PK,0K,01,02,03,04,05,SE","PHILLIPS, DANIELLA",3001,4,Chinatown                                                                  ,MN27,NY,General Academic,1963-07-01T00:00:00.000,PRINCIPAL
AMY HOM,Open,"PK,0K,01,02,03,04,05,SE","LABOY, BONNIE",2700,4,Chinatown                                                                  ,MN27,NY,General Academic,1898-07-01T00:00:00.000,PRINCIPAL
JEFFREY CHETIRKO,Open,"09,10,11,12,SE",,500,4,park-cemetery-etc-Manhattan                                                ,MN99,NY,Career Technical,2010-07-01T00:00:00.000,I.A. PRINCIPAL
NANCY HARRIS,Open,"PK,0K,01,02,03,04,05,06,SE","LABOY, BONNIE",1501,4,Battery Park City-Lower Manhattan                                          ,MN25,NY,General Academic,2009-07-01T00:00:00.000,PRINCIPAL
MATTHEW WILLOUGHBY,Open,"09,10,11,12,SE",,13500,4,Clinton                                                                    ,MN15,NY,General Academic,2004-09-08T00:00:00.000,PRINCIPAL
HECTOR GEAGER,Open,"09,10,11,12,SE",,5800,4,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,MN13,NY,General Academic,1996-06-05T00:00:00.000,PRINCIPAL
MARK FEDERMAN,Open,"06,07,08,09,10,11,12,SE",,3400,4,East Village                                                               ,MN22,NY,General Academic,1996-06-05T00:00:00.000,PRINCIPAL
Wallace Simpson,Open,"09,10,11,12,SE",,1800,4,Chinatown                                                                  ,MN27,NY,General Academic,2004-09-08T00:00:00.000,I.A. PRINCIPAL
Luke Bauer,Open,"09,10,SE",,2900,4,Chinatown                                                                  ,MN27,NY,Career Technical,2014-07-01T00:00:00.000,PRINCIPAL
Eric Glatz,Open,"09,10,11,12,SE",,1600,4,Chinatown                                                                  ,MN27,NY,General Academic,2004-09-08T00:00:00.000,I.A. PRINCIPAL
SONHANDO ESTWICK,Open,"06,07,08,SE","PHILLIPS, DANIELLA",2601,4,Lower East Side                                                            ,MN28,NY,General Academic,2001-07-01T00:00:00.000,PRINCIPAL
MELISSA RODRIGUEZ,Open,"PK,0K,01,02,03,04,05,06,07,08,SE","PHILLIPS, DANIELLA",2201,4,Lower East Side                                                            ,MN28,NY,General Academic,1959-07-01T00:00:00.000,PRINCIPAL
Gladys Rodriguez,Open,"09,10,11,12",,11800,4,Lenox Hill-Roosevelt Island                                                ,MN31,NY,General Academic,1996-06-05T00:00:00.000,PRINCIPAL
Arleen Liquori,Open,"09,10,11,12,SE",,5600,4,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,MN13,NY,General Academic,1999-07-01T00:00:00.000,PRINCIPAL
KAREN FEUER,Open,"PK,0K,01,02,03,04,05,SE","PHILLIPS, DANIELLA",1200,4,Lower East Side                                                            ,MN28,NY,General Academic,1902-07-01T00:00:00.000,PRINCIPAL
Peter Karp,Open,"06,07,08,09,10,11,12,SE",,4800,4,Gramercy                                                                   ,MN21,NY,General Academic,1996-06-05T00:00:00.000,PRINCIPAL
CHARLES DEBERRY,Open,"PK,0K,01,02,03,04,05,06,07,08,SE","ALTSCHUL, ILENE",22000,4,Central Harlem South                                                       ,MN11,NY,General Academic,1965-07-01T00:00:00.000,PRINCIPAL
Christina Riggio,Open,"06,07,SE","LABOY, BONNIE",13200,4,Lenox Hill-Roosevelt Island                                                ,MN31,NY,General Academic,2014-07-01T00:00:00.000,PRINCIPAL
April Mckoy,Open,"09,10,11,12,SE",,12700,4,Clinton                                                                    ,MN15,NY,Career Technical,2011-07-01T00:00:00.000,PRINCIPAL
LISA RIPPERGER,Open,"0K,01,02,03,04,05,SE","LABOY, BONNIE",3900,4,SoHo-TriBeCa-Civic Center-Little Italy                                     ,MN24,NY,General Academic,1988-07-01T00:00:00.000,PRINCIPAL
ELAINE SCHWARTZ,Open,"05,06,07,08,SE","ALTSCHUL, ILENE",16900,4,Upper West Side                                                            ,MN12,NY,General Academic,1999-07-01T00:00:00.000,PRINCIPAL
OSEI OWUSU AFRIYIE,Open,"06,07,08,09,10,11,12,SE","ALTSCHUL, ILENE",21800,4,Central Harlem South                                                       ,MN11,NY,General Academic,2001-07-01T00:00:00.000,PRINCIPAL
Alison Breedy,Open,"09,10,11,12,SE",,1800,4,Chinatown                                                                  ,MN27,NY,General Academic,2005-07-01T00:00:00.000,PRINCIPAL
JANE MURPHY,Open,"PK,0K,01,02,SE","ALTSCHUL, ILENE",18600,4,Central Harlem South                                                       ,MN11,NY,General Academic,1968-07-01T00:00:00.000,PRINCIPAL
Jacqueline Pryce Harvey,Open,"PK,0K,01,02,03,04,05,06,07,08,SE","ESTRELLA, ALEXANDRA",19600,4,East Harlem North                                                          ,MN34,NY,General Academic,1959-07-01T00:00:00.000,I.A. PRINCIPAL
Sandra Miller,Open,"0K,01,02,03,04,05","LABOY, BONNIE",15801,4,Upper East Side-Carnegie Hill                                              ,MN40,NY,General Academic,1999-07-01T00:00:00.000,PRINCIPAL
ROBERT BENDER,Open,"PK,0K,01,02,03,04,05,SE","LABOY, BONNIE",8900,4,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,MN13,NY,General Academic,1925-07-01T00:00:00.000,PRINCIPAL
KATHLEEN LOUA,Open,"PK,0K,01,02,03,04,05,SE","LABOY, BONNIE",12700,4,Clinton                                                                    ,MN15,NY,General Academic,1999-07-01T00:00:00.000,I.A. PRINCIPAL
NAIMA COOK,Open,"09,10,11,12,SE",,2900,4,Chinatown                                                                  ,MN27,NY,General Academic,1975-07-01T00:00:00.000,PRINCIPAL
MICHAEL TOISE,Open,"10,11,12",,4800,4,Gramercy                                                                   ,MN21,NY,Transfer School,1989-02-01T00:00:00.000,PRINCIPAL
KATHERINE BANUCCI-SMITH,Open,"0K,01,02,03,04,05,06,07,08,09,10,11,12","ALTSCHUL, ILENE",15300,4,Lincoln Square                                                             ,MN14,NY,General Academic,2001-07-01T00:00:00.000,PRINCIPAL
Caitlin Caldwell,Open,"06,07,08,SE","ALTSCHUL, ILENE",17700,4,Upper West Side                                                            ,MN12,NY,General Academic,1999-06-22T00:00:00.000,PRINCIPAL
ANTHONY CHIANESE,Open,"06,07,08,SE","PHILLIPS, DANIELLA",201,4,Lower East Side                                                            ,MN28,NY,General Academic,2006-07-01T00:00:00.000,I.A. PRINCIPAL
WILLIAM KLANN,Open,"09,10,11,12,SE",,11800,4,Lenox Hill-Roosevelt Island                                                ,MN31,NY,General Academic,1999-07-01T00:00:00.000,PRINCIPAL
RON SMOLKIN,Open,"10,11,12",,13900,4,Clinton                                                                    ,MN15,NY,Transfer School,2003-07-01T00:00:00.000,PRINCIPAL
Daisy Fontanez,Open,"06,07,08,09,10,11,12,SE","ALTSCHUL, ILENE",21800,4,Central Harlem South                                                       ,MN11,NY,General Academic,1996-06-05T00:00:00.000,PRINCIPAL
"Evelyn J. Lolis, Ed.D.",Open,"PK,0K,01,02,03,04,05,SE","ALTSCHUL, ILENE",17700,4,Upper West Side                                                            ,MN12,NY,General Academic,1962-07-01T00:00:00.000,PRINCIPAL
Daphne Perrini,Open,"09,10,11,12,SE",,5700,4,West Village                                                               ,MN23,NY,Transfer School,2003-06-30T00:00:00.000,PRINCIPAL
MICHAEL LERNER,Open,"09,10,11,12",,1002,4,Lower East Side                                                            ,MN28,NY,General Academic,2001-07-01T00:00:00.000,PRINCIPAL
Elizabeth Collins,Open,"09,10,11,12,SE",,202,4,Lower East Side                                                            ,MN28,NY,General Academic,1999-06-04T00:00:00.000,PRINCIPAL
Jeannie Ferrari,Open,"09,10,11,12,SE",,8900,4,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,MN13,NY,Transfer School,1997-06-10T00:00:00.000,PRINCIPAL
David Parker,Open,"0K,01,02,03,04,05,SE","ALTSCHUL, ILENE",16100,4,Upper West Side                                                            ,MN12,NY,General Academic,2010-07-01T00:00:00.000,PRINCIPAL
Ingrid Roberts Haynes,Open,"09,10,11,12,SE",,3601,4,Chinatown                                                                  ,MN27,NY,Transfer School,2010-07-01T00:00:00.000,PRINCIPAL
SUSAN GREEN,Open,"03,04,05,SE","ALTSCHUL, ILENE",18600,4,Central Harlem South                                                       ,MN11,NY,General Academic,1968-07-01T00:00:00.000,PRINCIPAL
DARLENE CAMERON,Open,"PK,0K,01,02,03,04,05,SE","PHILLIPS, DANIELLA",3200,4,East Village                                                               ,MN22,NY,General Academic,1905-07-01T00:00:00.000,PRINCIPAL
DINA ERCOLANO,Open,"PK,0K,01,02,03,04,05,SE","LABOY, BONNIE",13200,4,Lenox Hill-Roosevelt Island                                                ,MN31,NY,General Academic,1898-07-01T00:00:00.000,PRINCIPAL
Nigel Pugh,Open,"09,10,11,12,SE",,900,4,Battery Park City-Lower Manhattan                                          ,MN25,NY,General Academic,1996-06-05T00:00:00.000,PRINCIPAL
Kevin Froner,Open,"09,10,11,12,SE",,15100,4,Lincoln Square                                                             ,MN14,NY,General Academic,2003-07-01T00:00:00.000,PRINCIPAL
Katherine Witzke,Open,"PK,0K,01,02,03,04,05,SE","ALTSCHUL, ILENE",16900,4,Upper West Side                                                            ,MN12,NY,General Academic,1965-07-01T00:00:00.000,PRINCIPAL
Matthew Tossman,Open,"09,10,SE",,2900,4,Chinatown                                                                  ,MN27,NY,Career Technical,2014-07-01T00:00:00.000,PRINCIPAL
Bessie Ng,Open,"PK,0K,01,02,03,04,05,SE","LABOY, BONNIE",600,4,Lower East Side                                                            ,MN28,NY,General Academic,1958-07-01T00:00:00.000,PRINCIPAL
Nancy Amling,Open,"09,10,11,12,SE",,8900,4,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,MN13,NY,General Academic,2010-07-01T00:00:00.000,PRINCIPAL
Lauren Keville,Open,"PK,0K,01,02,03,04,05,06,07,08,SE","ALTSCHUL, ILENE",14700,4,Lincoln Square                                                             ,MN14,NY,General Academic,1956-07-01T00:00:00.000,PRINCIPAL
