enrolled,present
174,152
163,144
164,150
172,164
175,173
162,144
176,162
175,171
177,166
173,166
165,155
161,150
173,162
177,159
171,157
161,154
164,156
176,165
175,160
176,169
162,154
173,165
176,171
162,153
174,160
170,153
162,153
174,154
162,153
161,149
176,172
168,158
167,153
170,162
162,151
171,159
162,152
168,157
172,165
161,150
176,164
169,141
174,166
161,155
168,154
171,162
170,155
170,158
161,157
170,148
161,152
176,169
160,140
160,130
176,164
176,164
161,143
173,164
162,151
161,147
170,163
160,145
161,154
161,148
173,164
172,161
162,154
168,162
163,116
176,162
173,164
162,149
176,170
176,166
176,170
163,160
169,160
173,165
176,169
168,163
176,161
161,142
160,147
174,166
164,156
175,171
163,149
161,153
174,165
161,146
162,148
171,158
173,168
164,157
162,154
162,146
170,161
172,160
162,154
161,147
172,159
173,164
174,166
175,171
162,152
161,154
162,153
163,153
163,148
171,155
176,172
169,157
176,163
173,159
163,152
160,130
173,153
163,155
163,156
173,159
175,171
163,149
170,160
161,151
175,157
170,159
169,156
173,163
176,168
174,164
161,149
171,147
170,164
175,167
162,156
163,153
173,147
174,164
161,150
167,160
164,159
160,137
163,154
171,156
176,170
175,166
173,162
176,171
163,150
167,156
162,155
163,152
173,159
169,147
169,157
161,148
170,157
174,166
175,168
176,172
170,158
173,149
172,161
162,145
170,160
169,150
174,164
162,157
162,148
173,165
168,153
162,158
161,144
161,155
163,158
161,150
161,146
168,149
169,158
176,161
162,156
176,164
164,149
163,146
174,164
162,155
160,119
162,155
176,146
160,139
175,165
170,155
163,156
170,151
176,169
163,154
170,158
174,158
176,170
169,151
