app_gr09,dbn,apps_per_seat_gr9,prgdesc,req3,soc,math
3282.0,02M439,33 per seat,"Rigorous core curriculum based on four years of Math, Science, English and History.",,Scores 80-100,Scores 80-100
5182.0,02M411,47 per seat,Comprehensive interdisciplinary liberal arts program.,,Scores 85-100,Scores 85-100
366.0,08X452,5 per seat,,,,
225.0,02M047,3 per seat,Students partake in a 4 year ASL program graduating with a proficiency in the language.,,Scores 75-100,Scores 75-100
,06M540,New Program,Dual Language programs are designed to integrate English Language Learners with English-proficient students to receive content instruction in English and a target language. This program is open to all students regardless of interest area.,,,
501.0,07X473,6 per seat,A challenging college readiness program that prepares students for varied career choices,,,
78.0,08X519,3 per seat,"The W.E.B. DuBois Writing Institute is an interdisciplinary program that applies the skills and content areas of the humanities. Instruction includes activities that require all students to think, problem solve, and defend their opinions. Students will be required to participate and lead school wide activities such as community service, peer tutoring and internships. They will complete college courses, pursue an Advanced Regents Diploma and complete three years of a foreign language.",,,
749.0,05M369,7 per seat,,,,
409.0,11X514,4 per seat,,,,
264.0,08X305,2 per seat,,,,
426.0,06M540,4 per seat,The Academy of Engineering offers students the opportunity to explore careers in Engineering. Students take courses as part of the national Project Lead the Way (PLTW) curriculum which is taught at America’s top secondary schools for engineering. More information about the PLTW program can be found at www.pltw.org.,,Scores 75-100,Scores 75-100
282.0,02M408,14 per seat,"Students receive pre-conservatory training in vocal music, dance and acting. All first and second year students participate in an annual musical theater concert. All third and fourth year students perform in an end-of-year main-stage musical production.",,Review,Review
229.0,01M509,2 per seat,"Includes course offerings in Digital Photography, Web Design; Visual, Performing and Culinary Arts, Video, Music Engineering.",,,
603.0,03M403,6 per seat,,,,
34.0,03M415,1 per seat,"Performance in Musical Theatre, Solo Voice, Music History and Chorus.",,Review,Review
101.0,02M374,3 per seat,"College readiness program that exposes students to AP Courses throughout their 4-year high school tenure. Students select courses in English, History, Math, and Science and complete AP exams to earn between 15-30 college credits. Scholars will complete a four-year study of Visual Arts or Performing Arts. In the twelfth grade, students have the opportunity to apply for a “capstone” or internship in the Arts Field.",,Scores 80-100,Scores 80-100
4323.0,02M418,29 per seat,"Comprehensive interdisciplinary liberal arts program with many opportunities for honors and AP courses. Thesis papers in grades 10, 11 and 12.",Writing exercise: Please contact the school for more information,Scores 90-100,Scores 90-100
1168.0,02M407,22 per seat,"Humanities (History & Literature), Mathematics, Applied Sciences, Spanish, Arts & Electives.",,Scores 80-100,Scores 80-100
1458.0,03M485,12 per seat,"Participation in 2 symphony orchestras, 4 string ensembles, 3 concert bands, and 2 jazz bands; required courses in music theory, music history, sight singing and dictation; electives in chamber music, conducting, orchestration, electronic music and piano.",,Scores 80-100,Scores 80-100
632.0,02M605,18 per seat,"Develop intellectual and civic leadership through self-discovery and challenge, with an emphasis on writing, public speaking, the arts, technology and community action.",,Scores 80-100,Scores 80-100
19035.0,05M692,173 per seat,Admission to this Specialized High School is based solely on the score obtained on the Specialized High Schools Admission Test (SHSAT). Students should speak to their guidance counselors in the Fall to register for the SHSAT.,,,
2139.0,02M534,20 per seat,,,,
310.0,02M533,6 per seat,,,,
519.0,02M432,6 per seat,"80% of students are admitted through the high school admissions process as 8th graders, and another 20% of students are admitted as transfer students who are 15-16 years of age, have fewer than 8 credits at the time of admission and have attended another high school for only one year. We also welcome and admit on grade level 10th grade students to our Murray Hill Academy learning community.",,,
792.0,02M296,7 per seat,Regents-based courses and a 12-unit sequence in hospitality management in which students earn 5 industry certifications.,,,
321.0,02M519,12 per seat,"Students study movement for actors, voice and speech, theatre history, scene and monologue study, communication skills, stage production and performance repertory; opportunity to perform in a variety of venues.",,Scores 80-100,Scores 80-100
1634.0,02M420,9 per seat,"A three year program, offered starting in tenth grade in partnership with SUNY Albany, focusing on Scientific Research under the mentorship of professionals at partner facilities, internships and preparation for Intel Expo; Students can earn up to 12 college credits.",,Scores 85-100,Scores 85-100
841.0,08X349,8 per seat,,,,
937.0,02M615,21 per seat,"C-Tech (realistic hands-on training in systems and methods in the telecommunication fields); Cisco (centers on computer networking); and A+ certification (the design, development, support and management of computer systems).",,Scores 75-100,Scores 75-100
