days_present,chronically_absent_1,borough,grade,attendance
2612285,25.5,Bronx,5,92.8
705245,42.9,Manhattan,PK in K-12 Schools,89.2
22282146,26.1,Manhattan,All Grades,91.3
1688514,50.7,Bronx,12,83.1
3348299,20.0,Brooklyn,7,93.8
2400581,29.1,Bronx,8,91.1
3091349,22.3,Brooklyn,4,92.9
1949727,43.5,Bronx,10,83.3
2076143,39.1,Bronx,9,85.2
2644367,29.7,Bronx,4,92.1
2674520,28.1,Bronx,3,92.2
2373017,30.0,Bronx,8,91.1
3364210,19.5,Brooklyn,6,93.9
1114855,38.3,Brooklyn,PK in K-12 Schools,88.6
2146724,19.7,Brooklyn,3,93.8
1464626,17.3,Manhattan,5,94.4
1422508,17.1,Manhattan,6,94.4
1390819,23.4,Manhattan,1,93.0
31204265,34.0,Bronx,All Grades,89.8
3498447,19.3,Brooklyn,5,94.1
2757116,43.4,Brooklyn,12,82.5
1476808,21.7,Manhattan,2,93.5
1443310,24.2,Manhattan,1,93.0
1549496,25.9,Bronx,8,92.0
2204460,29.6,Bronx,4,91.1
1259084,39.5,Bronx,10,86.1
1274321,24.5,Manhattan,7,91.8
1411188,17.8,Manhattan,6,94.4
1752971,40.3,Bronx,0K,87.9
2834549,34.3,Brooklyn,11,86.2
2146256,19.5,Brooklyn,8,93.6
1974352,44.7,Bronx,10,83.9
1408695,16.5,Manhattan,6,94.5
2408130,27.8,Bronx,7,91.9
1283194,22.5,Manhattan,6,92.5
883766,19.4,Manhattan,3,93.7
1170752,25.8,Manhattan,1,91.4
1319401,44.6,Brooklyn,PK in K-12 Schools,88.6
1271754,39.2,Brooklyn,PK in K-12 Schools,89.9
2499770,37.3,Bronx,1,90.6
2087622,41.4,Bronx,9,83.7
911588,15.9,Manhattan,7,94.6
2626452,42.6,Brooklyn,12,85.2
1343636,30.0,Manhattan,0K,91.7
3150598,32.4,Brooklyn,10,87.4
1739496,40.3,Bronx,11,86.4
22136830,27.1,Manhattan,All Grades,91.1
864818,30.0,Manhattan,0K,91.6
3414362,27.9,Brooklyn,0K,92.1
1146718,27.9,Manhattan,0K,90.8
1387528,21.6,Manhattan,2,93.5
2381814,36.5,Bronx,1,90.7
43776805,26.4,Brooklyn,All Grades,91.6
3116688,33.2,Brooklyn,10,87.3
2719606,31.0,Brooklyn,11,88.9
1405237,17.6,Manhattan,7,94.4
2649776,27.6,Bronx,5,92.4
2273168,29.6,Bronx,8,90.4
2029164,30.9,Brooklyn,0K,91.4
2180747,30.5,Bronx,7,90.3
739538,50.3,Bronx,PK in K-12 Schools,87.8
1613768,25.5,Bronx,4,92.7
1116569,38.2,Bronx,11,87.5
1842001,40.9,Brooklyn,12,85.1
1236784,20.7,Manhattan,4,93.1
2912397,27.3,Brooklyn,1,91.4
1406509,17.3,Manhattan,7,94.4
1266966,43.1,Brooklyn,PK in K-12 Schools,89.1
30232290,35.1,Bronx,All Grades,89.8
2175126,18.5,Brooklyn,4,94.1
2415279,40.9,Bronx,0K,89.7
2194124,43.1,Bronx,0K,89.3
2616423,33.9,Bronx,2,91.3
3711928,17.3,Brooklyn,4,94.5
3588375,19.7,Brooklyn,4,94.1
2533291,30.6,Bronx,3,91.9
2151593,17.7,Brooklyn,6,94.1
892750,17.1,Manhattan,6,94.3
3150335,39.5,Brooklyn,10,82.9
2443655,27.6,Bronx,6,92.2
1556348,24.8,Bronx,7,92.6
3507479,16.9,Brooklyn,5,94.5
2731587,31.5,Bronx,2,91.7
1950502,42.6,Bronx,10,84.7
1504169,23.4,Manhattan,1,93.0
916871,18.6,Manhattan,5,94.0
1379026,38.1,Bronx,9,85.6
27220701,35.3,Bronx,All Grades,88.3
1475131,19.2,Manhattan,4,94.2
2168318,21.5,Brooklyn,2,93.3
1769720,43.9,Bronx,12,83.5
3264722,21.9,Brooklyn,8,92.9
2426653,30.5,Bronx,8,90.9
1176893,23.2,Manhattan,2,92.4
1404594,28.4,Manhattan,0K,92.0
1702639,51.5,Bronx,12,83.2
2424604,32.8,Bronx,2,91.5
2660146,30.4,Brooklyn,11,89.0
852797,24.0,Manhattan,1,92.7
1531757,26.1,Bronx,3,92.5
2740328,29.7,Brooklyn,11,89.2
3428384,29.1,Brooklyn,0K,91.9
1712296,41.0,Bronx,11,85.9
30939690,36.0,Bronx,All Grades,89.5
3543586,23.8,Brooklyn,1,93.0
909599,18.4,Manhattan,4,94.3
3621344,18.8,Brooklyn,3,94.1
629245,40.2,Manhattan,PK in K-12 Schools,87.2
1514763,24.3,Bronx,6,92.8
1702625,40.2,Bronx,11,86.7
44162759,26.5,Brooklyn,All Grades,91.5
3564084,19.5,Brooklyn,4,94.0
1648200,23.9,Bronx,5,93.0
2428923,26.4,Bronx,6,92.4
