dbn,school_name,grades_9_12_enrollment,math_proficient_l3_4_1,multiple_race_categories_not_represented,_4_year_august_graduates,hispanic,grades_6_8_enrollment,math_tested,math_proficient_l3_4_2
05M148,Eagle Academy for Young Men of Harlem,86,3,3.3%,No Data,24.8%,188,103,2.9%
03M242,P.S. 242 - The Young Diplomats Magnet Academy,0,16,3.2%,No Data,29.4%,0,68,23.5%
03M241,STEM Institute of Manhattan,0,11,1.6%,No Data,41.9%,0,63,17.5%
06M218,I.S. 218 Salome Urena,0,9,2.5%,No Data,93.4%,198,174,5.2%
02M167,J.H.S. 167 Robert F. Wagner,0,843,4.3%,No Data,17.3%,1357,1173,71.9%
02M177,Yorkville East Middle School,0,102,5.2%,No Data,26.8%,213,172,59.3%
02M033,P.S. 033 Chelsea Prep,0,192,8.7%,No Data,28.6%,0,285,67.4%
04M083,P.S. 083 Luis Munoz Rivera,0,86,1.3%,No Data,63.2%,0,203,42.4%
02M059,P.S. 059 Beekman Hill International,0,204,10.2%,No Data,11.5%,0,249,81.9%
03M163,P.S. 163 Alfred E. Smith,0,169,5.3%,No Data,45.0%,0,269,62.8%
02M534,Harvest Collegiate High School,458,No Data,3.5%,89.8%,44.5%,0,No Data,No Data
03M860,Frederick Douglass Academy II Secondary School,337,5,2.1%,63.8%,29.5%,49,16,31.3%
06M128,P.S. 128 Audubon,0,81,0.8%,No Data,93.1%,0,251,32.3%
03M859,Special Music School,179,67,14.6%,No Data,13.4%,45,67,100.0%
02M580,Richard R. Green High School of Teaching,534,No Data,3.6%,69.4%,59.4%,0,No Data,No Data
03M415,Wadleigh Secondary School for the Performing & Visual Arts,262,0,1.9%,68.2%,40.1%,47,35,0.0%
01M363,Neighborhood School,0,10,3.0%,No Data,34.5%,0,29,34.5%
02M544,Independence High School,338,No Data,2.4%,18.9%,52.1%,0,No Data,No Data
02M519,Talent Unlimited High School,495,No Data,6.5%,96.9%,40.8%,0,No Data,No Data
04M182,The Bilingual Bicultural School,0,56,0.3%,No Data,92.3%,0,162,34.6%
06M173,P.S. 173,0,91,0.4%,No Data,92.7%,0,249,36.5%
03M299,"High School for Arts, Imagination and Inquiry",442,No Data,2.5%,65.3%,56.6%,0,No Data,No Data
05M154,P.S. 154 Harriet Tubman,0,20,2.8%,No Data,31.2%,0,123,16.3%
04M038,P.S. 38 Roberto Clemente,0,6,2.2%,No Data,56.2%,0,77,7.8%
02M420,High School for Health Professions and Human Services,1792,No Data,2.0%,89.2%,53.0%,0,No Data,No Data
01M015,P.S. 015 Roberto Clemente,0,31,2.2%,No Data,59.0%,0,69,44.9%
02M432,MURRAY HILL ACADEMY,315,No Data,2.5%,74.4%,54.3%,0,No Data,No Data
02M281,The River School,0,16,2.7%,No Data,13.9%,0,24,66.7%
