dbn,location_name,female_expulsions,female_removals,administrative_district
03M452,P.S. 452,R,R,3
01M458,Forsyth Satellite Academy,R,R,1
02M972,Office of Academic Policy,R,R,2
03M180,P.S. 180 Hugo Newman,R,R,3
02M560,High School M560 - City As School,R,R,2
02M439,Manhattan Village Academy,R,R,2
03M862,Mott Hall II,R,R,3
03M299,The Maxine Greene HS for Imaginative Inquiry,R,R,3
02M308,Lower Manhattan Arts Academy,R,R,2
02M059,P.S. 059 Beekman Hill International,R,R,2
03M084,P.S. 084 Lillian Weber,R,11,3
02M534,Harvest Collegiate High School,R,R,2
02M570,Satellite Academy High School,R,R,2
02M374,Gramercy Arts High School,R,R,2
03M334,The Anderson School,R,R,3
01M020,P.S. 020 Anna Silver,R,R,1
03M166,P.S. 166 The Richard Rodgers School of The Arts an,R,R,3
02M260,M.S. 260 Clinton School Writers & Artists,R,R,2
02M400,High School for Environmental Studies,R,R,2
02M546,Academy for Software Engineering,R,R,2
02M006,P.S. 006 Lillie D. Blake,R,R,2
03M165,P.S. 165 Robert E. Simon,R,6,3
02M533,Union Square Academy for Health Sciences,R,R,2
02M051,P.S. 051 Elias Howe,R,R,2
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,R,R,2
03M199,P.S. 199 Jessie Isador Straus,R,R,3
02M305,"Urban Assembly Academy of Government and Law, The",R,R,2
02M507,Urban Assembly Gateway School for Technology,R,R,2
02M630,Art and Design High School,R,R,2
02M407,Institute for Collaborative Education,R,R,2
03M247,M.S. M247 Dual Language Middle School,R,R,3
01M539,"New Explorations into Science, Technology and Math",R,R,1
02M212,P.S. 212 Midtown West,R,R,2
02M198,P.S. 198 Isador E. Ida Straus,R,R,2
02M615,Chelsea Career and Technical Education High School,R,R,2
03M402,The Urban Assembly School for Green Careers,R,11,3
01M015,P.S. 015 Roberto Clemente,R,R,1
03M505,Edward A. Reynolds West Side High School,R,R,3
02M131,M.S. 131,R,R,2
02M047,47 The American Sign Language and English Secondar,R,R,2
02M276,Battery Park City School,R,R,2
03M403,The Global Learning Collaborative,R,R,3
02M313,"James Baldwin School, The: A School for Expedition",R,R,2
02M600,The High School of Fashion Industries,R,R,2
01M509,Marta Valle High School,R,R,1
03M333,P.S. 333 Manhattan School for Children,R,R,3
02M126,P.S. 126 Jacob August Riis,R,R,2
03M404,Innovation Diploma Plus,R,R,3
02M413,School of the Future High School,R,R,2
03M485,Fiorello H. LaGuardia High School of Music & Art a,R,R,3
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,R,R,2
04M007,P.S. 007 Samuel Stern,R,R,4
02M158,P.S. 158 Bayard Taylor,R,R,2
02M438,International High School at Union Square,R,R,2
02M033,P.S. 033 Chelsea Prep,R,R,2
02M347,The 47 American Sign Language & English Lower Scho,R,R,2
02M397,Spruce Street School,R,R,2
02M416,Eleanor Roosevelt High School,R,R,2
02M312,New York City Lab Middle School for Collaborative,R,R,2
03M859,Special Music School,R,R,3
02M933,City Knoll Middle School,R,R,2
02M002,P.S. 002 Meyer London,R,R,2
02M255,M.S. 255 Salk School of Science,R,R,2
03M087,P.S. 087 William Sherman,R,R,3
03M163,P.S. 163 Alfred E. Smith,R,R,3
02M391,District 2 Pre-K Center,R,R,2
02M104,J.H.S. 104 Simon Baruch,R,R,2
