number_of_students,borough
1870,Brooklyn
280,Bronx
460,Bronx
255,Bronx
45,Bronx
133,Bronx
224,Bronx
396,Bronx
374,Bronx
60,Bronx
1464,Bronx
870,Bronx
126,Bronx
1023,Bronx
170,Bronx
888,Bronx
16,Bronx
740,Bronx
1376,Bronx
145,Brooklyn
648,Bronx
14,Bronx
624,Bronx
1316,Bronx
924,Bronx
900,Brooklyn
216,Bronx
100,Bronx
589,Bronx
1350,Bronx
1375,Bronx
1113,Bronx
231,Bronx
506,Bronx
1161,Bronx
99,Bronx
744,Bronx
575,Bronx
396,Bronx
738,Bronx
858,Bronx
424,Bronx
408,Brooklyn
990,Bronx
1479,Bronx
288,Bronx
66,Bronx
1144,Brooklyn
442,Bronx
144,Bronx
131,Bronx
157,Bronx
234,Bronx
1458,Bronx
1232,Bronx
100,Bronx
1428,Bronx
135,Bronx
1248,Bronx
288,Bronx
1260,Bronx
462,Bronx
68,Bronx
1305,Bronx
119,Bronx
399,Bronx
171,Bronx
672,Bronx
324,Bronx
248,Bronx
75,Bronx
1050,Bronx
1184,Bronx
1276,Bronx
204,Bronx
672,Bronx
2568,Brooklyn
1080,Bronx
902,Bronx
720,Bronx
1320,Bronx
147,Bronx
304,Bronx
1269,Bronx
1064,Bronx
90,Bronx
975,Bronx
112,Bronx
2160,Bronx
1300,Bronx
160,Bronx
2250,Bronx
1120,Brooklyn
750,Bronx
1426,Bronx
396,Bronx
1188,Bronx
5625,Brooklyn
925,Bronx
928,Bronx
704,Bronx
1288,Bronx
1290,Bronx
102,Bronx
675,Bronx
135,Bronx
432,Bronx
36,Bronx
798,Bronx
34,Bronx
646,Bronx
1300,Bronx
80,Bronx
600,Bronx
247,Bronx
116,Bronx
16,Bronx
918,Bronx
1680,Bronx
187,Bronx
2500,Bronx
270,Brooklyn
384,Bronx
1260,Brooklyn
144,Bronx
80,Bronx
400,Bronx
459,Brooklyn
228,Bronx
1240,Bronx
187,Bronx
570,Bronx
30,Bronx
690,Bronx
1012,Bronx
1425,Bronx
676,Bronx
51,Bronx
420,Bronx
1537,Bronx
702,Bronx
882,Bronx
36,Bronx
210,Bronx
1352,Bronx
1056,Bronx
30,Bronx
105,Bronx
1225,Bronx
855,Brooklyn
968,Bronx
80,Bronx
858,Bronx
1457,Bronx
1300,Bronx
633,Brooklyn
540,Bronx
123,Bronx
1008,Bronx
112,Bronx
231,Bronx
85,Bronx
1566,Bronx
1400,Bronx
2310,Bronx
910,Bronx
1178,Bronx
1794,Bronx
777,Bronx
368,Brooklyn
936,Bronx
323,Bronx
372,Bronx
925,Bronx
102,Bronx
528,Bronx
2001,Bronx
943,Bronx
1000,Bronx
36,Bronx
99,Bronx
96,Bronx
580,Bronx
105,Bronx
1134,Bronx
672,Bronx
2158,Bronx
1058,Bronx
252,Brooklyn
480,Bronx
326,Bronx
1176,Bronx
132,Bronx
476,Bronx
60,Bronx
75,Bronx
627,Bronx
1955,Brooklyn
988,Bronx
672,Bronx
