dbn,teacher_percent_positive,element_percent_positive_2,element_percent_positive_5
03M334,88,86,89
02M545,75,83,83
02M114,96,90,95
03M084,86,84,90
01M361,95,95,94
02M047,76,65,84
01M015,95,91,96
02M565,94,93,94
02M543,81,76,90
03M075,88,89,93
04M072,87,77,90
02M130,96,91,98
02M111,83,72,92
02M059,96,95,97
02M413,85,84,86
02M531,78,72,80
02M225,90,84,88
02M033,78,84,85
02M438,90,87,93
02M411,70,84,81
02M507,93,88,95
02M212,94,92,94
02M575,92,86,97
02M267,91,88,92
02M407,94,91,94
03M859,94,87,94
02M347,73,71,83
01M515,95,88,96
02M040,97,93,98
02M896,95,86,95
01M363,91,84,94
02M400,85,81,86
01M034,74,74,81
02M570,66,64,76
01M142,89,82,95
02M442,95,87,94
02M150,98,97,98
04M050,74,76,77
02M397,92,85,89
03M291,96,90,95
03M199,89,88,91
02M520,74,70,81
03M307,98,87,94
02M089,94,92,99
03M258,95,85,92
02M131,90,80,93
02M605,99,90,95
02M288,85,79,84
02M420,82,82,86
02M551,85,74,91
02M282,94,79,95
02M006,85,87,86
02M655,70,67,76
03M009,99,98,99
02M042,94,86,98
02M077,82,87,78
02M294,96,86,95
02M300,79,75,89
02M177,96,87,93
02M439,88,89,89
02M432,93,83,91
03M054,90,88,89
02M418,89,85,89
03M250,96,87,93
03M402,94,81,89
03M191,91,81,88
02M158,85,89,88
