_2013,_2010,_2016,_2011
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,7
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
