may_transports,march_transports,january_transports,admin_district-june_transports
40,27,34,20-16
23,23,25,13-16
28,18,10,29-10
14,11,9,79-6
12,8,7,16-R
34,32,12,17-15
26,24,14,15-9
22,23,22,19-14
9,20,17,04-7
59,56,32,02-28
45,44,23,09-21
149,103,86,75-53
38,20,14,21-18
45,34,30,24-22
27,11,15,06-R
14,22,R,03-7
16,7,13,05-R
28,21,15,22-6
14,10,7,01-R
64,36,53,11-22
30,27,14,14-8
15,18,11,32-7
37,37,30,12-9
38,22,22,25-17
1198,1003,778,Grand Total-509
78,84,65,10-43
24,16,11,26-8
50,32,25,31-31
36,24,24,30-21
33,38,33,08-13
40,49,24,27-22
28,33,18,07-9
41,24,29,28-19
17,20,22,18-9
24,29,7,23-9
