city_council_district,of_8th_graders,of_8th_graders_who_have_met
24,1901,1103
4,451,2
3,379,93
17,1969,829
46,1027,162
36,604,150
14,1852,645
39,792,13
49,1046,186
50,920,371
51,2254,467
26,1055,239
35,562,355
31,1152,360
37,1412,462
25,1742,1179
40,1110,337
2,1334,463
22,1005,720
10,1378,609
44,1259,736
1,925,192
5,295,51
12,1436,172
29,996,720
32,2307,532
41,990,138
9,799,328
13,1791,304
38,2247,1043
47,1711,1098
33,1163,159
16,1951,682
28,798,606
15,1785,988
20,821,405
30,1831,755
6,737,122
45,787,463
8,1483,436
11,1266,777
18,1440,489
48,1783,682
21,1414,452
23,1455,304
34,1232,371
43,1594,733
42,1215,682
7,968,121
19,2124,214
27,1469,1047
