average_class_size,school_name
27.0,PS 188 THE ISLAND SCHOOL
32.0,TOMPKINS SQUARE MIDDLE SCHOOL
30.0,PS 064 ROBERT SIMON
21.0,PS 020 ANNA SILVER
13.0,PS 140 NATHAN STRAUS
12.0,PS 019 ASHER LEVY
26.0,PS 064 ROBERT SIMON
25.0,PS 034 FRANKLIN D ROOSEVELT
28.0,PS 140 NATHAN STRAUS
16.0,PS 188 THE ISLAND SCHOOL
15.7,PS 020 ANNA SILVER
21.0,PS 188 THE ISLAND SCHOOL
21.0,PS 064 ROBERT SIMON
21.5,PS 142 AMALIA CASTRO
28.0,PS 140 NATHAN STRAUS
13.0,EAST SIDE COMMUNITY SCHOOL
18.0,PS 134 HENRIETTA SZOLD
21.0,PS 142 AMALIA CASTRO
26.0,THE STAR ACADEMY - PS63
20.0,PS 188 THE ISLAND SCHOOL
27.5,EARTH SCHOOL
31.7,TOMPKINS SQUARE MIDDLE SCHOOL
18.0,SCHOOL FOR GLOBAL LEADERS
24.0,PS 184M SHUANG WEN
20.0,THE STAR ACADEMY - PS63
16.0,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO"
19.5,SCHOOL FOR GLOBAL LEADERS
15.7,PS 001 ALFRED E SMITH
21.0,PS 188 THE ISLAND SCHOOL
18.0,PS 188 THE ISLAND SCHOOL
16.0,PS 034 FRANKLIN D ROOSEVELT
13.0,PS 019 ASHER LEVY
20.3,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL
27.0,PS 188 THE ISLAND SCHOOL
17.5,THE CHILDREN'S WORKSHOP SCHOOL
22.0,PS 019 ASHER LEVY
23.0,SCHOOL FOR GLOBAL LEADERS
29.0,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL"
16.0,PS 001 ALFRED E SMITH
21.0,PS 188 THE ISLAND SCHOOL
14.7,PS 019 ASHER LEVY
19.0,PS 034 FRANKLIN D ROOSEVELT
25.0,PS 188 THE ISLAND SCHOOL
22.0,PS 034 FRANKLIN D ROOSEVELT
29.0,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL"
23.0,PS 188 THE ISLAND SCHOOL
27.5,PS 184M SHUANG WEN
20.0,EARTH SCHOOL
21.5,PS 142 AMALIA CASTRO
16.0,PS 019 ASHER LEVY
15.0,PS 015 ROBERTO CLEMENTE
24.0,PS 140 NATHAN STRAUS
23.0,PS 019 ASHER LEVY
29.0,PS 140 NATHAN STRAUS
24.0,THE EAST VILLAGE COMMUNITY SCHOOL
26.0,PS 184M SHUANG WEN
15.0,PS 064 ROBERT SIMON
16.0,PS 140 NATHAN STRAUS
28.5,PS 184M SHUANG WEN
25.0,PS 020 ANNA SILVER
29.0,PS 184M SHUANG WEN
24.5,PS 184M SHUANG WEN
12.0,PS 064 ROBERT SIMON
16.0,PS 064 ROBERT SIMON
8.0,PS 015 ROBERTO CLEMENTE
20.0,PS 142 AMALIA CASTRO
19.0,THE CHILDREN'S WORKSHOP SCHOOL
30.0,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL"
31.3,TOMPKINS SQUARE MIDDLE SCHOOL
21.0,PS 015 ROBERTO CLEMENTE
27.5,PS 020 ANNA SILVER
21.0,PS 134 HENRIETTA SZOLD
21.0,EARTH SCHOOL
18.0,PS 034 FRANKLIN D ROOSEVELT
20.5,PS 020 ANNA SILVER
23.0,PS 184M SHUANG WEN
23.0,THE CHILDREN'S WORKSHOP SCHOOL
10.0,PS 015 ROBERTO CLEMENTE
23.0,PS 110 FLORENCE NIGHTINGALE
23.0,PS 184M SHUANG WEN
22.0,PS 034 FRANKLIN D ROOSEVELT
12.5,SCHOOL FOR GLOBAL LEADERS
20.7,SCHOOL FOR GLOBAL LEADERS
21.0,THE STAR ACADEMY - PS63
19.0,PS 034 FRANKLIN D ROOSEVELT
20.0,PS 188 THE ISLAND SCHOOL
27.0,PS 184M SHUANG WEN
22.0,PS 015 ROBERTO CLEMENTE
10.0,PS 019 ASHER LEVY
27.0,PS 110 FLORENCE NIGHTINGALE
17.0,PS 034 FRANKLIN D ROOSEVELT
25.0,PS 110 FLORENCE NIGHTINGALE
32.0,THE CHILDREN'S WORKSHOP SCHOOL
30.0,PS 140 NATHAN STRAUS
26.0,PS 184M SHUANG WEN
26.0,PS 015 ROBERTO CLEMENTE
29.8,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL"
18.5,THE CHILDREN'S WORKSHOP SCHOOL
18.0,PS 134 HENRIETTA SZOLD
23.0,THE STAR ACADEMY - PS63
13.0,PS 134 HENRIETTA SZOLD
25.0,PS 064 ROBERT SIMON
12.0,PS 019 ASHER LEVY
16.0,SCHOOL FOR GLOBAL LEADERS
21.0,PS 142 AMALIA CASTRO
17.0,PS 020 ANNA SILVER
24.0,PS 184M SHUANG WEN
25.0,PS 034 FRANKLIN D ROOSEVELT
25.0,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO"
22.0,PS 188 THE ISLAND SCHOOL
21.0,PS 188 THE ISLAND SCHOOL
24.0,PS 110 FLORENCE NIGHTINGALE
23.0,PS 020 ANNA SILVER
19.0,PS 034 FRANKLIN D ROOSEVELT
17.0,PS 142 AMALIA CASTRO
28.0,PS 064 ROBERT SIMON
12.4,EAST SIDE COMMUNITY SCHOOL
13.0,PS 140 NATHAN STRAUS
25.0,PS 110 FLORENCE NIGHTINGALE
27.0,THE STAR ACADEMY - PS63
28.0,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL"
11.0,PS 015 ROBERTO CLEMENTE
24.0,PS 184M SHUANG WEN
24.0,THE EAST VILLAGE COMMUNITY SCHOOL
30.4,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL"
25.0,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL"
22.0,PS 184M SHUANG WEN
25.0,THE EAST VILLAGE COMMUNITY SCHOOL
25.0,THE EAST VILLAGE COMMUNITY SCHOOL
22.0,PS 110 FLORENCE NIGHTINGALE
23.0,PS 184M SHUANG WEN
22.0,PS 020 ANNA SILVER
24.0,PS 142 AMALIA CASTRO
12.1,EAST SIDE COMMUNITY SCHOOL
20.0,PS 015 ROBERTO CLEMENTE
21.0,THE EAST VILLAGE COMMUNITY SCHOOL
20.0,PS 134 HENRIETTA SZOLD
22.0,PS 188 THE ISLAND SCHOOL
26.0,THE EAST VILLAGE COMMUNITY SCHOOL
22.0,THE STAR ACADEMY - PS63
30.0,PS 110 FLORENCE NIGHTINGALE
21.0,THE EAST VILLAGE COMMUNITY SCHOOL
23.0,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO"
18.0,PS 015 ROBERTO CLEMENTE
25.0,PS 110 FLORENCE NIGHTINGALE
29.0,PS 184M SHUANG WEN
28.0,PS 110 FLORENCE NIGHTINGALE
26.5,PS 134 HENRIETTA SZOLD
19.0,PS 188 THE ISLAND SCHOOL
25.0,NEIGHBORHOOD SCHOOL
19.0,NEIGHBORHOOD SCHOOL
16.0,PS 020 ANNA SILVER
17.0,PS 110 FLORENCE NIGHTINGALE
31.0,TOMPKINS SQUARE MIDDLE SCHOOL
30.3,TOMPKINS SQUARE MIDDLE SCHOOL
15.7,PS 020 ANNA SILVER
23.0,PS 142 AMALIA CASTRO
30.0,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL
23.0,PS 188 THE ISLAND SCHOOL
19.0,PS 034 FRANKLIN D ROOSEVELT
20.0,PS 188 THE ISLAND SCHOOL
28.0,PS 110 FLORENCE NIGHTINGALE
19.0,THE STAR ACADEMY - PS63
30.5,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL"
25.0,PS 140 NATHAN STRAUS
23.0,PS 140 NATHAN STRAUS
16.0,PS 110 FLORENCE NIGHTINGALE
19.5,PS 184M SHUANG WEN
12.0,PS 019 ASHER LEVY
28.5,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL
12.3,NEIGHBORHOOD SCHOOL
19.0,THE EAST VILLAGE COMMUNITY SCHOOL
24.0,PS 142 AMALIA CASTRO
29.7,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL"
14.0,PS 001 ALFRED E SMITH
25.0,NEIGHBORHOOD SCHOOL
25.0,THE EAST VILLAGE COMMUNITY SCHOOL
25.0,PS 110 FLORENCE NIGHTINGALE
23.5,PS 134 HENRIETTA SZOLD
22.0,PS 034 FRANKLIN D ROOSEVELT
26.0,PS 184M SHUANG WEN
19.0,PS 142 AMALIA CASTRO
22.0,PS 134 HENRIETTA SZOLD
18.0,PS 034 FRANKLIN D ROOSEVELT
11.0,PS 134 HENRIETTA SZOLD
18.0,PS 020 ANNA SILVER
19.0,PS 188 THE ISLAND SCHOOL
24.0,THE EAST VILLAGE COMMUNITY SCHOOL
22.0,PS 140 NATHAN STRAUS
10.0,PS 019 ASHER LEVY
9.0,PS 015 ROBERTO CLEMENTE
25.0,PS 140 NATHAN STRAUS
20.0,PS 020 ANNA SILVER
20.0,PS 034 FRANKLIN D ROOSEVELT
19.0,PS 064 ROBERT SIMON
13.0,PS 015 ROBERTO CLEMENTE
14.0,PS 019 ASHER LEVY
30.0,TOMPKINS SQUARE MIDDLE SCHOOL
23.0,PS 134 HENRIETTA SZOLD
27.2,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL"
