program_type,maximum_class_size
ICT,27
Gen Ed,32
ICT,30
ICT,21
ICT,<15
Gen Ed,<15
ICT,26
Gen Ed,25
ICT,28
Gen Ed,16
Gen Ed,21
Gen Ed,21
ICT,21
ICT,22
ICT,28
ICT,15
Gen Ed,18
Gen Ed,21
ICT,26
ICT,20
ICT,28
ICT,32
Gen Ed,21
Gen Ed,26
ICT,20
ICT,16
ICT,21
Gen Ed,17
ICT,21
Gen Ed,18
Gen Ed,16
ICT,<15
ICT,26
Gen Ed,27
ICT,18
Gen Ed,22
Gen Ed,23
ICT & G&T,29
ICT,16
ICT,21
ICT,17
Gen Ed,19
Gen Ed,25
Gen Ed,22
ICT & G&T,30
ICT,23
ICT,28
ICT,20
ICT,23
ICT,16
G&T,15
Gen Ed,24
Gen Ed,23
Gen Ed,29
Gen Ed,24
ICT,26
ICT,15
Gen Ed,16
ICT,29
ICT,25
ICT,29
Gen Ed,25
Gen Ed,<15
Gen Ed,16
G&T,<15
ICT,21
ICT,19
G&T,31
ICT,33
ICT,21
ICT,30
ICT,21
Gen Ed,21
ICT,18
Gen Ed,21
ICT,23
ICT,24
G&T,<15
G&T,24
ICT,23
ICT,22
Gen Ed,15
ICT,23
ICT,21
ICT,19
Gen Ed,20
Gen Ed,27
ICT,22
ICT,<15
ICT,27
ICT,17
G&T,25
ICT,32
ICT,30
Gen Ed,26
ICT,26
ICT,30
Gen Ed,21
ICT,18
ICT,23
ICT,<15
ICT,25
Gen Ed,<15
ICT,17
Gen Ed,21
ICT,17
Gen Ed,24
ICT,25
ICT,27
ICT,22
ICT,21
ICT,24
ICT,23
ICT,19
Gen Ed,17
ICT,28
ICT,<15
Gen Ed,<15
ICT,25
ICT,27
ICT & G&T,29
G&T,<15
ICT,24
ICT,24
ICT,31
G&T,25
ICT,22
Gen Ed,25
ICT,25
Gen Ed,22
Gen Ed,24
ICT,22
ICT,24
ICT,15
ICT,20
Gen Ed,21
Gen Ed,20
ICT,22
ICT,26
ICT,22
G&T,30
Gen Ed,21
ICT,23
ICT,18
ICT,25
Gen Ed,29
G&T,28
ICT,27
Gen Ed,19
Gen Ed,25
ICT,19
Gen Ed,17
G&T,17
Gen Ed,31
ICT,32
Gen Ed,23
ICT,23
ICT,32
Gen Ed,23
Gen Ed,19
Gen Ed,20
G&T,28
Gen Ed,19
ICT & G&T,31
Gen Ed,25
Gen Ed,23
ICT,16
Gen Ed,20
Gen Ed,<15
ICT,29
Gen Ed,19
ICT,19
Gen Ed,24
ICT & G&T,31
Gen Ed,<15
ICT,25
ICT,25
ICT,25
ICT,25
ICT,22
ICT,26
ICT,19
Gen Ed,22
ICT,18
Gen Ed,<15
Gen Ed,24
ICT,19
ICT,25
Gen Ed,22
ICT,<15
G&T,<15
Gen Ed,25
Gen Ed,20
ICT,22
Gen Ed,19
ICT,<15
ICT,<15
Gen Ed,30
ICT,23
ICT,29
