dbn,location_name,expulsions,principal
02M500,Unity Center for Urban Technologies,0,7
02M298,Pace High School,0,44
02M289,I.S. 289,0,10
02M040,P.S. 040 Augustus Saint-Gaudens,0,R
03M250,M.S. 250 West Side Collaborative Middle School,0,28
03M241,STEM Institute of Manhattan,0,R
02M519,Talent Unlimited High School,0,27
03M247,M.S. M247 Dual Language Middle School,0,0
02M288,Food and Finance High School,0,58
02M316,"Urban Assembly School of Business for Young Women,",0,27
01M142,P.S. 142 Amalia Castro,0,0
03M191,The Riverside School for Makers and Artists,0,6
02M420,High School for Health Professions and Human Servi,0,29
02M042,P.S. 042 Benjamin Altman,0,R
02M531,Repertory Company High School for Theatre Arts,0,26
02M432,Murray Hill Academy,0,50
01M064,P.S. 064 Robert Simon,0,0
01M361,The Children's Workshop School,0,0
02M534,Harvest Collegiate High School,0,25
02M376,NYC iSchool,0,19
02M347,The 47 American Sign Language & English Lower Scho,0,R
02M438,International High School at Union Square,0,14
03M404,Innovation Diploma Plus,0,22
02M124,P.S. 124 Yung Wing,0,R
01M448,University Neighborhood High School,0,8
02M615,Chelsea Career and Technical Education High School,0,6
03M494,High School of Arts and Technology,0,37
02M551,Urban Assembly New York Harbor School,0,33
02M425,Leadership and Public Service High School,0,8
02M313,"James Baldwin School, The: A School for Expedition",0,R
02M303,"Facing History School, The",0,31
01M015,P.S. 015 Roberto Clemente,0,0
02M442,"Ballet Tech, NYC Public School for Dance",0,R
02M394,Emma Lazarus High School,0,0
01M315,The East Village Community School,0,0
03M199,P.S. 199 Jessie Isador Straus,0,0
03M307,"Urban Assembly School for Media Studies, The",0,34
03M258,Community Action School - MS 258,0,17
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,0,33
01M696,Bard High School Early College,0,0
03M492,"High School for Law, Advocacy and Community Justic",0,R
02M655,Life Sciences Secondary School,0,43
04M012,Tag Young Scholars,0,7
02M225,Ella Baker School,0,0
03M256,Lafayette Academy,0,10
01M110,P.S. 110 Florence Nightingale,0,R
01M458,Forsyth Satellite Academy,0,R
01M332,University Neighborhood Middle School,0,15
03M076,P.S. 076 A. Philip Randolph,0,28
02M150,P.S. 150,0,0
02M416,Eleanor Roosevelt High School,0,6
02M902,Washington Irving Evng Hs T/R @NTHS,0,0
02M340,Sixth Avenue Elementary School,0,0
02M575,Manhattan Comprehensive Night and Day High School,0,R
02M459,Manhattan International High School,0,8
02M047,47 The American Sign Language and English Secondar,0,11
02M550,Liberty High School Academy for Newcomers,0,21
02M312,New York City Lab Middle School for Collaborative,0,18
02M130,P.S. 130 Hernando De Soto,0,0
02M397,Spruce Street School,0,7
02M255,M.S. 255 Salk School of Science,0,9
02M972,Office of Academic Policy,0,0
02M580,Richard R. Green High School of Teaching,0,11
02M051,P.S. 051 Elias Howe,0,R
01M650,Cascades High School,0,17
01M063,The STAR Academy - P.S.63,0,R
01M364,Earth School,0,0
