dbn,location_category
02M533,High school
03M087,Elementary
02M391,District Pre-K Center
02M896,Junior High-Intermediate-Middle
04M007,K-8
02M183,Elementary
02M412,High school
01M450,Secondary School
02M418,High school
02M114,Junior High-Intermediate-Middle
02M933,Junior High-Intermediate-Middle
01M363,Elementary
01M184,K-8
02M260,Secondary School
02M296,High school
02M077,Elementary
02M126,K-8
03M145,Elementary
02M198,Elementary
03M149,K-8
03M417,High school
02M139,High school
01M509,High school
03M075,Elementary
01M539,K-12 all grades
02M544,High school
02M570,High school
02M565,High school
02M507,High school
02M281,Elementary
02M282,High school
03M403,High school
02M011,Elementary
02M374,High school
02M089,Elementary
02M158,Elementary
03M505,High school
02M449,High school
03M245,Junior High-Intermediate-Middle
02M605,High school
02M297,Junior High-Intermediate-Middle
03M208,Elementary
02M399,High school
03M054,Junior High-Intermediate-Middle
02M116,Elementary
02M422,Secondary School
02M002,Elementary
03M415,Secondary School
02M520,High school
02M059,Elementary
02M212,Elementary
01M019,Elementary
03M402,High school
02M343,Elementary
02M151,Elementary
02M033,Elementary
02M893,Junior High-Intermediate-Middle
02M414,High school
01M292,High school
02M131,Junior High-Intermediate-Middle
01M515,High school
02M276,K-8
01M020,Elementary
03M166,Elementary
02M542,High school
02M586,High school
03M185,Early Childhood
