location_name,superintendent,removals,sy1718_total_removals,administrative_district
P.S. 333 Manhattan School for Children,0,R,R,3
P.S. 180 Hugo Newman,8,10,20,3
P.S. 001 Alfred E. Smith,0,0,0,2
"East Side Elementary School, PS 267",0,0,0,2
Jacqueline Kennedy Onassis High School,21,R,60,2
P.S. 006 Lillie D. Blake,0,R,6,2
Manhattan / Hunter Science High School,R,0,13,3
West Prep Academy,19,24,72,3
Beacon High School,0,0,0,3
Fiorello H. LaGuardia High School of Music & Art a,8,0,20,3
Washington Irving Yabc,0,0,0,2
Mott Hall II,R,19,30,3
Institute for Collaborative Education,0,0,R,2
J.H.S. 104 Simon Baruch,10,R,45,2
P.S. 134 Henrietta Szold,R,30,42,1
P.S. 041 Greenwich Village,0,0,0,2
The Urban Assembly School for Emergency Management,15,18,62,2
MANHATTAN BUSINESS ACADEMY,12,R,48,2
High School for Environmental Studies,11,9,109,2
Stuyvesant High School,20,R,41,2
J.H.S. 167 Robert F. Wagner,R,44,77,2
Hudson High School of Learning Technologies,11,R,65,2
Yorkville East Middle School,0,R,13,2
School for Global Leaders,16,6,36,1
P.S. 165 Robert E. Simon,9,25,48,3
School of the Future High School,13,16,67,2
P.S. 234 Independence School,0,12,12,2
P.S. 452,R,17,20,3
The Anderson School,0,R,R,3
The Maxine Greene HS for Imaginative Inquiry,20,R,83,3
New Design High School,18,0,27,2
River East Elementary,0,R,R,4
Essex Street Academy,R,0,15,2
Lower Manhattan Arts Academy,R,0,47,2
P.S. 034 Franklin D. Roosevelt,17,20,43,1
Business Of Sports School,10,11,66,2
"Urban Assembly School of Design and Construction,",10,R,43,2
P.S. 084 Lillian Weber,0,41,42,3
P.S. 242 - The Young Diplomats Magnet Academy,9,R,19,3
High School of Economics and Finance,R,0,14,2
Academy for Software Engineering,R,R,39,2
The High School of Fashion Industries,17,0,40,2
P.S. 009 Sarah Anderson,0,9,10,3
Manhattan Village Academy,0,R,10,2
P.S. 527 - East Side School for Social Action,0,0,0,2
Tompkins Square Middle School,R,0,R,1
P.S./I.S. 217 Roosevelt Island,0,25,25,2
P.S. 140 Nathan Straus,7,13,29,1
Art and Design High School,7,0,33,2
Baruch College Campus High School,R,20,40,2
P.S. 163 Alfred E. Smith,R,17,22,3
West End Secondary School,R,0,6,3
High School M560 - City As School,R,0,R,2
Special Music School,R,R,R,3
P.S. 111 Adolph S. Ochs,0,22,25,2
Manhattan Early College School for Advertising,R,57,94,2
Frederick Douglass Academy II Secondary School,26,R,103,3
M.S. 243 Center School,0,0,0,3
P.S. 290 Manhattan New School,0,0,0,2
P.S. 003 Charrette School,0,8,9,2
Landmark High School,7,0,11,2
"Urban Assembly Academy of Government and Law, The",14,6,101,2
High School for Dual Language and Asian Studies,0,0,0,2
Professional Performing Arts High School,0,0,0,2
P.S. 188 The Island School,17,22,75,1
"Technology, Arts, and Sciences Studio",R,R,9,1
