dbn,location_name,asian_principal,white_removals,hispanic_superintendent,unknown_removals,black_removals,asian_expulsions,unknown_superintendent,asian_removals,american_indian_alaskan_native_2,multi_racial_expulsions
02M560,High School M560 - City As School,R,R,R,R,R,R,R,R,R,R
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,R,R,R,R,R,R,R,R,R,R
02M437,Hudson High School of Learning Technologies,R,R,R,R,R,R,R,R,R,R
02M308,Lower Manhattan Arts Academy,R,R,R,R,R,R,R,R,R,R
02M130,P.S. 130 Hernando De Soto,R,R,R,R,R,R,R,R,R,R
04M037,River East Elementary,R,R,R,R,R,R,R,R,R,R
02M303,"Facing History School, The",R,R,R,R,R,R,R,R,R,R
02M422,Quest to Learn,R,R,23,R,R,R,R,R,R,R
02M276,Battery Park City School,R,21,R,R,R,R,R,R,R,R
02M116,P.S. 116 Mary Lindley Murray,R,R,R,R,R,R,R,R,R,R
03M505,Edward A. Reynolds West Side High School,R,R,R,R,R,R,R,R,R,R
01M458,Forsyth Satellite Academy,R,R,R,R,R,R,R,R,R,R
03M860,Frederick Douglass Academy II Secondary School,R,R,R,R,R,R,R,R,R,R
02M459,Manhattan International High School,R,R,R,R,R,R,R,R,R,R
02M288,Food and Finance High School,R,R,R,R,R,R,R,R,R,R
01M034,P.S. 034 Franklin D. Roosevelt,R,R,10,R,9,R,R,R,R,R
03M245,M.S. M245 The Computer School,R,R,R,R,R,R,R,R,R,R
02M040,P.S. 040 Augustus Saint-Gaudens,R,R,R,R,R,R,R,R,R,R
02M527,P.S. 527 - East Side School for Social Action,R,R,R,R,R,R,R,R,R,R
03M452,P.S. 452,R,R,R,R,10,R,R,R,R,R
02M507,Urban Assembly Gateway School for Technology,R,R,R,R,R,R,R,R,R,R
02M282,Urban Assembly Maker Academy,R,R,6,R,R,R,R,R,R,R
02M399,The High School For Language And Diplomacy,R,R,7,R,R,R,R,R,R,R
02M151,Yorkville Community School,R,R,R,R,26,R,R,R,R,R
01M315,The East Village Community School,R,R,R,R,R,R,R,R,R,R
02M294,Essex Street Academy,R,R,R,R,R,R,R,R,R,R
03M403,The Global Learning Collaborative,R,R,16,R,R,R,R,R,R,R
01M301,"Technology, Arts, and Sciences Studio",R,R,R,R,R,R,R,R,R,R
02M150,P.S. 150,R,R,R,R,R,R,R,R,R,R
01M110,P.S. 110 Florence Nightingale,R,R,R,R,R,R,R,R,R,R
01M142,P.S. 142 Amalia Castro,R,R,R,R,R,R,R,R,R,R
02M432,Murray Hill Academy,R,R,R,R,R,R,R,R,R,R
03M402,The Urban Assembly School for Green Careers,R,R,R,R,12,R,R,R,R,R
02M529,Jacqueline Kennedy Onassis High School,R,R,8,R,R,R,R,R,R,R
01M332,University Neighborhood Middle School,R,R,R,R,R,R,R,R,R,R
02M630,Art and Design High School,R,R,R,R,R,R,R,R,R,R
02M420,High School for Health Professions and Human Servi,R,R,R,R,R,R,R,R,R,R
01M134,P.S. 134 Henrietta Szold,R,R,R,R,8,R,R,R,R,R
02M217,P.S./I.S. 217 Roosevelt Island,R,9,R,R,6,R,R,6,R,R
02M896,Lower Manhattan Community Middle School,R,R,R,R,R,R,R,R,R,R
02M126,P.S. 126 Jacob August Riis,R,R,R,R,R,R,R,R,R,R
02M312,New York City Lab Middle School for Collaborative,R,R,R,R,R,R,R,R,R,R
02M438,International High School at Union Square,R,R,R,R,R,R,R,R,R,R
03M076,P.S. 076 A. Philip Randolph,R,R,R,R,77,R,R,R,R,R
03M291,West End Secondary School,R,R,R,R,R,R,R,R,R,R
02M893,Jacob Riis School,R,R,R,R,R,R,R,R,R,R
03M485,Fiorello H. LaGuardia High School of Music & Art a,R,R,R,R,R,R,R,R,R,R
03M250,M.S. 250 West Side Collaborative Middle School,R,R,7,R,10,R,R,R,R,R
02M183,P.S. 183 Robert L. Stevenson,R,R,R,R,R,R,R,R,R,R
02M407,Institute for Collaborative Education,R,R,R,R,R,R,R,R,R,R
02M158,P.S. 158 Bayard Taylor,R,R,R,R,R,R,R,R,R,R
03M247,M.S. M247 Dual Language Middle School,R,R,R,R,R,R,R,R,R,R
02M313,"James Baldwin School, The: A School for Expedition",R,R,R,R,R,R,R,R,R,R
02M393,Business Of Sports School,R,R,R,R,7,R,R,R,R,R
02M533,Union Square Academy for Health Sciences,R,R,11,R,R,R,R,R,R,R
03M054,J.H.S. 054 Booker T. Washington,R,R,R,R,R,R,R,R,R,R
01M364,Earth School,R,R,R,R,R,R,R,R,R,R
03M421,West Prep Academy,R,R,R,R,20,R,R,R,R,R
04M012,Tag Young Scholars,R,R,R,R,R,R,R,R,R,R
03M256,Lafayette Academy,R,R,R,R,14,R,R,R,R,R
01M015,P.S. 015 Roberto Clemente,R,R,R,R,R,R,R,R,R,R
02M519,Talent Unlimited High School,R,R,R,R,R,R,R,R,R,R
02M439,Manhattan Village Academy,R,R,R,R,R,R,R,R,R,R
02M167,J.H.S. 167 Robert F. Wagner,R,23,R,R,9,R,R,R,R,R
02M972,Office of Academic Policy,R,R,R,R,R,R,R,R,R,R
02M544,Independence High School,R,R,8,R,R,R,R,R,R,R
02M003,P.S. 003 Charrette School,R,R,R,R,R,R,R,R,R,R
