dbn,black_expulsions,black_principal,white_superintendent,administrative_district,location_category,hispanic_expulsions,multi_racial_superintendent,american_indian_alaskan_native,hispanic_removals,asian_superintendent,unknown_expulsions,american_indian_alaskan_native_3,white_principal,white_expulsions
03M333,R,R,R,3,K-8,R,R,R,R,R,R,R,R,R
03M145,R,R,R,3,Elementary,R,R,R,R,R,R,R,R,R
03M191,R,R,R,3,K-8,R,R,R,R,R,R,R,R,R
03M243,R,R,R,3,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R
02M212,R,R,R,2,Elementary,R,R,R,R,R,R,R,R,R
01M378,R,10,R,1,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R
02M425,R,6,R,2,High school,R,R,R,R,R,R,R,R,R
03M307,R,13,R,3,High school,R,R,R,R,R,R,R,R,R
01M063,R,R,R,1,Elementary,R,R,R,8,R,R,R,R,R
02M615,R,R,R,2,High school,R,R,R,R,R,R,R,R,R
03M185,R,R,R,3,Early Childhood,R,R,R,R,R,R,R,R,R
02M305,R,39,R,2,High school,R,R,R,R,R,R,R,R,R
03M180,R,R,R,3,K-8,R,R,R,R,R,R,R,R,R
02M551,R,13,R,2,High school,R,R,R,R,R,R,R,R,R
03M149,R,R,R,3,K-8,R,R,R,7,R,R,R,R,R
03M404,R,13,R,3,High school,R,R,R,R,R,R,R,R,R
03M492,R,R,R,3,High school,R,R,R,R,R,R,R,R,R
03M862,R,7,R,3,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R
02M412,R,R,R,2,High school,R,R,R,R,R,R,R,7,R
02M047,R,R,R,2,High school,R,R,R,R,R,R,R,R,R
02M006,R,R,R,2,Elementary,R,R,R,R,R,R,R,R,R
02M546,R,7,R,2,High school,R,R,R,R,R,R,R,R,R
02M347,R,R,R,2,K-8,R,R,R,R,R,R,R,R,R
02M413,R,6,R,2,Secondary School,R,R,R,7,R,R,R,11,R
03M087,R,R,R,3,Elementary,R,R,R,R,R,R,R,R,R
02M400,R,28,R,2,High school,R,R,R,6,R,R,R,R,R
01M184,R,R,R,1,K-8,R,R,R,R,R,R,R,R,R
02M316,R,20,R,2,High school,R,R,R,R,R,R,R,R,R
03M163,R,R,R,3,Elementary,R,R,R,R,R,R,R,R,R
02M280,R,14,R,2,High school,R,R,R,29,R,R,R,R,R
02M001,R,R,R,2,Elementary,R,R,R,R,R,R,R,R,R
02M475,R,R,R,2,High school,R,R,R,R,13,R,R,6,R
02M340,R,R,R,2,Elementary,R,R,R,R,R,R,R,R,R
02M114,R,R,R,2,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R
02M550,R,7,R,2,High school,R,R,R,R,R,R,R,R,R
02M418,R,R,R,2,High school,R,R,R,R,R,R,R,R,R
03M541,R,R,R,3,High school,R,R,R,R,R,R,R,R,R
02M296,R,39,R,2,High school,R,R,R,7,R,R,R,6,R
01M020,R,R,R,1,Elementary,R,R,R,R,R,R,R,R,R
02M051,R,R,R,2,Elementary,R,R,R,R,R,R,R,R,R
01M361,R,R,R,1,Elementary,R,R,R,R,R,R,R,R,R
02M111,R,R,R,2,Elementary,R,R,R,10,R,R,R,R,R
01M696,R,R,R,1,High school,R,R,R,R,R,R,R,R,R
03M241,R,R,R,3,Elementary,R,R,R,R,R,R,R,R,R
02M104,R,7,R,2,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,8,R
03M242,R,R,R,3,Elementary,R,R,R,R,R,R,R,R,R
02M419,R,R,R,2,High school,R,R,R,R,R,R,R,R,R
01M650,R,11,R,1,High school,R,R,R,R,R,R,R,R,R
02M520,R,47,R,2,High school,R,R,R,10,R,R,R,R,R
02M531,R,7,R,2,High school,R,R,R,R,R,R,R,R,R
01M448,R,6,R,1,High school,R,R,R,R,R,R,R,R,R
02M343,R,R,R,2,Elementary,R,R,R,R,R,R,R,R,R
02M042,R,R,R,2,Elementary,R,R,R,R,R,R,R,R,R
03M334,R,R,R,3,K-8,R,R,R,R,R,R,R,R,R
01M363,R,R,R,1,Elementary,R,R,R,R,R,R,R,R,R
02M376,R,R,R,2,High school,R,R,R,R,R,R,R,7,R
02M473,R,R,R,2,High school,R,R,R,R,R,R,R,R,R
03M166,R,R,R,3,Elementary,R,R,R,R,R,R,R,R,R
02M139,R,R,R,2,High school,R,R,R,R,R,R,R,R,R
02M255,R,R,R,2,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,6,R
02M124,R,R,R,2,Elementary,R,R,R,R,R,R,R,R,R
01M515,R,R,R,1,High school,R,R,R,R,R,R,R,R,R
02M298,R,24,R,2,High school,R,R,R,R,R,R,R,R,R
02M605,R,R,R,2,High school,R,R,R,R,R,R,R,R,R
03M859,R,R,R,3,K-12 all grades,R,R,R,R,R,R,R,R,R
02M442,R,R,R,2,K-8,R,R,R,R,R,R,R,R,R
02M002,R,R,R,2,Elementary,R,R,R,R,R,R,R,R,R
