location_name,black_superintendent,hispanic_principal,sy1718_total_removals,multi_racial_principal,unknown_principal,american_indian_alaskan_native_1,multi_racial_removals
M.S. 260 Clinton School Writers & Artists,R,R,8,R,R,R,R
P.S. 019 Asher Levy,R,R,R,R,R,R,R
P.S. 234 Independence School,R,R,12,R,R,R,R
P.S. 290 Manhattan New School,R,R,0,R,R,R,R
P.S. 89,R,R,0,R,R,R,R
P.S. 77 Lower Lab School,R,R,9,R,R,R,R
Spruce Street School,R,R,16,R,R,R,R
P.S. 198 Isador E. Ida Straus,R,R,36,R,R,R,R
The High School of Fashion Industries,R,11,40,R,R,R,R
P.S. 075 Emily Dickinson,R,R,R,R,R,R,R
Yorkville East Middle School,R,R,13,R,R,R,R
P.S. 165 Robert E. Simon,R,8,48,R,R,R,R
Baruch College Campus High School,R,R,40,R,R,R,R
High School of Arts and Technology,7,16,50,R,R,R,R
Marta Valle High School,R,6,23,R,R,R,R
P.S. 041 Greenwich Village,R,R,0,R,R,R,R
Wadleigh Secondary School for the Performing & Vis,R,R,32,R,R,R,R
P.S. 059 Beekman Hill International,R,R,8,R,R,R,R
M.S. 297,R,R,R,R,R,R,R
P.S. 188 The Island School,R,21,75,R,R,R,R
Tompkins Square Middle School,R,R,R,R,R,R,R
Ella Baker School,R,R,0,R,R,R,R
MANHATTAN BUSINESS ACADEMY,R,24,48,R,R,R,R
District 2 Pre-K Center,R,R,0,R,R,R,R
Harvest Collegiate High School,R,6,38,R,R,R,R
Emma Lazarus High School,R,R,0,R,R,R,R
Unity Center for Urban Technologies,R,R,14,R,R,R,R
Satellite Academy High School,R,R,15,R,R,R,R
The Alain L. Locke Magnet School for Environmental,R,R,7,R,R,R,R
High School for Dual Language and Asian Studies,R,R,0,R,R,R,R
Vanguard High School,R,R,10,R,R,R,R
I.S. 289,R,R,16,R,R,R,R
N.Y.C. Museum School,R,R,11,R,R,R,R
"East Side Elementary School, PS 267",R,R,0,R,R,R,R
Life Sciences Secondary School,R,25,56,R,R,R,R
P.S. 007 Samuel Stern,6,R,18,R,R,R,R
High School of Economics and Finance,R,7,14,R,R,R,R
New Design High School,9,R,27,R,R,R,R
P.S. 033 Chelsea Prep,R,R,13,R,R,R,R
P.S. 011 William T. Harris,R,R,12,R,R,R,R
Beacon High School,R,R,0,R,R,R,R
Orchard Collegiate Academy,R,R,9,R,R,R,R
P.S. 009 Sarah Anderson,R,R,10,R,R,R,R
Manhattan Bridges High School,R,R,16,R,R,R,R
The Urban Assembly School for Emergency Management,7,21,62,R,R,R,R
"Urban Assembly School of Design and Construction,",8,16,43,R,R,R,R
P.S. 140 Nathan Straus,R,R,29,R,R,R,R
Urban Academy Laboratory High School,R,R,R,R,R,R,R
Richard R. Green High School of Teaching,R,6,17,R,R,R,R
Gramercy Arts High School,7,14,61,R,R,R,R
The Maxine Greene HS for Imaginative Inquiry,13,18,83,R,R,R,R
Eleanor Roosevelt High School,R,R,6,R,R,R,R
Community Action School - MS 258,8,8,60,R,R,R,R
City Knoll Middle School,14,R,45,R,R,R,R
M.S. 131,R,R,23,R,R,R,R
East Side Community School,R,9,29,R,R,R,R
Harvey Milk High School,R,6,12,R,R,R,R
Professional Performing Arts High School,R,R,0,R,R,R,R
Manhattan Comprehensive Night and Day High School,R,R,R,R,R,R,R
P.S. 199 Jessie Isador Straus,R,R,0,R,R,R,R
"New Explorations into Science, Technology and Math",R,R,32,R,R,R,R
P.S. 064 Robert Simon,R,R,0,R,R,R,R
Washington Irving Evng Hs T/R @NTHS,R,R,0,R,R,R,R
The River School,R,R,0,R,R,R,R
Frank Mccourt High School,R,11,35,R,R,R,R
P.S. 084 Lillian Weber,R,R,42,R,R,R,R
