number_of_industry_partners,school_name,program_name
1,University Neighborhood High School,Tourism and Travel Services Management
1,ACORN Community High School,"Computer Programming/Programmer, General"
4,Grover Cleveland High School,"Computer and Information Sciences, General"
5,Art and Design High School,Commercial and Advertising Art
4,Boys and Girls High School,Electrician
3,Bronx Design and Construction Academy,"Heating, Air Conditioning and Refrigeration Technology/Technician"
7,Business Of Sports School,Entrepreneurship/Entrepreneurial Studies
3,William E. Grady Career and Technical Education Hi,Computer Installation and Repair Technology/Technician
2,Manhattan Bridges High School,Civil Drafting and Civil Engineering CAD/CADD
4,Bronx Academy for Software Engineering (BASE),"Computer Programming/Programmer, General"
3,Talent Unlimited High School,"Drama and Dramatics/Theatre Arts, General"
6,New Utrecht High School,Medical Insurance Specialist/Medical Biller
3,In-Tech Academy (M.S. / High School 368),Entrepreneurship/Entrepreneurial Studies
6,High School of Computers and Technology,Computer Technology/Computer Systems Technology
13,Flushing High School,"Corrections and Criminal Justice, Other"
2,High School for Health Careers and Sciences,Nurse/Nursing Assistant/Aide and Patient Care Assistant
3,Urban Assembly New York Harbor School,Aquaculture
3,Alfred E. Smith Career and Technical Education Hig,Graphic Design
2,Abraham Lincoln High School,Veterinary/Animal Health Technology/Technician and Veterinarian Assistant
14,The Urban Assembly School for Emergency Management,"Security and Protective Services, Other"
5,High School of Economics and Finance,Accounting and Finance
2,Longwood Preparatory Academy,Legal Assistant/Paralegal
8,Union Square Academy for Health Sciences,Dental Laboratory Technology/Technician
2,W. H. Maxwell Career and Technical Education High,"Cosmetology/Cosmetologist, General"
1,Academy for Health Careers,Nurse/Nursing Assistant/Aide and Patient Care Assistant
5,The Urban Assembly School for Global Commerce,Logistics and Materials Management
4,High School for Innovation in Advertising and Medi,"Computer Software and Media Applications, Other"
2,Stephen T. Mather Building Arts & Craftsmanship Hi,"Construction Trades, Other"
2,FDNY - Captain Vernon A. Richard High School for F,Emergency Medical Technology/Technician (EMT Paramedic)
6,Urban Assembly New York Harbor School,"Precision Metal Working, Other"
5,World Academy for Total Community Health High Scho,Nurse/Nursing Assistant/Aide and Patient Care Assistant
5,Academy of Hospitality and Tourism,Culinary Arts/Chef Training
4,Williamsburg High School for Architecture and Desi,Architectural Drafting and Architectural CAD/CADD
3,Queens Technical High School,Computer Systems Networking and Telecommunications
5,Chelsea Career and Technical Education High School,Graphic Design
2,"The Marie Curie School for Medicine, Nursing, and",Nurse/Nursing Assistant/Aide and Patient Care Assistant
3,Academy for Scholarship and Entrepreneurship: A Co,"Marketing/Marketing Management, General"
5,Academy for Scholarship and Entrepreneurship: A Co,Entrepreneurship/Entrepreneurial Studies
2,Queens Technical High School,Entrepreneurship/Entrepreneurial Studies
4,Art and Design High School,Cinematography and Film/Video Production
2,Inwood Early College for Health and Information Te,Computer Installation and Repair Technology/Technician
4,Queens Technical High School,"Cosmetology/Cosmetologist, General"
2,The Urban Assembly School for Emergency Management,Emergency Medical Technology/Technician (EMT Paramedic)
7,Union Square Academy for Health Sciences,Pharmacy Technician/Assistant
2,Multicultural High School,"Aeronautics/Aviation/Aerospace Science and Technology, General"
2,Bronx Design and Construction Academy,Architectural Drafting and Architectural CAD/CADD
4,High School for Arts and Business,"Computer Programming/Programmer, General"
3,James Madison High School,"Finance and Financial Management Services, Other"
4,James Madison High School,Information Technology
4,Bronx High School for the Visual Arts,Graphic Design
3,W. H. Maxwell Career and Technical Education High,Fashion/Apparel Design
1,Pathways in Technology Early College High School (,Electromechanical Technology/Electromechanical Engineering Technology
6,Chelsea Career and Technical Education High School,Computer Technology/Computer Systems Technology
6,MANHATTAN BUSINESS ACADEMY,Entrepreneurship/Entrepreneurial Studies
3,Urban Assembly New York Harbor School,"Marine Transportation, Other"
2,The Maxine Greene HS for Imaginative Inquiry,Entrepreneurship/Entrepreneurial Studies
2,Clara Barton High School,Ophthalmic Laboratory Technology/Technician
2,Pathways in Technology Early College High School (,Computer Technology/Computer Systems Technology
3,W. H. Maxwell Career and Technical Education High,Ophthalmic Laboratory Technology/Technician
5,The Urban Assembly School for Green Careers,"Applied Horticulture/Horticultural Operations, General"
5,Crotona International High School,Recording Arts Technology/Technician
3,Bronx Design and Construction Academy,Electrician
1,Academy for Language and Technology,"Computer Software and Media Applications, Other"
2,The Williamsburg High School of Art and Technology,"Computer Programming/Programmer, General"
4,Grover Cleveland High School,Tourism and Travel Services Management
3,Art and Design High School,Commercial Photography
4,Bronx Engineering and Technology Academy,"Drafting/Design Engineering Technologies/Technicians, Other"
3,"High School for Mathematics, Science and Engineeri","Engineering Technology, General"
4,Newtown High School,"Business/Commerce, General"
4,Food and Finance High School,Culinary Arts/Chef Training
1,"The High School for Enterprise, Business and Techn","System, Networking and LAN/WAN Management/Manager"
3,Manhattan Early College School for Advertising,"Computer Programming/Programmer, General"
3,Aviation Career & Technical Education High School,Aircraft Powerplant Technology/Technician
4,Alfred E. Smith Career and Technical Education Hig,Autobody/Collision and Repair Technology/Technician
4,John Bowne High School,"Corrections and Criminal Justice, Other"
3,"Urban Assembly School of Design and Construction,",Architectural Drafting and Architectural CAD/CADD
3,Brooklyn Studio Secondary School,Digital Arts
5,Flushing High School,"Business/Commerce, General"
4,George Westinghouse Career and Technical Education,Computer Technology/Computer Systems Technology
4,Bronx Design and Construction Academy,Plumbing Technology/Plumber
2,Transit Tech Career and Technical Education High S,Industrial Electronics Technology/Technician
9,Fort Hamilton High School,"Corrections and Criminal Justice, Other"
4,Queens Technical High School,Plumbing Technology/Plumber
3,Edward R. Murrow High School,"Computer Programming/Programmer, General"
3,Manhattan Early College School for Advertising,"Computer Software and Media Applications, Other"
3,"Science Skills Center High School for Science, Tec","Engineering Technology, General"
4,Urban Assembly Gateway School for Technology,Computer Installation and Repair Technology/Technician
4,Queens Technical High School,Computer Installation and Repair Technology/Technician
4,Art and Design High School,Illustration
9,Cobble Hill School of American Studies,"Corrections and Criminal Justice, Other"
6,Chelsea Career and Technical Education High School,Computer Systems Networking and Telecommunications
7,Longwood Preparatory Academy,Digital Communication and Media/Multimedia
6,Bronx International High School,"Web Page, Digital/Multimedia and Information Resources Design"
4,Academy of Innovative Technology,"Web Page, Digital/Multimedia and Information Resources Design"
2,John Dewey High School,Culinary Arts/Chef Training
2,Inwood Early College for Health and Information Te,Information Technology
3,Art and Design High School,Architectural Drafting and Architectural CAD/CADD
3,Academy of Innovative Technology,Game and Interactive Media Design
5,Midwood High School,"Communications and Media Studies, Other"
5,Automotive High School,Automobile/Automotive Mechanics Technology/Technician
3,Fiorello H. LaGuardia High School of Music & Art a,"Dance, General"
2,Queens Technical High School,"Electrical, Electronic and Communications Engineering Technology/Technician"
5,The High School of Fashion Industries,Fashion Merchandising
3,Abraham Lincoln High School,Entrepreneurship/Entrepreneurial Studies
4,Urban Assembly Gateway School for Technology,Graphic Design
2,High School for Arts and Business,Entrepreneurship/Entrepreneurial Studies
4,Urban Assembly Gateway School for Technology,"Computer Programming/Programmer, General"
3,High School of Economics and Finance,Entrepreneurship/Entrepreneurial Studies
4,New Utrecht High School,Tourism and Travel Services Management
