program_type,number_of_classes,of_students_within_grade
Gen Ed/ICT/G&T,63,2.2
Gen Ed/ICT/G&T,227,7.3
Gen Ed/ICT/G&T,217,8.5
Gen Ed/ICT/G&T,40,1.2
Gen Ed/ICT/G&T,218,9.5
Gen Ed/ICT/G&T,227,9.2
Gen Ed/ICT/G&T,84,3.0
Gen Ed/ICT/G&T,183,7.8
Gen Ed/ICT/G&T,7,0.4
Gen Ed/ICT/G&T,33,0.8
Gen Ed/ICT/G&T,125,4.3
Gen Ed/ICT/G&T,116,5.8
Gen Ed/ICT/G&T,58,1.1
Gen Ed/ICT/G&T,73,2.2
Gen Ed/ICT/G&T,11,0.6
Gen Ed/ICT/G&T,296,13.7
Gen Ed/ICT/G&T,22,0.6
Gen Ed/ICT/G&T,335,11.8
Gen Ed/ICT/G&T,62,1.8
Gen Ed/ICT/G&T,134,5.3
Gen Ed/ICT/G&T,152,2.9
Gen Ed/ICT/G&T,126,6.3
Gen Ed/ICT/G&T,115,5.6
Gen Ed/ICT/G&T,7,0.2
Gen Ed/ICT/G&T,32,0.8
Gen Ed/ICT/G&T,21,1.1
Gen Ed/ICT/G&T,49,1.3
Gen Ed/ICT/G&T,157,6.8
Gen Ed/ICT/G&T,195,8.8
Gen Ed/ICT/G&T,35,0.8
Gen Ed/ICT/G&T,244,10.0
Gen Ed/ICT/G&T,304,14.0
Gen Ed/ICT/G&T,208,9.3
Gen Ed/ICT/G&T,139,4.4
Gen Ed/ICT/G&T,152,7.5
Gen Ed/ICT/G&T,43,0.8
Gen Ed/ICT/G&T,28,0.7
Gen Ed/ICT/G&T,74,1.4
Gen Ed/ICT/G&T,410,19.6
Gen Ed/ICT/G&T,95,3.6
Gen Ed/ICT/G&T,4,0.2
Gen Ed/ICT/G&T,71,2.1
Gen Ed/ICT/G&T,98,3.1
Gen Ed/ICT/G&T,37,0.9
Gen Ed/ICT/G&T,170,5.8
Gen Ed/ICT/G&T,159,8.4
Gen Ed/ICT/G&T,213,9.2
Gen Ed/ICT/G&T,121,6.2
Gen Ed/ICT/G&T,230,9.3
Gen Ed/ICT/G&T,51,1.0
Gen Ed/ICT/G&T,191,6.9
Gen Ed/ICT/G&T,89,2.7
Gen Ed/ICT/G&T,172,7.9
Gen Ed/ICT/G&T,38,0.7
Gen Ed/ICT/G&T,43,2.3
Gen Ed/ICT/G&T,1,0.1
Gen Ed/ICT/G&T,211,9.2
Gen Ed/ICT/G&T,156,7.3
Gen Ed/ICT/G&T,12,0.3
Gen Ed/ICT/G&T,252,10.6
Gen Ed/ICT/G&T,78,3.3
Gen Ed/ICT/G&T,172,5.6
Gen Ed/ICT/G&T,199,8.8
Gen Ed/ICT/G&T,174,6.3
Gen Ed/ICT/G&T,44,1.1
SC 12:1,55,2.7
Gen Ed/ICT/G&T,66,1.7
Gen Ed/ICT/G&T,238,8.0
Gen Ed/ICT/G&T,150,7.7
Gen Ed/ICT/G&T,227,8.8
SC 12:1,131,15.1
Gen Ed/ICT/G&T,65,1.8
Gen Ed/ICT/G&T,271,12.3
Gen Ed/ICT/G&T,226,10.0
Gen Ed/ICT/G&T,26,1.1
Gen Ed/ICT/G&T,228,9.6
SC 12:1,25,1.7
Gen Ed/ICT/G&T,19,0.5
Gen Ed/ICT/G&T,213,8.5
Gen Ed/ICT/G&T,3,0.2
Gen Ed/ICT/G&T,138,5.7
Gen Ed/ICT/G&T,87,2.7
Gen Ed/ICT/G&T,36,0.9
Gen Ed/ICT/G&T,84,2.3
Gen Ed/ICT/G&T,139,4.0
Gen Ed/ICT/G&T,53,1.3
Gen Ed/ICT/G&T,132,4.7
Gen Ed/ICT/G&T,37,0.9
Gen Ed/ICT/G&T,210,8.1
Gen Ed/ICT/G&T,193,7.6
Gen Ed/ICT/G&T,34,1.1
Gen Ed/ICT/G&T,126,5.9
SC 12:1,67,6.2
SC 12:1,99,10.3
Gen Ed/ICT/G&T,4,0.2
Gen Ed/ICT/G&T,105,3.4
Gen Ed/ICT/G&T,48,1.5
Gen Ed/ICT/G&T,184,8.3
Gen Ed/ICT/G&T,14,0.7
Gen Ed/ICT/G&T,67,1.9
Gen Ed/ICT/G&T,217,8.2
Gen Ed/ICT/G&T,50,0.9
Gen Ed/ICT/G&T,45,0.9
Gen Ed/ICT/G&T,163,7.8
Gen Ed/ICT/G&T,139,7.3
Gen Ed/ICT/G&T,173,8.3
Gen Ed/ICT/G&T,122,4.2
SC 12:1,65,5.3
Gen Ed/ICT/G&T,225,9.4
Gen Ed/ICT/G&T,352,13.0
Gen Ed/ICT/G&T,1,0.0
Gen Ed/ICT/G&T,162,4.9
Gen Ed/ICT/G&T,38,1.0
Gen Ed/ICT/G&T,155,6.4
Gen Ed/ICT/G&T,47,1.6
Gen Ed/ICT/G&T,20,1.1
Gen Ed/ICT/G&T,54,1.7
Gen Ed/ICT/G&T,209,7.8
Gen Ed/ICT/G&T,151,5.1
Gen Ed/ICT/G&T,120,4.7
Gen Ed/ICT/G&T,390,18.2
Gen Ed/ICT/G&T,18,0.5
Gen Ed/ICT/G&T,18,1.1
Gen Ed/ICT/G&T,33,0.9
Gen Ed/ICT/G&T,146,6.9
Gen Ed/ICT/G&T,62,1.8
Gen Ed/ICT/G&T,50,1.7
Gen Ed/ICT/G&T,54,1.4
Gen Ed/ICT/G&T,47,1.4
Gen Ed/ICT/G&T,23,0.6
Gen Ed/ICT/G&T,14,0.3
Gen Ed/ICT/G&T,111,3.6
Gen Ed/ICT/G&T,30,1.7
Gen Ed/ICT/G&T,13,0.3
Gen Ed/ICT/G&T,121,3.8
Gen Ed/ICT/G&T,8,0.4
Gen Ed/ICT/G&T,2,0.1
Gen Ed/ICT/G&T,121,5.8
Gen Ed/ICT/G&T,84,2.9
Gen Ed/ICT/G&T,183,9.0
Gen Ed/ICT/G&T,1,0.1
Gen Ed/ICT/G&T,175,8.7
Gen Ed/ICT/G&T,154,7.7
Gen Ed/ICT/G&T,121,4.8
Gen Ed/ICT/G&T,194,8.5
Gen Ed/ICT/G&T,9,0.4
Gen Ed/ICT/G&T,218,7.8
Gen Ed/ICT/G&T,12,0.3
Gen Ed/ICT/G&T,23,0.7
Gen Ed/ICT/G&T,98,3.8
Gen Ed/ICT/G&T,81,3.0
Gen Ed/ICT/G&T,151,6.9
Gen Ed/ICT/G&T,6,0.3
Gen Ed/ICT/G&T,16,0.8
Gen Ed/ICT/G&T,17,0.4
Gen Ed/ICT/G&T,235,9.1
Gen Ed/ICT/G&T,137,6.8
Gen Ed/ICT/G&T,56,1.0
Gen Ed/ICT/G&T,210,8.5
Gen Ed/ICT/G&T,173,7.5
Gen Ed/ICT/G&T,30,1.6
Gen Ed/ICT/G&T,210,8.7
Gen Ed/ICT/G&T,132,6.4
Gen Ed/ICT/G&T,61,1.7
Gen Ed/ICT/G&T,2,0.1
Gen Ed/ICT/G&T,58,1.5
Gen Ed/ICT/G&T,185,7.8
Gen Ed/ICT/G&T,152,6.9
Gen Ed/ICT/G&T,549,22.0
Gen Ed/ICT/G&T,191,7.2
Gen Ed/ICT/G&T,398,15.3
Gen Ed/ICT/G&T,61,2.2
Gen Ed/ICT/G&T,174,8.1
Gen Ed/ICT/G&T,101,5.1
Gen Ed/ICT/G&T,194,7.1
Gen Ed/ICT/G&T,165,5.8
Gen Ed/ICT/G&T,6,0.3
Gen Ed/ICT/G&T,63,2.1
Gen Ed/ICT/G&T,99,2.9
Gen Ed/ICT/G&T,468,22.3
Gen Ed/ICT/G&T,62,1.7
Gen Ed/ICT/G&T,178,6.6
Gen Ed/ICT/G&T,107,5.2
Gen Ed/ICT/G&T,33,0.8
Gen Ed/ICT/G&T,198,8.8
Gen Ed/ICT/G&T,139,4.6
Gen Ed/ICT/G&T,19,0.4
Gen Ed/ICT/G&T,217,9.2
Gen Ed/ICT/G&T,45,1.3
Gen Ed/ICT/G&T,152,5.2
Gen Ed/ICT/G&T,111,4.2
Gen Ed/ICT/G&T,149,6.0
Gen Ed/ICT/G&T,100,3.3
Gen Ed/ICT/G&T,41,1.2
Gen Ed/ICT/G&T,4,0.2
Gen Ed/ICT/G&T,13,0.8
Gen Ed/ICT/G&T,20,0.6
Gen Ed/ICT/G&T,61,2.1
Gen Ed/ICT/G&T,107,5.3
SC 12:1,172,21.8
