dbn,location_name,gender_sexuality_alliance
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational C,True
02M392,Manhattan Business Academy,False
02M303,"Facing History School, The",True
04M102,P.S. 102 Jacques Cartier,False
03M862,Mott Hall II,True
02M500,Unity Center for Urban Technologies,True
01M184,P.S. 184m Shuang Wen,False
02M300,"Urban Assembly School of Design and Construction,",False
02M439,Manhattan Village Academy,True
03M199,P.S. 199 Jessie Isador Straus,False
02M560,High School M560 - City As School,False
03M242,P.S. 242 - The Young Diplomats Magnet Academy,True
01M450,East Side Community School,True
03M494,High School of Arts and Technology,True
02M212,P.S. 212 Midtown West,False
02M407,Institute for Collaborative Education,True
02M416,Eleanor Roosevelt High School,True
02M418,Millennium High School,True
03M334,The Anderson School,True
01M696,Bard High School Early College,True
01M509,Marta Valle High School,False
02M116,P.S. 116 Mary Lindley Murray,False
02M393,Business Of Sports School,True
02M255,M.S. 255 Salk School of Science,True
02M546,Academy for Software Engineering,False
02M413,School of the Future High School,True
02M313,"James Baldwin School, The: A School for Expedition",False
02M422,Quest to Learn,False
03M250,M.S. 250 West Side Collaborative Middle School,False
02M425,Leadership and Public Service High School,False
02M411,Baruch College Campus High School,True
03M402,The Urban Assembly School for Green Careers,True
02M077,P.S. 77 Lower Lab School,False
02M111,P.S. 111 Adolph S. Ochs,False
03M505,Edward A. Reynolds West Side High School,False
01M539,"New Explorations into Science, Technology and Math",True
01M292,Orchard Collegiate Academy,True
02M294,Essex Street Academy,True
02M449,Vanguard High School,True
01M034,P.S. 034 Franklin D. Roosevelt,False
02M529,Jacqueline Kennedy Onassis High School,False
02M412,N.Y.C. Lab School for Collaborative Studies,True
02M289,I.S. 289,True
02M281,The River School,False
01M448,University Neighborhood High School,True
03M165,P.S. 165 Robert E. Simon,False
02M343,The Peck Slip School,False
04M037,River East Elementary,False
01M134,P.S. 134 Henrietta Szold,False
02M282,Urban Assembly Maker Academy,True
02M376,NYC iSchool,True
01M363,Neighborhood School,False
02M347,The 47 American Sign Language & English Lower Scho,True
01M378,School for Global Leaders,False
03M404,Innovation Diploma Plus,False
03M333,P.S. 333 Manhattan School for Children,False
02M459,Manhattan International High School,True
02M531,Repertory Company High School for Theatre Arts,True
03M243,M.S. 243 Center School,False
01M063,The STAR Academy - P.S.63,False
01M361,The Children's Workshop School,False
01M110,P.S. 110 Florence Nightingale,False
02M575,Manhattan Comprehensive Night and Day High School,True
02M225,Ella Baker School,True
02M126,P.S. 126 Jacob August Riis,True
01M064,P.S. 064 Robert Simon,False
03M191,The Riverside School for Makers and Artists,False
