department,program_type
English,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
English,SC
Social Studies,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Math,SC
English,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
Math,SC
English,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Math,SC
Math,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
English,SC
English,Gen Ed/ICT/Acc
Math,SC
English,SC
Math,SC
English,SC
Math,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
English,SC
Social Studies,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Math,SC
Social Studies,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
English,SC
Social Studies,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
English,SC
English,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
Math,SC
Math,Gen Ed/ICT/Acc
Math,SC
Science,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
English,SC
Social Studies,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
English,SC
English,Gen Ed/ICT/Acc
English,SC
English,SC
Math,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Math,SC
Math,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Math,SC
English,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
English,SC
English,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
Math,SC
Science,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
Math,Gen Ed/ICT/Acc
Social Studies,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
Science,Gen Ed/ICT/Acc
Math,SC
Science,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
English,Gen Ed/ICT/Acc
