hectare_conditions_notes,anonymized_sighter,litter,shift,date
,109.0,Some,PM,10192018
,218.0,Some,AM,10062018
,167.0,,AM,10102018
,83.0,None,AM,10102018
Doggie play area,195.0,None,PM,10102018
,8.0,Some,AM,10072018
,134.0,Some,PM,10082018
,109.0,None,PM,10182018
,256.0,Some,AM,10202018
,127.0,,PM,10082018
,134.0,,PM,10122018
,36.0,None,PM,10142018
,250.0,Some,AM,10082018
,97.0,None,AM,10132018
,28.0,Some,AM,10062018
,103.0,None,PM,10142018
T/V busy with cars. Lots on dogs in ball fields.,34.0,None,AM,10072018
,241.0,None,PM,10102018
,97.0,Some,AM,10072018
But loud music at edge,138.0,Some,PM,10142018
,126.0,Some,AM,10062018
,115.0,Some,PM,10102018
Sheep Meadow Closed!,261.0,None,AM,10122018
,138.0,Some,PM,10142018
,6.0,,AM,10082018
,115.0,Some,PM,10122018
"Busy, calm off walkways",222.0,Some,PM,10142018
,242.0,,PM,10182018
,215.0,Some,PM,10182018
,118.0,Some,PM,10062018
,242.0,Some,PM,10202018
Humans quietly walking polite dogs. dog run.,34.0,None,AM,10072018
,134.0,None,PM,10122018
,237.0,Some,AM,10062018
,127.0,Some,PM,10082018
,134.0,None,PM,10062018
,67.0,None,AM,10102018
,8.0,None,AM,10132018
,133.0,Some,PM,10072018
,191.0,None,PM,10182018
,115.0,Some,PM,10122018
,37.0,Some,AM,10102018
,27.0,None,PM,10132018
Noisy and thumpy Avon Walk music from east,13.0,Some,AM,10142018
,191.0,None,PM,10182018
Tour at Alice in Wonderland),240.0,Some,AM,10132018
,235.0,Some,AM,10072018
,224.0,Some,PM,10072018
,85.0,None,PM,10132018
,211.0,,AM,10102018
,44.0,,AM,10122018
,117.0,None,AM,10062018
,116.0,,AM,10062018
,145.0,None,AM,10072018
,121.0,Some,AM,10062018
,17.0,None,AM,10072018
,211.0,Some,AM,10062018
,224.0,Some,AM,10172018
,123.0,Some,AM,10082018
,195.0,,PM,10102018
,166.0,None,AM,10122018
,134.0,None,PM,10132018
,78.0,None,AM,10132018
,60.0,Some,AM,10082018
,36.0,Some,PM,10142018
,123.0,None,AM,10102018
CRAZY BUSY,221.0,Some,PM,10192018
,134.0,Some,PM,10082018
,103.0,None,PM,10142018
,242.0,,PM,10172018
,229.0,Some,PM,10132018
,55.0,Some,PM,10082018
,234.0,None,PM,10142018
,256.0,,PM,10132018
,60.0,Abundant,PM,10102018
,114.0,,PM,10082018
,47.0,Some,PM,10192018
,101.0,None,PM,10142018
,151.0,,PM,10102018
,96.0,None,PM,10082018
Construction,44.0,Some,AM,10122018
,241.0,None,PM,10192018
,97.0,None,AM,10072018
