dbn,school_name,male,black,total_enrollment,poverty,iep_recommended_portion_of,white
03M087,P.S. 087 William Sherman,0.496,0.04,877,0.112,0.003,0.645
01M650,Cascades High School,0.452,0.394,241,0.834,0.0,0.021
03M247,M.S. M247 Dual Language Middle School,0.449,0.01,198,0.894,0.0,0.02
02M442,"Ballet Tech, NYC Public School for Dance",0.504,0.191,141,0.532,0.0,0.22
01M188,P.S. 188 The Island School,0.573,0.293,433,0.915,0.065,0.028
02M615,Chelsea Career and Technical Education High School,0.698,0.221,430,0.879,0.002,0.04
01M315,The East Village Community School,0.494,0.053,318,0.252,0.003,0.575
02M397,Spruce Street School,0.51,0.033,539,0.132,0.004,0.551
02M374,Gramercy Arts High School,0.259,0.358,491,0.819,0.002,0.061
03M163,P.S. 163 Alfred E. Smith,0.513,0.163,565,0.483,0.0,0.306
03M191,The Riverside School for Makers and Artists,0.552,0.314,516,0.734,0.079,0.151
02M183,P.S. 183 Robert L. Stevenson,0.514,0.024,588,0.112,0.003,0.68
02M570,Satellite Academy High School,0.409,0.383,298,0.745,0.0,0.027
03M334,The Anderson School,0.505,0.028,537,0.084,0.0,0.512
04M096,P.S. 096 Joseph Lanzetta,0.549,0.254,397,0.94,0.076,0.03
01M509,Marta Valle High School,0.405,0.318,148,0.932,0.0,0.027
02M033,P.S. 033 Chelsea Prep,0.474,0.18,650,0.475,0.038,0.229
03M054,J.H.S. 054 Booker T. Washington,0.504,0.086,852,0.238,0.036,0.577
03M166,P.S. 166 The Richard Rodgers School of The Arts an,0.515,0.052,648,0.201,0.002,0.571
02M896,Lower Manhattan Community Middle School,0.473,0.109,385,0.574,0.0,0.275
02M340,Sixth Avenue Elementary School,0.473,0.036,277,0.097,0.004,0.643
02M439,Manhattan Village Academy,0.401,0.136,456,0.772,0.0,0.086
02M420,High School for Health Professions and Human Servi,0.289,0.161,1819,0.704,0.0,0.075
01M696,Bard High School Early College,0.369,0.136,588,0.435,0.0,0.391
02M533,Union Square Academy for Health Sciences,0.307,0.206,398,0.837,0.003,0.06
02M565,Urban Academy Laboratory High School,0.375,0.306,160,0.575,0.0,0.262
02M534,Harvest Collegiate High School,0.446,0.244,487,0.647,0.008,0.195
02M131,M.S. 131,0.567,0.06,436,0.933,0.092,0.018
03M415,Wadleigh Secondary School for the Performing & Vis,0.324,0.54,278,0.809,0.022,0.029
01M448,University Neighborhood High School,0.574,0.215,465,0.873,0.0,0.032
02M392,MANHATTAN BUSINESS ACADEMY,0.551,0.206,423,0.901,0.0,0.038
02M150,P.S. 150,0.529,0.011,187,0.118,0.0,0.583
03M403,The Global Learning Collaborative,0.537,0.245,436,0.814,0.002,0.041
02M276,Battery Park City School,0.522,0.041,827,0.126,0.001,0.541
02M419,Landmark High School,0.457,0.333,348,0.882,0.0,0.026
03M452,P.S. 452,0.521,0.113,336,0.223,0.003,0.586
03M494,High School of Arts and Technology,0.653,0.343,504,0.839,0.002,0.028
02M303,"Facing History School, The",0.545,0.246,382,0.812,0.005,0.016
01M134,P.S. 134 Henrietta Szold,0.559,0.215,297,0.906,0.098,0.037
02M416,Eleanor Roosevelt High School,0.396,0.033,541,0.213,0.0,0.641
01M140,P.S. 140 Nathan Straus,0.509,0.124,371,0.873,0.086,0.027
02M475,Stuyvesant High School,0.571,0.007,3336,0.443,0.0,0.178
02M294,Essex Street Academy,0.447,0.382,340,0.688,0.0,0.059
01M142,P.S. 142 Amalia Castro,0.553,0.126,340,0.974,0.109,0.003
02M130,P.S. 130 Hernando De Soto,0.522,0.01,913,0.474,0.015,0.033
02M432,Murray Hill Academy,0.492,0.312,317,0.83,0.0,0.05
03M009,P.S. 009 Sarah Anderson,0.507,0.048,619,0.212,0.002,0.601
01M064,P.S. 064 Robert Simon,0.588,0.208,245,0.91,0.004,0.053
02M418,Millennium High School,0.375,0.054,666,0.465,0.0,0.314
03M250,M.S. 250 West Side Collaborative Middle School,0.551,0.298,178,0.713,0.0,0.096
02M296,High School of Hospitality Management,0.284,0.281,391,0.918,0.003,0.026
02M542,Manhattan Bridges High School,0.485,0.004,517,0.826,0.0,0.002
04M012,Tag Young Scholars,0.516,0.186,587,0.385,0.0,0.153
02M655,Life Sciences Secondary School,0.488,0.291,574,0.815,0.005,0.033
03M149,P.S. 149 Sojourner Truth,0.498,0.621,235,0.991,0.098,0.051
03M541,Manhattan / Hunter Science High School,0.434,0.158,442,0.609,0.0,0.188
02M313,"James Baldwin School, The: A School for Expedition",0.484,0.411,258,0.806,0.0,0.05
03M492,"High School for Law, Advocacy and Community Justic",0.423,0.348,466,0.884,0.0,0.028
02M413,School of the Future High School,0.523,0.111,750,0.389,0.001,0.364
02M586,Harvey Milk High School,0.438,0.188,64,0.906,0.016,0.094
04M072,The Lexington Academy,0.518,0.139,620,0.902,0.077,0.027
02M042,P.S. 042 Benjamin Altman,0.53,0.014,653,0.755,0.0,0.025
02M308,Lower Manhattan Arts Academy,0.289,0.277,329,0.736,0.024,0.027
01M378,School for Global Leaders,0.566,0.273,256,0.801,0.02,0.016
03M242,P.S. 242 - The Young Diplomats Magnet Academy,0.529,0.6,170,0.882,0.047,0.018
02M544,Independence High School,0.509,0.308,334,0.919,0.0,0.087
04M057,James Weldon Johnson,0.507,0.26,818,0.879,0.078,0.017
