number_of_students,of_students_within_grade
36,5.4
9,0.3
60,9.1
46,6.4
240,32.3
44,7.3
180,5.9
66,8.8
84,12.9
15,2.3
66,10.2
33,1.2
63,8.2
95,3.6
66,10.2
90,14.9
15,2.5
54,2.0
116,15.7
29,4.8
224,7.3
54,1.8
207,7.8
168,5.5
34,5.2
150,20.1
273,9.0
84,3.2
31,4.2
175,6.6
38,1.4
46,7.0
42,1.5
46,7.6
19,2.6
26,3.9
19,2.6
248,9.1
93,14.1
66,10.0
338,11.1
14,1.8
72,2.4
69,9.3
19,2.6
23,3.5
57,7.6
84,12.9
140,5.2
120,3.9
24,3.3
40,1.5
242,8.0
150,4.9
17,2.3
27,3.6
20,3.1
50,7.7
15,2.0
20,3.3
725,24.0
120,4.5
20,2.6
80,12.3
115,15.0
16,0.6
38,5.9
24,3.7
95,3.5
48,7.4
66,2.4
46,1.7
28,4.3
114,3.8
18,0.7
58,7.8
58,8.9
30,4.2
150,19.5
312,11.5
24,3.2
96,14.5
17,0.6
30,4.0
84,11.4
54,7.3
66,2.5
110,14.9
48,7.4
48,7.9
26,4.0
26,3.5
36,1.4
54,8.3
74,10.3
42,7.0
42,5.6
49,8.1
20,2.7
32,4.3
116,15.6
17,2.6
34,5.2
184,6.0
145,5.5
26,3.5
31,5.1
42,6.4
384,14.1
80,10.7
45,5.9
16,2.1
28,3.8
90,11.7
17,2.3
56,7.8
50,7.0
26,4.3
26,3.5
155,5.8
189,7.1
76,2.5
51,8.4
180,6.6
15,0.5
72,9.6
18,2.3
81,3.0
153,5.1
18,2.7
18,0.6
350,12.9
176,6.6
184,6.8
156,5.7
220,7.3
100,3.8
392,12.8
37,1.4
15,2.0
330,12.4
24,3.2
46,6.2
125,19.3
32,5.3
168,6.3
18,2.8
414,13.7
27,4.1
50,6.7
60,8.1
17,2.3
16,0.5
32,4.3
174,5.7
16,2.2
90,3.0
30,4.6
25,4.1
29,4.4
352,13.3
24,3.2
176,5.8
44,5.9
17,0.6
58,8.1
26,0.9
19,2.9
60,2.3
182,6.9
60,8.3
116,17.9
62,2.0
180,25.0
72,9.4
16,0.6
408,13.5
109,14.6
11,1.7
28,0.9
56,9.3
66,8.6
26,3.6
594,19.5
28,4.2
42,5.8
54,7.5
232,8.5
32,1.1
25,3.8
34,5.2
33,5.0
28,3.6
62,8.4
140,5.2
87,11.3
84,12.9
68,2.2
260,8.6
42,5.7
