school_dbn,absent
01M015,15
01M015,6
01M015,7
01M015,38
01M019,12
01M015,18
01M015,3
01M015,11
01M015,11
01M015,8
01M019,13
01M015,7
01M015,8
01M015,7
01M015,11
01M015,11
01M015,12
01M019,23
01M015,21
01M015,8
01M015,9
01M015,27
01M015,10
01M015,6
01M015,7
01M015,9
01M015,13
01M019,14
01M019,7
01M015,14
01M015,11
01M015,49
01M015,4
01M015,13
01M015,12
01M015,9
01M015,5
01M015,9
01M015,14
01M015,13
01M015,12
01M015,52
01M015,6
01M015,6
01M015,7
01M019,26
01M019,17
01M015,7
01M015,21
01M015,16
01M019,14
01M019,11
01M019,9
01M015,10
01M015,6
01M015,9
01M015,8
01M015,5
01M015,6
01M015,24
01M015,11
01M015,13
01M019,16
01M015,18
01M015,5
01M015,11
01M015,8
01M015,15
01M015,4
01M015,8
01M015,10
01M015,24
01M015,12
01M015,9
01M015,17
01M015,20
01M015,7
01M015,4
01M015,12
01M015,7
01M015,20
01M015,10
01M015,12
01M015,7
01M015,13
01M015,13
01M015,19
01M015,45
01M015,8
01M019,101
01M015,9
01M015,12
01M015,7
01M015,15
01M019,8
01M015,9
01M015,10
01M015,10
01M015,11
01M015,7
01M015,13
01M015,11
01M015,13
01M015,14
01M015,10
01M015,29
01M015,19
01M015,7
01M015,3
01M019,6
01M015,8
01M015,31
01M015,8
01M015,16
01M015,11
01M015,21
01M015,7
01M015,7
01M019,0
01M015,17
01M015,7
01M015,10
01M015,6
01M015,9
01M015,9
01M015,7
01M015,5
01M015,10
01M015,14
01M015,10
01M015,6
01M015,11
01M015,11
01M019,17
01M015,37
01M015,13
01M015,10
01M019,12
01M019,10
01M015,13
01M015,21
01M015,17
01M015,13
01M015,12
01M015,6
01M015,36
01M015,7
01M015,7
01M015,22
01M015,13
01M015,15
01M015,8
01M015,14
01M015,9
01M015,10
01M015,10
01M015,10
01M019,18
01M015,11
01M015,18
01M015,6
01M015,6
01M015,10
01M015,13
01M015,27
01M015,15
01M015,23
01M015,11
01M015,4
01M015,11
01M015,10
01M015,16
01M015,7
01M015,14
01M015,18
01M015,7
01M015,23
01M015,9
01M015,17
01M015,18
01M015,8
01M015,6
01M015,40
01M019,21
01M015,19
01M015,21
01M015,6
01M019,17
01M015,9
01M015,7
01M015,9
01M015,9
01M015,11
01M015,15
01M015,12
01M015,11
01M019,19
01M015,11
01M015,22
01M015,22
