dbn,location_name
15K464,Park Slope Collegiate
07X065,P.S. 065 Mother Hale Academy
06M103,Dos Puentes Elementary School
06M187,P.S./I.S. 187 Hudson Cliffs
15K154,The Windsor Terrace School
24Q267,High School of Applied Communication
05M517,Teachers College Community School
21K100,P.S. 100 The Coney Island School
12X316,Kappa III
01M364,Earth School
23K323,P.S./I.S. 323
14K561,Williamsburg Preparatory School
22K052,P.S. 052 Sheepshead Bay
19K683,School for Classics High School
24Q087,P.S./I.S. 087 Middle Village
10X291,P.S. 291
05M092,P.S. 092 Mary McLeod Bethune
02M183,P.S. 183 Robert L. Stevenson
19K325,The Fresh Creek School
12X267,Bronx Latin
10X264,Bronx Academy for Software Engineering (BASE)
08X371,Urban Institute of Mathematics
05M362,Columbia Secondary School
02M475,Stuyvesant High School
11X498,P.S./M.S. 11X498 - VAN NEST ACADEMY
11X083,P.S. 083 Donald Hertz
02M600,The High School of Fashion Industries
17K528,The High School for Global Citizenship
14K017,P.S. 017 Henry D. Woodworth
17K531,"School for Human Rights, The"
15K516,Sunset Park Avenues Elementary School
13K492,Academy of Arts and Letters
14K157,P.S./I.S. 157 The Benjamin Franklin Health & Science Academy
02M397,Spruce Street School
21K099,P.S. 099 Isaac Asimov
11X326,Bronx Green Middle School
09X128,Mott Hall III
10X310,P.S. 310 Marble Hill
04M012,Tag Young Scholars
05M125,P.S. 125 Ralph Bunche
22K207,P.S. 207 Elizabeth G. Leary
19K159,P.S. 159 Isaac Pitkin
24Q089,P.S. 089 Elmhurst
02M300,"Urban Assembly School of Design and Construction, The"
21K238,P.S. 238 Anne Sullivan
08X304,P.S. 304 Early Childhood School
17K722,New Heights Middle School
17K189,P.S. 189 The Bilingual Center
04M310,THE JUDITH S. KAYE HIGH SCHOOL
24Q610,Aviation Career & Technical Education High School
01M315,The East Village Community School
12X536,P.S. 536
14K582,M.S. 582
08X093,P.S. 093 Albert G. Oliver
15K038,P.S. 038 The Pacific
01M448,University Neighborhood High School
17K316,P.S. 316 Elijah Stroud
14K380,P.S. 380 John Wayne Elementary
16K267,"M.S. 267 Math, Science & Technology"
24Q125,I.S. 125 Thom J. McCann Woodside
10X445,The Bronx High School of Science
22K152,School of Science & Technology
02M298,Pace High School
11X181,I.S. 181 Pablo Casals
11X468,Pelham Academy of Academics and Community Engagement
22K255,P.S. 255 Barbara Reing School
20K264,P.S. 264 Bay Ridge Elementary School For The Arts
20K229,P.S. 229 Dyker
24Q019,P.S. 019 Marino Jeantet
01M515,Lower East Side Preparatory High School
02M296,High School of Hospitality Management
02M260,The Clinton School
12X521,The Metropolitan Soundview High School
09X555,Mount Eden Children's Academy
