category,pre_k_applicants,pre_k_offers,kindergarten_offers
Zip Code 10038,9,s^,s
Zip Code 10451,s,s,s
Zip Code 10458,s,s,s
Home Language is TIBETAN,,,
Home Language is BURMESE,,,
Zip Code 10036,s,s,s
Home Language is NATIVE AMERICAN LANGUAGES,,,
Home Language is CEBUAN,,,
Home Language is GREEK,,,
Home Language is FRENCH-HAITIAN CREOLE,,,
Zip Code 10019,s,s,s
Home Language is MANDARIN,,,
Residential District 17,14,s,s
Home Language is TWI,,,
Home Language is FANTI,,,
Zip Code 10128,s,s,s
Home Language is FINNISH,,,
Residential District 06,7,s,s
Home Language is SLOVAK,,,
Zip Code 10065,s,s,s
Home Language is ENGLISH,,,
Home Language is KHMER,,,
Residential District 30,7,s,s
Zip Code 10040,s,s,s
Zip Code 10162,s,s,s
Home Language is ITALIAN,,,
Zip Code 10457,s,s,s
Residential District 32,12,s^,s^
Home Language is MALINKE,,,
Home Language is CHINESE/ANY-SPANISH,,,
Zip Code 10011,7,s,s
Residential District 15,13,6,7
Zip Code 10014,7,s,s
Home Language is AZERBAIJANI,,,
Residential District 27,12,6,s^
Home Language is NEPALI,,,
Zip Code 10033,s,s,s
Residential District Unknown,s,s,s
Home Language is PUNJABI,,,
Home Language is UKRAINIAN,,,
Residential District 13,20,s,6
Home Language is NIGER-CONGO,,,
Zip Code 10303,s,s,s
Zip Code 10308,s,s,s
Zip Code 10009,258,229,s^
Home Language is BALUCHI,,,
Zip Code 10031,s,s,s
Home Language is HINDI,,,
Home Language is EWE,,,
Residential District 31,s,s,s
Home Language is SONINKE,,,
Residential District 21,6,s,s
Home Language is LITHUANIAN,,,
Home Language is RUSSIAN,,,
Home Language is CHAM,,,
Residential District 01,528,488,610
Home Language is ICELANDIC,,,
Residential District 03,6,s,s
Zip Code 10027,s,s,7
Zip Code 10302,s,s,s
Zip Code 10280,s,s,s
Zip Code 10001,6,s,s
Residential District 16,s,s,s
Home Language is KOREAN,,,
Zip Code 10006,s,s,s
Zip Code 10075,s,s,s
Residential District 09,8,s^,s^
Zip Code 10301,s,s,s
Zip Code 10016,15,s,s
Home Language is DZONGKHA,,,
Home Language is ARMENIAN,,,
Home Language is TAMIL,,,
Home Language is WOLOF,,,
Home Language is POLISH,,,
Residential District 08,s,s,s
Home Language is NORWEGIAN,,,
Home Language is (AMERICAN) SIGN LANGUAGE,,,
Zip Code 10002,337,263,314
Home Language is GUJARATI,,,
Zip Code 10455,s,s,s
Home Language is SERBO-CROATIAN,,,
Home Language is ALBANIAN,,,
Zip Code 10310,s,s,s
Zip Code 10013,22,8,s
Zip Code 10456,s,s,s
Residential District 23,s,s,s^
Zip Code 10307,s,s,s
Zip Code 10268,s,s,s
Zip Code 10029,11,s^,s
Home Language is VIETNAMESE-CHINESE,,,
Home Language is ROMANIAN,,,
Zip Code 10026,s,s,s
Zip Code 10422,s,s,s
Zip Code 10003,62,s^,s^
Residential District 11,s,s,s
Home Language is TIGRE,,,
Home Language is DUTCH,,,
Zip Code 10017,s,s,s
Home Language is MOSSI,,,
Residential District 24,18,10,12
Zip Code 10069,s,s,s
Zip Code 10007,s,s,s
Home Language is BOSNIAN,,,
Residential District 12,s,s,s
Zip Code 10012,16,s,s
Home Language is IRISH,,,
Zip Code 10453,s,s,s
Residential District 14,45,10,8
Residential District 18,8,s,s
Home Language is HEBREW,,,
Home Language is VIETNAMESE,,,
Home Language is BAMBARA,,,
Home Language is CZECH,,,
Home Language is HUNGARIAN,,,
Zip Code 10024,s,s,s
Home Language is JAPANESE,,,
Home Language is SWAHILI,,,
Home Language is GEORGIAN,,,
Home Language is FULANI,,,
Home Language is AMOY,,,
Residential District 07,7,s,s^
Residential District 10,s,s,s
Zip Code 10305,s,s,s
Home Language is ESTONIAN,,,
Residential District 05,11,s,11
Zip Code 10312,s,s,s
"Home Language is CHINESE,ANY",,,
Home Language is DAGOMBA,,,
Home Language is YORUBA,,,
Zip Code 10022,s,s,s
Home Language is FRENCH,,,
Home Language is TELUGU,,,
Home Language is KANNADA,,,
Zip Code 10306,s,s,s
Zip Code 10314,s,s,s
Home Language is UZBEK,,,
Home Language is HAITIAN CREOLE,,,
Zip Code 10018,s,s,s
Home Language is HAUSA,,,
Home Language is DANISH,,,
Zip Code 10309,s,s,s
Home Language is AKAN,,,
Home Language is ARABIC,,,
Home Language is DARI/FARSI/PERSIAN,,,
Zip Code 10004,s,s,s
Home Language is GA,,,
Residential District 22,8,s,s
Home Language is MOLDAVIAN,,,
Zip Code 10452,s,s,s
Zip Code 10032,s,s,s
Zip Code 10460,s,s,s
Zip Code 10021,s,s,s
Residential District 02,279,122,44
Home Language is TADZHIK,,,
Zip Code 10304,s,s,s
Home Language is MALAYALAM,,,
Zip Code 10039,s,s,s
Home Language is INDONESIAN,,,
Home Language is PILIPINO,,,
Home Language is GERMAN,,,
Zip Code 10454,s,s,s
Zip Code 10010,52,24,s
Zip Code 10282,s,s,s
Home Language is THAI,,,
Home Language is SWEDISH,,,
Residential District 28,s,s,s
Zip Code 10025,s,s,s
Zip Code 10023,s,s,s
Home Language is MANDINGO,,,
Residential District 20,7,s,s
Home Language is CANTONESE,,,
Zip Code 10030,s,s,s
Home Language is AMHARIC,,,
Residential District 26,s,s,s
Home Language is VISAYAK,,,
Home Language is SPANISH,,,
Home Language is JAMAICAN-CREOLE,,,
Home Language is AFRIKAANS,,,
Zip Code 10005,s,s,s
Zip Code 10034,s,s,s
Home Language is CHINESE-DIALECT UNKNOWN/OTHER,,,
Home Language is TURKISH,,,
Home Language is PASHTO,,,
Zip Code 10035,s,s,s
All Students,1081,727,803
Zip Code 10028,s,s,s
Residential District 29,s,s,s
Zip Code 10044,s,s,s
Home Language is MARATHI,,,
Residential District 19,7,s^,s^
Zip Code 10459,s,s,s
Home Language is SESOTHO,,,
Residential District 25,s,s,s
Home Language is PORTUGUESE,,,
Residential District 04,12,s^,8
Zip Code 10126,s,s,s
Home Language is URDU,,,
Home Language is BENGALI,,,
Zip Code 10037,s,s,s
Home Language is BULGARIAN,,,
