grade_9_applicants,grade_6_applicants
94,35
68,11
91,11
28,9
6,s
38,20
s,s
s,s
9,s
s,s
48,16
s,s
161,77
18,s
s,s
126,32
s,s
356,63
s,s
49,14
6598,2781
s,s
581,108
55,12
s,s
16,7
86,31
128,31
s,s
s,s
84,30
680,468
57,23
s,s
233,111
42,7
63,15
24,s
10,s
8,s
340,125
s,s
7,6
s,s
225,218
s,s
99,16
18,6
s,s
80,67
7,s
176,56
s,s
157,49
s,s
505,532
s,s
544,134
120,33
s,s
53,23
31,7
99,45
41,14
12,s
63,11
344,67
12,13
105,40
s,s
s,s
s,s
13,s
71,19
299,43
s,s
8,s
513,425
6,s
54,11
15,s
40,s
6,9
114,62
116,25
102,27
s,s
s,s
234,35
s,s
7,s
100,12
s,s
71,51
458,60
s,s
6,s
25,6
s,s
679,198
11,10
24,s
s,s
196,27
49,26
s,s
136,15
223,108
113,53
17,8
8,s
s,s
s,s
s,s
99,32
41,15
s,s
s,s
14,s
8,s
160,34
466,75
19,6
s,s
259,69
s,s
882,346
s,s
s,s
51,10
76,43
s,s
s,s
s,s
9,12
6,s
6,s
8,6
s,s
s,s
s,s
s,s
84,12
s,s
20,s
s,s
232,79
s,s
138,20
85,15
74,9
61,15
1671,635
s,s
15,12
s,s
53,14
8,s
19,7
9,s
56,14
81,26
20,14
s,s
s,s
221,150
198,30
103,43
6,s
314,74
s,s
51,10
s,s
88,22
s,s
1494,275
s,s
s,s
9,s
70,7
15,7
6,s
s,s
87,15
10531,3755
101,26
95,49
24,11
s,s
308,68
53,8
s,s
115,59
17,8
281,40
s,s
36,6
566,60
27,9
s,s
