district,grade_level,number_of_students
1,3,54
2,2,48
1,4,44
2,4,116
1,6,29
1,3,32
1,K,30
2,3,162
2,4,104
1,5,51
2,2,84
1,1,50
1,6,15
1,7,20
2,2,17
1,6,63
2,1,34
2,4,62
2,2,53
1,K,132
1,7,68
1,7,24
1,8,76
1,3,50
1,K,40
1,7,56
1,K,21
1,4,26
1,7,30
1,5,48
1,4,57
2,1,108
2,2,300
2,4,240
2,K,286
2,4,46
2,3,152
1,1,18
1,6,19
2,K,266
2,4,243
1,1,34
1,7,52
1,4,27
1,4,85
2,5,54
1,8,51
1,4,87
2,3,322
1,3,15
1,8,26
1,2,15
2,1,32
1,2,19
1,4,25
1,2,54
1,5,24
1,6,20
1,8,46
1,6,16
2,1,133
1,6,54
1,1,16
2,2,220
2,4,210
1,4,28
1,2,40
1,1,40
2,2,120
1,6,72
2,3,96
2,3,130
2,K,128
1,1,72
1,2,64
1,7,36
2,3,108
1,K,38
1,8,42
2,3,64
2,1,45
1,4,70
1,1,104
2,1,56
1,6,23
1,6,104
2,2,87
1,2,50
1,3,57
2,4,54
2,3,87
1,K,100
1,1,40
1,3,42
2,4,198
2,2,156
2,1,240
1,4,23
2,4,209
2,K,136
2,4,120
2,2,168
2,3,24
1,3,22
2,1,81
2,4,68
1,5,23
1,6,66
1,2,75
2,3,286
1,7,90
2,4,56
1,2,22
2,3,30
2,3,30
2,2,180
1,2,46
2,2,81
2,2,30
2,2,152
1,4,21
1,5,29
2,4,15
2,4,72
1,6,25
2,1,104
2,3,216
2,K,130
1,8,75
2,5,51
1,8,27
1,2,28
1,7,126
1,5,54
1,5,20
2,2,322
2,1,330
2,1,146
2,K,357
2,3,189
1,K,24
1,K,51
2,4,200
1,6,84
1,K,122
1,6,96
1,5,22
1,1,30
2,K,60
2,K,460
2,3,60
2,1,175
1,2,96
2,K,180
1,8,20
1,5,26
2,4,160
2,1,116
2,1,216
1,4,18
2,2,60
1,K,32
2,4,64
2,4,48
1,5,62
1,2,34
1,1,56
2,1,273
2,1,322
1,4,40
1,8,48
1,5,18
1,5,50
1,8,66
2,K,276
2,5,23
1,7,76
1,7,27
1,1,19
1,3,17
1,1,42
2,2,162
2,5,30
1,3,125
2,K,48
1,4,32
1,K,18
1,3,84
2,5,32
2,K,175
1,5,56
2,3,140
1,5,105
1,7,50
1,1,44
1,3,100
2,3,17
2,3,100
1,8,84
1,5,19
