dbn,school_name,overall_attendance_rate,remote_instruction_attendance
02M288,Food and Finance High School,86.1,
02M399,The High School For Language And Diplomacy,80.4,
02M416,Eleanor Roosevelt High School,97.3,s
02M124,P.S. 124 Yung Wing,98.3,
03M009,P.S. 009 Sarah Anderson,97.3,97.5
03M421,West Prep Academy,91.5,s
01M363,Neighborhood School,95.1,
02M529,Jacqueline Kennedy Onassis High School,83.8,
03M180,P.S. 180 Hugo Newman,92.5,100.0
02M308,Lower Manhattan Arts Academy,86.4,
03M541,Manhattan / Hunter Science High School,97.7,
01M650,Cascades High School,45.8,s
02M546,Academy for Software Engineering,84.1,100.0
02M414,N.Y.C. Museum School,96.9,
02M089,P.S. 89,97.2,s
02M600,The High School of Fashion Industries,85.8,s
02M630,Art and Design High School,89.9,s
02M104,J.H.S. 104 Simon Baruch,96.8,92.9
02M400,High School for Environmental Studies,87.4,
02M422,Quest to Learn,87.3,s
02M296,High School of Hospitality Management,76.4,
02M316,"Urban Assembly School of Business for Young Women,",80.6,
02M449,Vanguard High School,85.7,s
02M255,M.S. 255 Salk School of Science,97.4,
04M102,P.S. 102 Jacques Cartier,84.1,s
03M258,Community Action School - MS 258,86.8,
01M839,Tompkins Square Middle School,94.5,s
02M177,Yorkville East Middle School,96.4,96.7
01M015,P.S. 015 Roberto Clemente,89.5,
02M615,Chelsea Career and Technical Education High School,81.5,
02M305,"Urban Assembly Academy of Government and Law, The",86.6,100.0
03M242,P.S. 242 - The Young Diplomats Magnet Academy,82.0,61.7
03M256,Lafayette Academy,90.6,
01M696,Bard High School Early College,94.8,
02M570,Satellite Academy High School,55.5,
04M083,P.S. 083 Luis Munoz Rivera,91.5,
01M063,The STAR Academy - P.S.63,89.6,
01M364,Earth School,89.7,
02M397,Spruce Street School,95.9,98.3
03M505,Edward A. Reynolds West Side High School,51.8,
02M011,P.S. 011 William T. Harris,94.8,
03M404,Innovation Diploma Plus,47.6,
01M378,School for Global Leaders,90.7,s
02M167,J.H.S. 167 Robert F. Wagner,96.6,100.0
01M020,P.S. 020 Anna Silver,87.3,
02M407,Institute for Collaborative Education,92.8,
02M412,N.Y.C. Lab School for Collaborative Studies,96.1,
03M247,M.S. M247 Dual Language Middle School,94.4,
02M544,Independence High School,33.1,
02M276,Battery Park City School,96.8,
03M087,P.S. 087 William Sherman,98.2,
02M565,Urban Academy Laboratory High School,93.0,
01M184,P.S. 184m Shuang Wen,97.3,s
02M489,High School of Economics and Finance,87.7,
03M185,The Locke School of Arts and Engineering,87.3,
02M418,Millennium High School,98.0,0.0
02M150,P.S. 150,96.8,100.0
02M580,Richard R. Green High School of Teaching,78.9,
02M040,P.S. 040 Augustus Saint-Gaudens,89.7,
02M298,Pace High School,84.3,
04M007,P.S. 007 Samuel Stern,84.9,
02M391,District 2 Pre-K Center,87.6,
02M408,Professional Performing Arts High School,94.3,
02M001,P.S. 001 Alfred E. Smith,90.0,
04M038,P.S. 38 Roberto Clemente,83.2,
02M432,Murray Hill Academy,84.1,s
02M260,The Clinton School,97.4,
02M533,Union Square Academy for Health Sciences,74.2,0.0
02M933,City Knoll Middle School,88.7,
03M307,"Urban Assembly School for Media Studies, The",83.9,100.0
02M234,P.S. 234 Independence School,97.7,100.0
02M343,The Peck Slip School,94.3,
02M002,P.S. 002 Meyer London,94.5,
03M245,M.S. M245 The Computer School,96.8,
02M297,M.S. 297,93.4,
02M225,Ella Baker School,94.7,
03M479,Beacon High School,95.4,s
02M507,Urban Assembly Gateway School for Technology,88.3,
02M111,P.S. 111 Adolph S. Ochs,89.0,s
03M084,P.S. 084 Lillian Weber,95.2,
03M291,West End Secondary School,89.5,s
02M531,Repertory Company High School for Theatre Arts,93.1,100.0
02M545,High School for Dual Language and Asian Studies,98.4,
02M135,The Urban Assembly School for Emergency Management,80.2,
03M403,The Global Learning Collaborative,84.2,
02M896,Lower Manhattan Community Middle School,96.3,100.0
01M332,University Neighborhood Middle School,88.6,100.0
02M051,P.S. 051 Elias Howe,88.5,
03M862,Mott Hall II,93.3,s
02M442,"Ballet Tech, NYC Public School for Dance",97.5,
01M188,P.S. 188 The Island School,85.2,
02M475,Stuyvesant High School,98.8,
02M543,New Design High School,79.6,
02M427,Manhattan Academy For Arts & Language,81.9,
03M250,M.S. 250 West Side Collaborative Middle School,84.4,s
02M411,Baruch College Campus High School,95.6,
01M019,P.S. 019 Asher Levy,93.3,
02M059,P.S. 059 Beekman Hill International,84.4,
02M131,M.S. 131,94.3,
02M419,Landmark High School,80.1,
03M334,The Anderson School,98.4,
03M415,Wadleigh Secondary School for the Performing & Vis,86.7,
02M542,Manhattan Bridges High School,87.3,
02M586,Harvey Milk High School,67.7,100.0
02M376,NYC iSchool,96.5,
04M072,The Lexington Academy,86.9,
02M413,School of the Future High School,95.6,100.0
02M077,P.S. 77 Lower Lab School,98.2,100.0
02M151,Yorkville Community School,93.7,s
02M575,Manhattan Comprehensive Night and Day High School,50.5,s
02M289,I.S. 289,96.6,s
03M417,Frank McCourt High School,93.4,
04M096,P.S. 096 Joseph Lanzetta,86.9,
02M438,International High School at Union Square,84.9,
02M374,Gramercy Arts High School,89.2,87.8
03M860,Frederick Douglass Academy II Secondary School,84.9,
02M041,P.S. 041 Greenwich Village,96.4,
02M560,High School M560 - City As School,59.2,
02M300,"Urban Assembly School of Design and Construction,",85.3,
02M294,Essex Street Academy,86.6,
03M166,P.S. 166 The Richard Rodgers School of The Arts an,96.3,s
02M394,Emma Lazarus High School,85.8,
01M539,"New Explorations into Science, Technology and Math",96.2,
02M280,Manhattan Early College School for Advertising,86.4,
04M012,Tag Young Scholars,95.4,
02M527,P.S. 527 - East Side School for Social Action,96.5,s
02M605,Humanities Preparatory Academy,92.0,
02M313,"James Baldwin School, The: A School for Expedition",54.1,100.0
02M655,The High School for Climate Justice,76.3,100.0
02M267,"East Side Elementary School, PS 267",94.8,100.0
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,80.6,93.6
01M110,P.S. 110 Florence Nightingale,92.6,
02M425,Leadership and Public Service High School,69.8,
03M452,P.S. 452,93.4,s
02M290,P.S. 290 Manhattan New School,95.7,
01M458,Forsyth Satellite Academy,52.6,
03M199,P.S. 199 Jessie Isador Straus,97.3,100.0
03M402,The Urban Assembly School for Green Careers,79.9,
02M282,Urban Assembly Maker Academy,85.7,29.8
01M034,P.S. 034 Franklin D. Roosevelt,84.6,54.4
02M116,P.S. 116 Mary Lindley Murray,91.7,
02M459,Manhattan International High School,82.5,
02M003,P.S. 003 Charrette School,94.7,
01M140,P.S. 140 Nathan Straus,85.3,
03M054,J.H.S. 054 Booker T. Washington,96.6,
02M392,Manhattan Business Academy,84.5,
02M281,The River School,94.0,s
02M550,Liberty High School Academy for Newcomers,78.5,
03M243,M.S. 243 Center School,98.4,
03M075,P.S. 075 Emily Dickinson,92.3,
03M163,P.S. 163 Alfred E. Smith,91.7,
02M033,P.S. 033 Chelsea Prep,92.1,
02M312,New York City Lab Middle School for Collaborative,98.1,
01M450,East Side Community School,93.0,s
02M006,P.S. 006 Lillie D. Blake,95.9,s
03M145,"P.S. 145, The Bloomingdale School",89.1,s
01M142,P.S. 142 Amalia Castro,86.7,
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational C,88.3,
02M519,Talent Unlimited High School,92.5,
02M393,Business Of Sports School,84.2,
01M361,The Children's Workshop School,94.1,
03M076,P.S. 076 A. Philip Randolph,87.6,91.9
01M134,P.S. 134 Henrietta Szold,89.1,
02M042,P.S. 042 Benjamin Altman,95.1,
02M520,Murry Bergtraum High School for Business Careers,80.4,
01M315,The East Village Community School,95.4,
03M149,P.S. 149 Sojourner Truth,89.9,
03M191,The Riverside School for Makers and Artists,86.4,
02M420,High School for Health Professions and Human Servi,91.7,s
02M114,East Side Middle School,98.1,s
02M126,P.S. 126 Jacob August Riis,94.9,
01M292,Orchard Collegiate Academy,81.6,
03M492,"High School for Law, Advocacy and Community Justic",85.4,
02M534,Harvest Collegiate High School,78.4,
01M515,Lower East Side Preparatory High School,61.7,
02M303,"Facing History School, The",85.6,s
04M057,James Weldon Johnson,89.5,
01M064,P.S. 064 Robert Simon,87.8,s
02M437,Hudson High School of Learning Technologies,82.9,100.0
04M037,River East Elementary,86.5,
03M485,Fiorello H. LaGuardia High School of Music & Art a,97.3,
02M500,Unity Center for Urban Technologies,82.7,
02M130,P.S. 130 Hernando De Soto,97.2,
02M340,Sixth Avenue Elementary School,94.5,99.4
