tpep_dropoff_datetime,total_amount,dolocationid,store_and_fwd_flag,payment_type,tolls_amount,extra
2023-01-01T00:59:36.000,15.45,229,N,1,0.0,3.5
2023-01-01T00:32:55.000,22.2,24,N,1,0.0,1.0
2023-01-01T00:31:20.000,16.32,107,N,1,0.0,1.0
2022-12-31T23:56:06.000,13.5,140,N,1,0.0,1.0
2023-01-01T00:30:17.000,39.75,95,N,2,0.0,6.0
2023-01-01T00:32:23.000,20.5,211,N,1,0.0,1.0
2023-01-01T01:02:18.000,16.4,164,N,4,0.0,3.5
2023-01-01T01:08:13.000,31.45,238,N,1,0.0,3.5
2023-01-01T00:24:45.000,18.84,170,N,1,0.0,1.0
2023-01-01T00:52:16.000,18.0,79,N,1,0.0,1.0
2023-01-01T01:16:14.000,68.5,188,N,1,0.0,1.0
2023-01-01T00:20:52.000,13.8,107,N,1,0.0,1.0
2023-01-01T00:23:09.000,23.88,42,N,1,0.0,1.0
2023-01-01T00:36:40.000,28.38,236,N,1,0.0,1.0
2023-01-01T00:46:51.000,24.1,75,N,2,0.0,3.5
2023-01-01T01:30:59.000,78.41,149,N,1,0.0,1.0
2023-01-01T00:20:19.000,19.62,186,N,1,0.0,1.0
2023-01-01T00:45:54.000,15.64,229,N,1,0.0,1.0
2023-01-01T00:46:32.000,12.9,43,N,2,0.0,1.0
2023-01-01T00:18:23.000,14.3,238,N,2,0.0,1.0
2023-01-01T01:11:49.000,35.38,79,N,1,0.0,1.0
2023-01-01T00:45:55.000,19.4,229,N,1,0.0,3.5
2023-01-01T00:31:03.000,-10.1,229,N,4,0.0,-1.0
2023-01-01T00:49:44.000,16.32,79,N,1,0.0,1.0
2023-01-01T01:07:11.000,19.68,90,N,1,0.0,1.0
2023-01-01T00:21:15.000,11.5,231,N,1,0.0,1.0
2023-01-01T00:19:22.000,29.5,255,N,1,0.0,3.5
2023-01-01T00:48:44.000,21.3,137,N,2,0.0,1.0
2023-01-01T00:25:11.000,12.96,4,N,1,0.0,1.0
2023-01-01T00:10:54.000,12.2,264,N,2,0.0,3.5
2023-01-01T01:30:45.000,64.85,265,N,2,0.0,1.0
2023-01-01T01:02:52.000,27.8,137,N,1,0.0,1.0
2023-01-01T00:24:05.000,17.8,234,N,2,0.0,1.0
2023-01-01T00:43:20.000,18.7,164,N,1,0.0,1.0
2023-01-01T01:16:03.000,26.4,232,N,1,0.0,1.0
2023-01-01T00:52:25.000,91.25,25,N,1,0.0,2.25
2023-01-01T00:18:27.000,33.96,140,N,1,0.0,1.0
2023-01-01T00:59:50.000,18.5,75,N,2,0.0,1.0
2023-01-01T00:38:18.000,13.8,236,N,1,0.0,1.0
2023-01-01T00:29:41.000,20.6,229,N,2,0.0,3.5
2023-01-01T00:45:39.000,10.8,229,N,2,0.0,1.0
2023-01-01T00:12:09.000,11.28,107,N,1,0.0,1.0
2023-01-01T00:08:49.000,13.22,231,N,1,0.0,1.0
2023-01-01T01:00:34.000,31.8,112,N,2,0.0,1.0
2023-01-01T00:25:19.000,13.8,262,N,1,0.0,1.0
2023-01-01T01:01:27.000,16.9,237,N,1,0.0,1.0
2023-01-01T00:54:43.000,12.2,170,N,2,0.0,3.5
2023-01-01T00:21:28.000,23.0,13,N,1,0.0,1.0
2023-01-01T01:01:05.000,28.37,90,N,1,0.0,1.0
2023-01-01T00:46:47.000,22.2,162,N,1,0.0,1.0
2023-01-01T00:24:55.000,15.45,229,N,1,0.0,3.5
2023-01-01T01:07:25.000,20.6,107,N,2,0.0,1.0
2023-01-01T00:37:49.000,34.9,238,N,1,0.0,1.0
2023-01-01T00:33:52.000,12.42,236,N,1,0.0,1.0
2023-01-01T00:25:07.000,15.48,4,N,1,0.0,1.0
2023-01-01T00:14:48.000,17.1,43,N,2,0.0,1.0
2023-01-01T00:39:51.000,15.1,233,N,1,0.0,1.0
2023-01-01T00:43:03.000,11.92,262,N,1,0.0,3.5
2023-01-01T00:59:51.000,31.1,186,N,2,0.0,1.0
2023-01-01T00:16:32.000,14.19,148,N,1,0.0,1.0
2023-01-01T00:37:49.000,18.4,114,N,1,0.0,1.0
2023-01-01T00:27:38.000,12.8,233,N,1,0.0,1.0
2023-01-01T01:05:25.000,22.2,239,N,1,0.0,1.0
2023-01-01T00:43:02.000,8.0,163,N,2,0.0,1.0
2023-01-01T00:16:02.000,16.12,238,N,1,0.0,1.0
2023-01-01T00:38:27.000,16.3,170,N,1,0.0,3.5
2023-01-01T00:19:49.000,20.52,143,N,1,0.0,1.0
