award,name,nta,bbl,buildingid-:@computed_region_yeji_bk3q
8212500.0,I.S. 202 - QUEENS,QN1102,4074820317.0,Q202-3.0
580000.0,P.S. 380 - BROOKLYN,BK0902,3048060001.0,K380-2.0
80059.32,P.S. 384 - BROOKLYN,BK1702,3050220002.0,K384-2.0
14298000.0,I.S. 54 - MANHATTAN,MN0303,1003940012.0,M054-4.0
27711000.0,HS FOR HEALTH PROF & HUMAN SERV-M,MN0801,1014420001.0,M475-4.0
587000.0,I.S. 109 - QUEENS,QN0503,4038460040.0,Q109-3.0
200000.0,P.S. 155 - BROOKLYN,BK0502,3040150001.0,K155-2.0
9924000.0,P.S. 84 - BROOKLYN,BK0902,3047940026.0,K084-2.0
6831000.0,P.S. 178 - BRONX,BX0101,2023330070.0,X178-5.0
2794000.0,P.S. 209 - BROOKLYN,BK0503,3043240001.0,K209-2.0
202772.36,P.S. 150 - QUEENS,QN0203,4011840014.0,Q150-3.0
24193000.0,BROOKLYN TECH HS - K,BK0104,3030160001.0,K430-2.0
644500.0,P.S. 197 - MANHATTAN,MN1202,1021720016.0,M197-4.0
8974000.0,P.S. 146 - BRONX,BX0302,2029250001.0,X146-5.0
1209512.0,P.S. 185 - BROOKLYN,BK1302,3070060001.0,K185-2.0
424999.0,I.S. 562 - BRONX,BX0202,2026880001.0,X125-5.0
8419000.0,P.S. 55 - STATEN ISLAND,SI0104,5001000100.0,R055-1.0
91150.0,I.S. 131 - MANHATTAN,MN0302,1002880015.0,M131-4.0
22935000.0,P.S. 180 - BROOKLYN,BK1602,3035970011.0,K180-2.0
283150.0,MARTIN VAN BUREN HS - QUEENS,QN0105,4004040001.0,Q435-3.0
9588000.0,K140 SPED - BROOKLYN,BK0302,3016710019.0,K258-2.0
347000.0,P.S. 15 - BRONX,BX0703,2033300001.0,X015-5.0
1114250.0,LONG ISLAND CITY HS - Q,QN0707,4050020001.0,Q452-3.0
543700.0,P.S. 333 - MANHATTAN,MN0901,1019640012.0,M118-4.0
3996000.0,P.S. 44 - STATEN ISLAND,SI0302,5051060001.0,R044-1.0
1997798.0,FIORELLO LAGUARDIA HS - MANHATTAN,MN0701,1011570025.0,M485-4.0
10796000.0,P.S. /I.S 295 - QUEENS,QN0303,4017140018.0,Q263-3.0
148607.82,P.S. 62 - QUEENS,QN1002,4091550025.0,Q062-3.0
979000.0,P.S. 183 - QUEENS,QN0602,4031720002.0,Q183-3.0
