name,zip_code,projdesc,:@computed_region_sbqj_enih,:@computed_region_92fq_4b7q,geo_dist
P.S. 155 - QUEENS,11361.0,FY24 RESO A PLAYGROUND UPGRADE / PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,69.0,20.0,27
P.S. 44 - STATEN ISLAND,10308.0,COVID VENTILATION / COVID VENTILATION- CLIMATE CONTROL,76.0,9.0,31
P.S. 243 - BROOKLYN,11226.0,ROOFS / PARAPETS / EXTERIOR MASONRY,40.0,11.0,16
P.S. 311 - MANHATTAN,10065.0,PARAPETS / FY20 RESO A PLAYGROUND UPGRADE / EXTERIOR MASONRY,11.0,1.0,6
P.S. 84 - BROOKLYN,11203.0,FULL PROGRAM ACCESSIBILITY,44.0,17.0,14
P.S. 62 - BRONX,10454.0,WINDOWS / FULL PROGRAM ACCESSIBILITY,23.0,35.0,8
THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,10453.0,WALK-IN REFRIGERATORS AND FREEZERS,29.0,29.0,7
BROOKLYN TECH HS - K,11211.0,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,56.0,30.0,13
P.S. 236 - BROOKLYN,11213.0,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,49.0,49.0,22
NEW DORP HS - STATEN ISLAND,10306.0,PARAPETS / EXTERIOR MASONRY / ROOFS,76.0,14.0,31
HARRY S. TRUMAN HS - X,10451.0,PATH OF TRAVEL RESO A ATHLETIC FIELD / FY22 RESO A ATHLETIC FIELD UPGRADE,23.0,43.0,11
P.S./I.S. 499 - QUEENS,11101.0,LSP DOMESTIC WATER HEATER REPLACEMENT,66.0,33.0,25
P.S. 380 - BROOKLYN,11203.0,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,44.0,17.0,14
P.S. 214 - QUEENS,11365.0,LSP FY23 RESO A PLAYGROUND UPGRADE,65.0,24.0,25
P.S. 40 - QUEENS,11691.0,ROOF REPLACEMENT / WINDOWS,59.0,47.0,28
P.S. 106 - BROOKLYN,11228.0,LSP DOMESTIC WATER HEATER,37.0,44.0,32
P.S. 180 - BROOKLYN,11212.0,EXTERIOR MASONRY / FULL PROGRAM ACCESSIBILITY / FLOOD ELIMINATION,46.0,25.0,20
I.S. 223 - BROOKLYN,11223.0,DAMAGED STEEL BEAM AT THE MAIN ENTRANCE #1,37.0,45.0,20
P.S. 55 - STATEN ISLAND,10301.0,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,74.0,13.0,31
JAMES BALDWIN SCHOOL - MANHATTAN,10040.0,DEFECTIVE POOL FOUNDATION WALLS,22.0,39.0,2
P.S. 329 - BROOKLYN,11212.0,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,46.0,37.0,21
P.S. 146 - BRONX,10456.0,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEM,25.0,42.0,8
J.H.S. 67 - QUEENS,11385.0,ROOFS / PARAPETS / EXTERIOR MASONRY,62.0,34.0,26
I.S. 131 - MANHATTAN,10002.0,LSP DANCE FLOOR REPLACEMENT,4.0,32.0,2
HERBERT H. LEHMAN HS - X,10467.0,AUDITORIUM UP0GRADE,30.0,2.0,8
I.S. 54 - MANHATTAN,10009.0,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,5.0,50.0,3
