location_1,census_tract,:@computed_region_f5dn_yrer,boro,borough,longitude
"{'latitude': '40.753037', 'longitude': '-73.900123'}",293.0,53.0,Q,QUEENS,-73.900123
"{'latitude': '40.709079', 'longitude': '-73.801856'}",448.0,25.0,Q,QUEENS,-73.801856
"{'latitude': '40.621224', 'longitude': '-73.91287'}",69602.0,5.0,K,BROOKLYN,-73.91287
"{'latitude': '40.697152', 'longitude': '-73.946641'}",257.0,69.0,K,BROOKLYN,-73.946641
"{'latitude': '40.866931', 'longitude': '-73.884217'}",40702.0,24.0,X,BRONX,-73.884217
"{'latitude': '40.737517', 'longitude': '-73.794031'}",1341.0,25.0,Q,QUEENS,-73.794031
"{'latitude': '40.834899', 'longitude': '-73.941085'}",245.0,47.0,M,MANHATTAN,-73.941085
"{'latitude': '40.765166', 'longitude': '-73.82789'}",1161.0,22.0,Q,QUEENS,-73.82789
"{'latitude': '40.612623', 'longitude': '-73.951906'}",546.0,60.0,K,BROOKLYN,-73.951906
"{'latitude': '40.654704', 'longitude': '-73.941089'}",814.0,61.0,K,BROOKLYN,-73.941089
"{'latitude': '40.85881', 'longitude': '-73.909746'}",255.0,24.0,X,BRONX,-73.909746
"{'latitude': '40.797302', 'longitude': '-73.936365'}",188.0,7.0,M,MANHATTAN,-73.936365
"{'latitude': '40.595698', 'longitude': '-73.97518'}",398.0,32.0,K,BROOKLYN,-73.97518
"{'latitude': '40.632562', 'longitude': '-73.954724'}",772.0,60.0,K,BROOKLYN,-73.954724
"{'latitude': '40.734572', 'longitude': '-73.795484'}",1223.0,25.0,Q,QUEENS,-73.795484
"{'latitude': '40.68618', 'longitude': '-73.869625'}",1184.0,45.0,K,BROOKLYN,-73.869625
"{'latitude': '40.67588', 'longitude': '-73.758505'}",352.0,41.0,Q,QUEENS,-73.758505
"{'latitude': '40.61978', 'longitude': '-74.000792'}",190.0,1.0,K,BROOKLYN,-74.000792
