restrict_loc,sec_plate_state,driver_fm_ind
MN,No,
MN,No,Fleet Manager
MN,No,
,No,Driver
,No,
MN,No,Fleet Manager
,No,Driver
,No,Driver
,No,Driver
,No,Driver
MN,No,Driver
MN,No,Fleet Manager
,No,Driver
,No,Driver
,No,Driver
,No,Driver
MN,No,Driver
,No,Fleet Manager
MN,No,Driver
MN,No,Driver
,No,
MN,No,Driver
MN,No,Fleet Manager
,No,Driver
BK,No,Driver
MN,No,Driver
MN,No,Fleet Manager
,No,Driver
MN,No,Driver
,No,Driver
,No,Driver
MN,No,Driver
MN,No,Fleet Manager
MN,No,Fleet Manager
MN,No,Fleet Manager
,No,Driver
,No,Driver
MN,No,Driver
MN,No,Driver
,No,Driver
,No,Fleet Manager
,No,Driver
MN,No,Driver
,No,Driver
,No,Fleet Manager
MN,No,
MN,No,Fleet Manager
MN,No,Driver
,No,Driver
,No,
,No,Driver
MN,No,Fleet Manager
,No,Driver
MN,No,Fleet Manager
,No,Driver
MN,No,Driver
MN,No,Fleet Manager
,No,Driver
MN,No,Driver
MN,No,Fleet Manager
,No,Driver
MN,No,Driver
,No,Driver
,No,Driver
MN,No,Driver
MN,No,Fleet Manager
,No,Driver
MN,No,Fleet Manager
MN,No,Driver
,No,Driver
MN,No,Driver
MN,No,Driver
MN,No,Fleet Manager
MN,No,Driver
,No,Fleet Manager
,No,Driver
MN,No,Fleet Manager
,No,Driver
MN,Yes,Driver
,No,Driver
,No,Driver
BK,No,Driver
,No,Driver
,No,Driver
MN,No,Driver
MN,No,Driver
,No,Driver
MN,No,Driver
,No,Driver
MN,No,Driver
MN,No,Fleet Manager
MN,No,Fleet Manager
,No,Driver
,No,Driver
MN,No,Driver
,No,Driver
MN,No,Driver
,No,Fleet Manager
MN,No,
,No,Driver
,No,Driver
MN,No,Fleet Manager
,No,Driver
MN,Yes,Driver
MN,No,Driver
MN,No,Driver
,No,Driver
MN,No,Fleet Manager
,No,Driver
MN,No,Fleet Manager
,No,Driver
MN,No,Driver
,No,Driver
,No,Fleet Manager
MN,No,Driver
MN,No,Driver
,No,Driver
,No,Fleet Manager
,No,Driver
,No,Driver
MN,No,Driver
,No,Driver
,No,Driver
,No,
,No,Fleet Manager
MN,No,Driver
MN,No,Driver
,No,Driver
MN,No,Driver
,No,Driver
MN,No,Driver
,No,Driver
MN,No,Driver
MN,No,Driver
MN,No,Fleet Manager
,No,Driver
MN,No,Fleet Manager
,No,Driver
MN,No,Driver
,No,Driver
,No,Driver
MN,No,Driver
MN,No,Fleet Manager
MN,No,Fleet Manager
MN,No,Driver
,No,
,No,Driver
,No,Driver
MN,No,Fleet Manager
MN,No,Fleet Manager
MN,No,Fleet Manager
,No,
,No,Driver
MN,No,Driver
,No,Driver
MN,No,Driver
MN,No,Driver
,No,Fleet Manager
MN,No,Fleet Manager
MN,No,Driver
MN,No,Driver
,No,Driver
MN,No,Driver
MN,No,Fleet Manager
MN,No,Driver
,No,Driver
,No,Driver
MN,No,Fleet Manager
,No,Fleet Manager
MN,No,Driver
,No,Driver
,No,Driver
MN,No,Fleet Manager
MN,No,Driver
,No,Fleet Manager
,No,Driver
,No,Driver
MN,No,Driver
,No,Driver
MN,No,Driver
,No,Driver
,Yes,Driver
,No,
MN,No,Driver
MN,No,Driver
,No,Fleet Manager
,No,Driver
,No,
MN,No,Driver
,No,Driver
,No,Driver
,No,Driver
,No,Driver
,No,Fleet Manager
MN,No,Driver
MN,No,Driver
MN,No,Driver
,No,Driver
,No,Driver
,No,Fleet Manager
