app_definition,permit_num,status_1,plate_state,effective_date
Plate-specific Government,112015,Complete,NY,2006-08-01T00:00:00.000
Plate-specific Government,125451,Complete,NY,2007-02-01T00:00:00.000
Plate-specific Government,28656,Complete,NY,2003-01-01T00:00:00.000
Plate-specific Government,13009,Complete,NY,2002-03-15T00:00:00.000
Plate-specific Government,26099,Complete,NY,2003-01-01T00:00:00.000
Plate-specific Government,5444,Complete,NY,2001-01-01T00:00:00.000
Plate-specific Private,16211,Complete,NY,2002-03-15T00:00:00.000
Plate-specific Government,104407,Complete,NY,2006-08-01T00:00:00.000
Plate-specific Private,106181,Complete,NY,2006-02-01T00:00:00.000
Plate-specific Private,125407,Complete,NY,2007-02-01T00:00:00.000
Plate-specific Private,95270,Complete,NY,2006-02-01T00:00:00.000
Plate-specific Government,54567,Complete,NY,2005-02-01T00:00:00.000
Plate-specific Government,7172,Complete,NY,2001-07-01T00:00:00.000
Plate-specific Private,125407,Complete,NY,2007-02-01T00:00:00.000
Plate-specific Government,126930,Complete,NY,2007-02-01T00:00:00.000
Plate-specific Government,45218,Complete,NY,2004-08-01T00:00:00.000
Undefined,640,Complete,NY,2001-01-01T00:00:00.000
Plate-specific Government,33728,Complete,NY,2003-10-01T00:00:00.000
Plate-specific Government,107458,Complete,NY,2006-08-01T00:00:00.000
Plate-specific Private,57263,Complete,NY,2005-02-01T00:00:00.000
Plate-specific Private,16974,Complete,NY,2001-09-01T00:00:00.000
Plate-specific Private,5473,Complete,NY,2001-01-01T00:00:00.000
Plate-specific Government,51496,Complete,NY,2005-02-01T00:00:00.000
Plate-specific Private,93433,Complete,NY,2006-02-01T00:00:00.000
Plate-specific Private,6015,Complete,NY,2001-01-01T00:00:00.000
Plate-specific Private,55115,Complete,NY,2005-02-01T00:00:00.000
Plate-specific Government,5444,Complete,NY,2001-01-01T00:00:00.000
Plate-specific Private,125407,Complete,NY,2007-02-01T00:00:00.000
Plate-specific Government,44503,Complete,NY,2004-08-01T00:00:00.000
Plate-specific Private,32414,Complete,NY,2003-02-01T00:00:00.000
Plate-specific Private,16211,Complete,NY,2002-03-15T00:00:00.000
Plate-specific Private,125333,Complete,NY,2007-02-01T00:00:00.000
Plate-specific Government,44332,Complete,NY,2004-02-01T00:00:00.000
Plate-specific Government,50637,Complete,NY,2005-02-01T00:00:00.000
Plate-specific Government,51496,Complete,NY,2005-02-01T00:00:00.000
Plate-specific Private,94201,Complete,NY,2006-02-01T00:00:00.000
Plate-specific Government,52281,Complete,NY,2005-02-01T00:00:00.000
Plate-specific Private,57263,Complete,NY,2005-02-01T00:00:00.000
Plate-specific Private,95270,Complete,NY,2006-02-01T00:00:00.000
Plate-specific Private,30338,Complete,NY,2003-02-01T00:00:00.000
Plate-specific Government,126897,Complete,NY,2007-02-01T00:00:00.000
Plate-specific Private,30338,Complete,NY,2003-02-01T00:00:00.000
Plate-specific Private,57263,Complete,NY,2005-02-01T00:00:00.000
Plate-specific Private,125407,Complete,NY,2007-02-01T00:00:00.000
Plate-specific Government,33728,Complete,NY,2003-10-01T00:00:00.000
Plate-specific Government,76614,Complete,NY,2005-02-01T00:00:00.000
Plate-specific Government,5444,Complete,NY,2001-01-01T00:00:00.000
Plate-specific Private,54979,Complete,NY,2005-02-01T00:00:00.000
Plate-specific Private,41285,Complete,NY,2004-02-01T00:00:00.000
Plate-specific Government,39220,Complete,NY,2004-02-01T00:00:00.000
Plate-specific Private,30338,Complete,NY,2003-02-01T00:00:00.000
Plate-specific Government,47386,Complete,NY,2004-02-01T00:00:00.000
Plate-specific Private,54866,Complete,NY,2005-02-01T00:00:00.000
Undefined,737,Complete,NY,2001-01-01T00:00:00.000
Undefined,1403,Complete,NY,2001-01-01T00:00:00.000
Plate-specific Private,125333,Complete,NY,2007-02-01T00:00:00.000
Plate-specific Government,5444,Complete,NY,2001-01-01T00:00:00.000
Plate-specific Private,16211,Complete,NY,2002-03-15T00:00:00.000
Plate-specific Private,41334,Complete,NY,2004-02-01T00:00:00.000
Plate-specific Government,11063,Complete,NY,2002-03-15T00:00:00.000
Plate-specific Private,108537,Complete,NY,2006-08-01T00:00:00.000
Plate-specific Private,57263,Complete,NY,2005-02-01T00:00:00.000
Plate-specific Private,30338,Complete,NY,2003-02-01T00:00:00.000
Plate-specific Private,30338,Complete,NY,2003-02-01T00:00:00.000
Plate-specific Private,14843,Complete,NY,2002-03-15T00:00:00.000
Plate-specific Government,5444,Complete,NY,2001-01-01T00:00:00.000
Plate-specific Private,16211,Complete,NY,2002-03-15T00:00:00.000
Plate Change,56703,Complete,NY,2005-02-01T00:00:00.000
Plate-specific Private,57263,Complete,NY,2005-02-01T00:00:00.000
Plate-specific Government,27477,Complete,NY,2003-01-01T00:00:00.000
Plate-specific Private,125333,Complete,NY,2007-02-01T00:00:00.000
Plate-specific Private,57263,Complete,NY,2005-02-01T00:00:00.000
Plate-specific Government,87356,Complete,NY,2006-02-01T00:00:00.000
Plate-specific Private,95270,Complete,NY,2006-02-01T00:00:00.000
