boro,customer_status
MANHTN,Inactive
MANHTN,Inactive
MANHTN,Active
MANHTN,Active
QUEENS,Active
MANHTN,Active
MANHTN,Active
MANHTN,Inactive
MANHTN,Inactive
MANHTN,Active
QUEENS,Inactive
MANHTN,Active
QUEENS,Active
MANHTN,Active
QUEENS,Inactive
QUEENS,Active
MANHTN,Active
0,Active
MANHTN,Inactive
QUEENS,Active
QUEENS,Active
MANHTN,Active
QUEENS,Active
MANHTN,Inactive
MANHTN,Active
MANHTN,P
MANHTN,Active
MANHTN,Active
MANHTN,Active
UNSPEC,Active
MANHTN,Active
QUEENS,Active
MANHTN,Active
MANHTN,Inactive
BRONX,Active
MANHTN,Inactive
QUEENS,Inactive
MANHTN,Active
QUEENS,Inactive
QUEENS,Inactive
QUEENS,Inactive
MANHTN,Inactive
MANHTN,Active
QUEENS,Active
MANHTN,Active
MANHTN,Active
MANHTN,Active
QUEENS,Active
MANHTN,Inactive
QUEENS,Active
MANHTN,Inactive
MANHTN,Active
QUEENS,Active
MANHTN,Active
QUEENS,Active
MANHTN,Active
QUEENS,Active
MANHTN,Active
MANHTN,Active
MANHTN,Active
MANHTN,Inactive
MANHTN,Active
QUEENS,Inactive
UNSPEC,Inactive
MANHTN,P
BRKLYN,Active
QUEENS,Active
MANHTN,Active
MANHTN,Active
MANHTN,Inactive
MANHTN,Active
BRKLYN,Active
MANHTN,Active
MANHTN,Inactive
MANHTN,Active
MANHTN,Active
QUEENS,Active
MANHTN,Active
BRKLYN,Active
UNSPEC,Active
MANHTN,Active
BRKLYN,Active
MANHTN,Inactive
QUEENS,Active
MANHTN,Active
QUEENS,Inactive
MANHTN,Active
MANHTN,Active
MANHTN,Active
UNSPEC,Active
MANHTN,Active
MANHTN,Active
MANHTN,Active
BRKLYN,Active
MANHTN,Inactive
QUEENS,Active
MANHTN,Active
0,Active
MANHTN,Active
QUEENS,Active
MANHTN,Inactive
MANHTN,Active
MANHTN,Inactive
MANHTN,Active
MANHTN,Inactive
MANHTN,Inactive
MANHTN,Inactive
BRKLYN,Active
MANHTN,Active
BRKLYN,Active
MANHTN,Active
UNSPEC,Inactive
MANHTN,Active
MANHTN,P
MANHTN,Active
BRKLYN,Active
QUEENS,Inactive
0,Active
QUEENS,Active
QUEENS,Active
MANHTN,Inactive
MANHTN,Active
MANHTN,Active
QUEENS,Active
QUEENS,Active
MANHTN,Inactive
MANHTN,Inactive
BRKLYN,Active
MANHTN,Inactive
MANHTN,Inactive
MANHTN,Active
MANHTN,Inactive
MANHTN,Inactive
MANHTN,Active
MANHTN,Active
MANHTN,Inactive
UNSPEC,Active
BRKLYN,Active
MANHTN,Inactive
MANHTN,Inactive
QUEENS,Active
MANHTN,Inactive
STNILD,Active
MANHTN,Active
MANHTN,Active
QUEENS,Active
MANHTN,Active
UNSPEC,Active
QUEENS,Active
MANHTN,Active
MANHTN,Active
QUEENS,Active
MANHTN,Inactive
MANHTN,Inactive
MANHTN,Active
BRKLYN,Inactive
MANHTN,Active
MANHTN,Active
MANHTN,Active
MANHTN,Active
MANHTN,Inactive
UNSPEC,Active
MANHTN,Active
MANHTN,Active
MANHTN,Active
MANHTN,Active
QUEENS,Active
QUEENS,Active
QUEENS,Active
QUEENS,Active
BRKLYN,Active
MANHTN,Active
MANHTN,Active
MANHTN,Active
UNSPEC,Active
MANHTN,Active
MANHTN,Active
UNSPEC,Active
QUEENS,Active
QUEENS,Active
MANHTN,Active
QUEENS,Active
QUEENS,Active
MANHTN,Inactive
MANHTN,Active
QUEENS,Inactive
MANHTN,Active
MANHTN,Inactive
MANHTN,Active
QUEENS,Active
MANHTN,Active
MANHTN,Inactive
MANHTN,Inactive
MANHTN,Active
MANHTN,Active
QUEENS,Active
QUEENS,Active
QUEENS,Active
BRKLYN,Inactive
QUEENS,Active
