biblioid,report_abstract,date
93,"Report on the Nehemiah Project in Morrisania, Bronx. The project area bounded by Trinity Avenue, Jackson Avenue, East 158th Street, and East 160th Street was home to a vibrant multi-ethnic, multi-national community in the late 19th century and it is found to be highly likely that remains of this history were preserved in the project area. Archaeological testing is recommended to identify any of these remains especially backyard cisterns and privies.",1994
69,"Project on a site located in Melrose, Bronx between Third Ave, E. 156th Street, Brook Ave, and Bergen Ave. Complimentary to an earlier report detailing the site's prehistory, this report identifies three lots within the site that have the potential to yield historically significant deposits from the late-1800's. The lots were once the long-time residences of three families- the Gerkins, Lerchs, and Herlichs- and could provide valuable information about the lives of immigrants in Melrose's 19th century German-American community.",1994
112,"This volume is a collection of appendices from reports on archaeological investigations carried out at the Barclays Bank Office Tower Site, at 75 Wall Street. Appendix A details the projects personnel and their qualifications. Appendix B provides the New York State Historical Archaeological Site Inventory Form for the site. Appendix C is a collection of the historic data specific to the archaeological site including maps, land grants. Appendix D provides tables and charts on the depositional units of each lot within the project boundaries. The remaining appendixes detail the analysis of floral and faunal remains recovered, and the final section of this report provides a diagnostic of the prehistoric artifacts found during site excavation.",1983
197,"The following report documents the results of archaeological testing in the Stuyvesant Heights neighborhood of Brooklyn. This survey conducted physical testing of subsurface deposits in order to investigate the presence or absence of archaeological features, such as wells, privies, cisterns, architectural features and road surfaces, between Marcy Avenue and Delmonico Place along Block 1730 and 1732. This survey was unable to locate any significant archaeological resources within the area of proposed development.",1991
60,"Report on the history of the project area bounded by Broadway, 234th Street and Putnam Avenue  in Kingsbridge, Bronx. Researchers conclude that the site may still hold evidence of the prehistoric occupation of the western Bronx since construction activity on the lot has been limited; Archaeological testing is recommended.",1988
144,"This report is an evaluation of the potential for archaeological sensitivity in Bedford-Stuyvesant, Brooklyn, New York. This survey examines the potential for prehistoric and historic remains at Block 1883. Lots 13-20 & 27, located at 45-59 Taaffe Place & 796 Kent Avenue. This survey utilized cartographic, and atlas information to obtain historical information about the project area. This report furnishes information about sewerage in neighborhood during the late 19th century. The above survey concludes that certain lots within the project area have a high potential of yielding significant archaeological data.",1998
170,"Project on the Naval Hospital Cemetery located within the Brooklyn Navy Yard. While most of the burials in the cemetery were relocated in 1926, researchers  found 517 burials that were not documented as removed from the cemetery. This report examines the possible reasons for this lack of documentation. Special emphasis is placed on the history of military burial practices and the demographics of those bodies not documented as removed. Included in the report is a list of the names and dates of death of the burials in question.",1999
47,"Project on the Melrose Commons Urban Renewal Area between E. 156th St, East 163rd St, Melrose Ave, Courtlandt Ave, Park Ave, Brook Ave, Third Ave, and St. Ann's Ave in the Bronx. The report examines the project area's potential for archaeologically significant deposits based on the known prehistoric, historic, and architectural sites in the area. Included in the report is a lot by lot description of the deed holders for the properties within the project area beginning with the mid-19th century.",2000
122,"This report is the fifth installment in a six volume report on archaeological excavations carried out during the Hanover Square Project. This volume is dedicated to appendices F-K. These appendices provide analysis of pipe stem fragments, artifact groupings, conservation techniques, and a preliminary report on floral remains retrieved during excavation.",1982
186,"The following report is an assessment of archaeological sensitivity in Downtown, Brooklyn, New York. This report disseminates the results of a documentary survey carried out on Block 169 Lot 36. This survey consults cartographic, directory, and in order to obtain information on the earliest landowners of these properties. This survey concludes that this site has a low potential for containing both significant prehistoric and historic archaeological resources, and does not recommend further archaeological testing at the site.",1990
190,"The following report is an assessment of archaeological sensitivity in the neighborhood of Williamsburg, Brooklyn, New York. This report disseminates the results of literature of historic resources at the Caribe Village Site, Block 2429. This survey integrates archival and cartographic information in order to identify prehistoric and historic archaeological resources. This survey concludes that there is a low potential for significant prehistoric and historic resources and a moderate potential for the preservation of mid-19th century features such as privies at the site.",1991
