title,borough
Bartow-Pell Estate Carriage House Site Archaeological Report.  For: The International Garden Club and Beyer Blinder Belle.,X
"Phase IA Cultural Resources Assessment, New Horizons Retail Development, Bronx, New York.  CEQR 94DME007X   [Multiple authors]",X
"Phase IA Archaeological Assessment, New York City Department of Environmental Protection Water Quality Facility Plan, Paerdegat Basin, Brooklyn, N.Y.  For: Allee King Rosen & Fleming, Inc.  CEQR 92-DEP051K, Revised, September 1993.",K
"Phase IA - 1B Archaeological Investigations of the Proposed Area for the Construction of Six Tennis Courts on the Parade Grounds of Van Cortlandt Park, The Bronx, New York. Submitted to: City of New York Department of Parks and Recreation.",X
"Archaeological Assessment Report Phase IA, Greenpoint-Williamsburg Rezoning, Part 2 of 4 - Lot Histories, Summary Data; 04DCP003K]",K
"Secondary Level Documentary Research Block 2380 Lots 6-8 and Block 2382 Lot 20, Melrose Commons URA, Bronx, New York.  For: New York City Department of City Planning.  CEQR 88-087X",X
"Archaeological and Historical Sensitivity Evaluation of the Brown Memorial Baptist Church Development Project. Kings County,  Brooklyn, New York.   [457 465 Waverly Ave.] For: Tunolb Construction Co., Inc. Draft. CEQR 91-075K.",K
"Broadway Triangle Partnership Housing Project, Brooklyn, New York.  Archaeological Testing Report, Blocks 1721, 1722, 1726, 1731.  For: NYC HPD.  CEQR 86-304K   (William I. Roberts, IV)",K
"An Archaeological Assessment of 12-16 Everit Street (Block 200 Lot 13/Part of 11), Brooklyn, New York.  For: The Pryde Corporation.  CEQR 90-219K",K
"Weeksville Master Plan EAS, Phase IA Archaeological Assessment of the Cultural Facility Site",K
"Technical Proposal For A Stage 1B Survey, The Proposed Juvenile Detention Center and 40th Precinct Station House, Bronx, New York.  For: New York City Department of Juvenile Justice, New York, New York.  CEQR 88-012X",X
"Melrose Commons URA Preliminary (DEIS), Bronx, New York, Historical And Archaeological Field Inspection And Documentary Research.  For: New York City Department of Environmental Assessment Program.  CEQR 88-087X",X
"Cultural Resource Assessment, Proposed Croton Water Treatment Plant, Van Cortlandt Park, Croton Woods Site, Bronx, New York.  98DEP027   [Multiple authors]",X
"A Geomorphological and Archaeological Study in Connection with the New York and NJ Harbor Navigation Project, Upper and Lower Bay, Port of NY & NJ, Kings, Queens, New York and Richmond Counties, NY, etc. NJ",Y
"Block 3070, Lot 10-14, 140 Johnson Ave., Nueva Vista Site, Williamsburg, Brooklyn.  Stage 1B Archaeological Field Reconnaissance Survey.  96HPD003K",K
Stage 1B Cultural Resource Survey Report Of Nine Continuous Split Spoon Borings:  The Red Hook Pollution Control Project (Contract 1B-1 and 1B-2),K
"Archaeological And Historical Sensitivity Evaluation Of Caribe Village Development Project, Williamsburgh, Brooklyn, New York.  For: New York City Department of Housing Preservation and Development.  CEQR 88-083K   (William I. Roberts, IV)",K
"Archaeological Data Recovery [testing report in Appendix 2]  Excavations at the Shaft 21B Project Site near Kent and Willoughby Avenues, Brooklyn, New York.  For: KISKA Construction Corporation.  CEQR 89-119K",K
"Tibbett Gardens Project Site, Bronx, New York, Second Level Study.  For: Allee King Rosen & Fleming, Inc.  CEQR 87-164X   [Multiple authors]",X
"Archaeological and Historical Sensitivity Evaluation, Park Plaza, 523 Kent Avenue, Williamsburg, Brooklyn, New York.  DCP/PR-CEQR-K",K
"Cultural Resource Reconnaissance, Metropolitan Technology Center, Brooklyn, New York.  For: Energy and Environmental Analysts, Inc.  82-248K",K
"Archaeological Excavations at Van Cortlandt Park, the Bronx, 1990-1992.",X
"Saratoga Square Urban Renewal Area, Brooklyn, New York,  Field Testing Revised.  For: The City of New York Department of Housing and Development. CEQR 89-232K (June 1994)",K
"Archaeological Sensitivity Assessment, Proposed Solid Waste Processing Building, 222 Morgan Ave, City of Brooklyn, Kings County, New York.  CEQR 98DOS004K.",K
"Tales of Five Points: Working-Class Life in Nineteenth Century New York [6 volumes] Vol. IV Basic Artifact Inventory The Court House Block (Block 160) Part 2 of 2 (Yamin, Rebecca)",M
"Phase IA Literature Review and Archaeological Sensitivity Assessment, LIU Wellness Center Blocks 2086 and 2087.  City of Brooklyn, Kings County, New York.",K
"Cultural Resource Investigation Stage 2 and Quarry Investigation Survey.  For: Chapel Farm II, Riverdale, New York.  (March 1993) CEQR 85-325X   (Cultural Resource Consultants and Historical Perspectives, Inc.; Philip LaPorta)",X
"Tales of Five Points: Working-Class Life in Nineteenth Century New York [6 volumes] Vol. VI The Long and Short, Being a Compendium of 18th and 19th C. Clay Tobacco Pipes from the 5 Points Site, Block 160, NYC  (Yamin, Rebecca)",M
