boo_event,boo_hours,boo_act,boo_trade,boo_misc,+ with boo_sqlidentity,- with boo_sqlidentity
21267,1.0,10,Plumber,-,,1125.0
892192,1.0,20,Blacksmith,-,,10117860.0
931198,0.5,10,Plumber,-,,10107224.0
1252515,0.333333,20,Plumber,-,,13440816.0
1202069,1.5,10,Plumber,-,,13412792.0
1136916,1.0,10,Plumber,-,,12692913.0
1100106,0.5,10,Plumber,-,,12559968.0
1276563,1.0,20,Plumber,-,,13467241.0
1112411,1.0,10,Painter,-,,13435735.0
1175708,1.0,20,Painter,-,,13171505.0
945049,0.5,20,Painter,-,,10992766.0
970352,0.16,20,City Park Worker,-,,10559329.0
1171666,0.5,10,Gardener,-,,13376569.0
1271476,1.5,20,Plumber,-,,13460968.0
2232426,0.5,10,,-,,14848268.0
409556,1.0,20,Electrician,-,,1293752.0
890806,1.0,10,Painter,-,,11471774.0
1195205,0.25,20,Plumber,-,,13376958.0
1042177,2.0,10,Plumber,-,,11765387.0
966129,2.0,10,Carpenter,-,,10723952.0
21291,5.0,10,Plumber,-,,1241.0
1201322,1.5,10,Plumber,-,,13380159.0
932885,1.0,10,Maintenance Worker,-,,10106815.0
1083559,1.5,10,Plumber,-,,12166389.0
1206042,1.0,20,Maintenance Worker,-,,13385040.0
423923,1.0,20,,-,,1323195.0
1149902,1.0,20,Blacksmith,-,,12754434.0
1126565,1.0,20,Blacksmith,-,,12435001.0
981652,2.0,10,Plumber,-,,10957161.0
899454,0.5,10,Blacksmith,-,,10902325.0
1142920,1.0,20,Plumber,-,,13032181.0
996900,0.5,20,Painter,-,,10927337.0
702493,1.0,10,Blacksmith,-,,11827561.0
1150976,0.083333,20,Maintenance Worker,-,,12863143.0
1119333,8.0,10,Machinist,-,,12384307.0
1253167,7.0,10,Plumber,-,,13445314.0
1095863,0.5,10,Maintenance Worker,-,,12003087.0
1194681,0.33,20,Plumber,-,,13389857.0
1136646,1.0,10,Blacksmith,-,,13405451.0
1267601,4.0,10,Plumber,-,,13459847.0
1152074,0.5,20,Plumber,-,,12931323.0
1126542,1.0,20,Carpenter,-,,12529795.0
1181407,1.5,10,Plumber,-,,13297383.0
1025439,1.0,20,Carpenter,-,,11507499.0
126687,3.5,10,,-,,120955.0
997930,7.0,10,Painter,-,,10970133.0
1189295,2.0,10,Carpenter,-,,13366740.0
1257877,1.0,20,Painter,-,,13446310.0
1158468,1.0,20,City Park Worker,-,,12877225.0
399839,1.0,20,Painter,-,,1320195.0
1075619,8.0,10,Machinist,-,,12117684.0
1193020,1.5,10,Blacksmith,-,,13471528.0
1081786,1.166667,10,Plumber,-,,11933091.0
1156697,0.333333,20,Maintenance Worker,-,,13193820.0
1235224,1.75,10,Plumber,-,,13427828.0
1171438,1.0,10,Plumber,-,,13124259.0
1117268,3.0,10,Plumbers Helper,-,,12644495.0
1198365,1.0,20,Plumber,-,,13378963.0
954384,1.0,10,Plumber,-,,10355103.0
1099830,0.166667,20,Electrician,-,,12051387.0
1219092,1.5,10,Plumber,-,,13422593.0
922389,-4.0,10,Plumber,-,11140165.0,
1094875,1.0,10,Carpenter,-,,13380467.0
1230085,4.0,10,Plumber,-,,13438145.0
1210604,2.5,10,Carpenter,-,,13393868.0
1085292,0.25,10,Plumber,-,,12219205.0
684963,2.0,10,Blacksmith,-,,11086548.0
1240049,2.0,10,Plumber,-,,13427492.0
1206116,0.5,20,Blacksmith,-,,13384433.0
1221175,2.0,10,Plumber,-,,13421774.0
968637,2.0,10,Plumber,-,,10885034.0
1181886,3.0,10,Carpenter,-,,13332142.0
1232258,2.0,10,Blacksmith,-,,13423721.0
1188357,1.0,10,Plumber,-,,13374098.0
75219,2.0,10,Plumber,-,,1320361.0
1021699,0.5,10,Plumber,-,,11459218.0
2090647,1.0,10,,-,,14630188.0
984962,0.75,10,Plumber,-,,11263827.0
376163,1.5,10,Plumber,-,,1104055.0
1220488,1.0,20,Carpenter,-,,13416032.0
1102308,0.25,10,Blacksmith,-,,13409986.0
1252501,1.0,20,Painter,-,,13443360.0
35177,2.0,10,Painter,-,,12276.0
1024793,0.33,20,Carpenter,-,,11367205.0
1250201,3.0,10,City Park Worker,-,,13440990.0
1198061,1.0,10,Plumber,-,,13374887.0
1256751,0.5,20,Plumber,-,,13446052.0
943942,2.0,10,Plumber,-,,10276361.0
394069,0.016667,20,Plumber,-,,1198429.0
1181286,0.5,20,Plumber,-,,13306073.0
1178987,1.0,10,Plumber,-,,13223866.0
1149896,1.0,20,Blacksmith,-,,12754844.0
1218842,1.0,20,Carpenter,-,,13408518.0
1202465,6.0,10,Carpenter,-,,13379355.0
1249524,5.0,10,Plumber,-,,13438275.0
1079749,0.5,10,Maintenance Worker,-,,11786344.0
989245,2.0,10,Maintenance Worker,-,,10875840.0
424002,0.15,20,,-,,1323466.0
400612,1.0,10,Plumber,-,,1237688.0
1080542,0.5,10,Plumber,-,,12407278.0
1047966,7.0,10,Plumber,-,,11776126.0
842775,1.0,10,Plumber,-,,11577460.0
1152903,0.45,10,Exterminator,-,,12837584.0
119348,6.0,10,Electrician,-,,102408.0
1232522,6.0,10,Painter,-,,13418846.0
1178040,1.0,20,Plumber,-,,13217015.0
1189756,1.0,20,Blacksmith,-,,13395276.0
358973,0.75,10,Maintenance Worker,-,,1093267.0
1095967,1.0,20,Blacksmith,-,,13385768.0
1223281,0.416667,10,Blacksmith,-,,13419846.0
423424,0.5,20,Blacksmith,-,,1337387.0
989503,0.5,20,Plumber,-,,11082801.0
1193164,0.5,10,Plumber,-,,13371923.0
1208256,1.0,10,Plumber,-,,13386833.0
384850,0.5,20,,-,,1138783.0
393214,0.5,20,Plumber,-,,1199722.0
418236,6.0,10,Plumber,-,,1321248.0
960792,2.0,10,Painter,-,,10455032.0
360220,2.0,10,Steamfitter,-,,1032219.0
966181,0.5,10,Plumber,-,,10847719.0
21223,2.0,10,Plumber,-,,1138.0
915262,6.0,10,Painter,-,,13429160.0
1200144,0.5,10,Plumber,-,,13402548.0
1017933,0.33,20,Maintenance Worker,-,,11287507.0
29199,1.0,20,Painter,-,,12405.0
92854,0.001217,20,Maintenance Worker,-,,130653.0
1175759,4.0,10,Painter,-,,13198315.0
943668,0.25,20,Maintenance Worker,-,,10225590.0
922150,0.016667,20,Electrician,-,,10096742.0
1120989,0.45,20,Plumber,-,,12393829.0
1099512,0.25,10,Sheetmetal Worker,-,,12413560.0
1268956,1.0,20,Plumber,-,,13465490.0
1162806,0.5,20,Plumber,-,,12948107.0
1202064,0.5,10,Plumber,-,,13404571.0
1149987,1.0,10,Plumber,-,,12733313.0
1196470,1.0,20,Blacksmith,-,,13440046.0
385417,4.5,10,,-,,1165236.0
1201767,6.0,10,Painter,-,,13378875.0
1013452,2.0,10,Maintenance Worker,-,,11462021.0
1234215,0.333333,20,Plumber,-,,13426885.0
1232890,2.0,10,Blacksmith,-,,13420961.0
1215112,1.0,20,Plumber,-,,13401180.0
968698,0.25,10,Plumber,-,,11626849.0
1238918,3.0,10,Carpenter,-,,13426798.0
360733,0.5,10,Exterminator,-,,1016611.0
