shape_leng,des_year,nys_link
54694.6269511,2016,http://docs.dos.ny.gov/opd/boa/RichmondTerraceBOA.pdf
60173.9226628,2016,http://docs.dos.ny.gov/opd/boa/HarlemRiverBOA.pdf
64192.2783649,2019,http://docs.dos.ny.gov/opd/boa/NorthBrooklynBOA.pdf
89551.7063833,2019,http://docs.dos.ny.gov/opd/boa/PortRichmondBOA.pdf
13993.4410304,2015,http://docs.dos.ny.gov/opd/boa/Greater_Jamaica_BOA_Final_Draft11410.pdf
12337.3055238,2015,http://docs.dos.ny.gov/opd/boa/SoBRO_port_morris_harlem_riverfront_BOA_nomination_report.pdf
6680.37832307,2018,http://docs.dos.ny.gov/opd/boa/FlushingBOA.pdf
23374.1999712,2016,http://docs.dos.ny.gov/opd/boa/CypressHillsBOA.pdf
23849.7854551,2018,http://docs.dos.ny.gov/opd/boa/WestShoreBOA.pdf
78507.4620213,2015,http://docs.dos.ny.gov/opd/boa/SunsetPark_BOA.pdf
