building_id,registration_id,bin,latitude,longitude,bbl,street_name
810355,403301,4311899,40.775924,-73.908924,4008307501,33 STREET
10532,124422,1006137,40.724065,-73.988314,1004440043,EAST 2 STREET
511937,410890,4188250,40.68141,-73.856074,4090540099,101 AVENUE
112,106411,1045579,40.765641,-73.957568,1014630047,1 AVENUE
81542,207203,2014565,40.860138,-73.905038,2032090060,GRAND AVENUE
648510,401319,4085814,40.696033,-73.899664,4035560051,CYPRESS AVENUE
806595,714657,2093731,40.882519,-73.84514,2048990052,EAST 225 STREET
973171,432448,4617818,40.746942,-73.942245,4002680008,44 DRIVE
811440,422746,4450949,40.787149,-73.787016,4058437503,ESTATES LANE
16162,110619,1043092,40.771891,-73.959662,1014090043,EAST 75 STREET
877716,379778,3388522,40.656147,-73.903403,3036390049,MOTHER GASTON BOULEVARD
205719,338495,3061788,40.718719,-73.95679,3023110024,BEDFORD AVENUE
945618,384254,3391827,40.6934,-73.946857,3017670051,HART STREET
900123,383460,3397072,40.7132,-73.945889,3027697501,MANHATTAN AVENUE
218025,311807,3020345,40.674707,-73.980172,3009590072,CARROLL STREET
284392,317423,3100723,40.661351,-73.921735,3046320063,EAST 96 STREET
907105,428844,4538608,40.768802,-73.913222,4006520046,37 STREET
16365,133549,1043198,40.77331,-73.959047,1014120028,EAST 77 STREET
340965,343193,3048580,40.694901,-73.953275,3017530021,MYRTLE AVENUE
10822,114728,1006249,40.726406,-73.98808,1004470042,EAST 5 STREET
381015,329673,3070712,40.70568,-73.927104,3030100027,THAMES STREET
925592,226081,2114608,40.888224,-73.911938,2059037501,WEST 237 STREET
76560,206300,2011049,40.860765,-73.894506,2030230097,ELM PLACE
259,107728,1050444,40.774682,-73.950966,1015620046,1 AVENUE
101992,218665,2057172,40.873926,-73.858409,2046360055,PAULDING AVENUE
230646,373447,3030266,40.677266,-73.95394,3012110029,DEAN STREET
320071,377053,3338852,40.604871,-73.977812,3066520067,KINGS HIGHWAY
139978,308539,3129335,40.631717,-73.988377,3054580006,15 AVENUE
15598,134145,1043916,40.768027,-73.960617,1014247503,EAST 70 STREET
886324,380553,3391233,40.688758,-73.921897,3014810034,MONROE STREET
381223,359322,3052123,40.684696,-73.941272,3018310006,THROOP AVENUE
27780,134950,1007555,40.722399,-73.99733,1004960035,SPRING STREET
34571,104418,1028448,40.774369,-73.979492,1011210012,WEST 68 STREET
352062,370698,3031501,40.673469,-73.951213,3012400027,PARK PLACE
232005,816837,3047564,40.682081,-73.927843,3016820020,DECATUR STREET
235236,336492,3321391,40.734943,-73.95744,3024950074,EAGLE STREET
16642,105636,1041860,40.776092,-73.963685,1013930010,EAST 78 STREET
29568,107234,1078179,40.734476,-74.003045,1006200068,WEST 4 STREET
943151,384709,3407383,40.737355,-73.954595,3024837501,BOX STREET
30006,132996,1010575,40.736378,-73.998643,1006070032,WEST 12 STREET
839985,814889,3338551,40.674604,-73.905496,3036770021,EAST NEW YORK AVENUE
23246,141223,1001115,40.708445,-74.006886,1000687501,JOHN STREET
9460,126426,1010039,40.733304,-74.004788,1005880054,CHRISTOPHER STREET
350376,341881,3027706,40.679904,-73.962677,3011320027,PACIFIC STREET
35642,109267,1030239,40.781955,-73.977587,1011500008,WEST 78 STREET
741614,500813,5019708,40.60483,-74.129874,5007690054,GRAVES STREET
733380,500790,5042152,40.615778,-74.0633,5028290070,EDGEWATER STREET
110164,206384,2005087,40.812343,-73.903448,2026830051,SOUTHERN BOULEVARD
234736,365723,3000229,40.697015,-73.984067,3001210014,DUFFIELD STREET
97804,218083,2042499,40.844556,-73.868606,2040110028,MORRIS PARK AVENUE
808843,342328,3321243,40.714874,-73.958971,3023520025,METROPOLITAN AVENUE
105963,218816,2018158,40.876075,-73.877815,2033430029,RESERVOIR OVAL EAST
892264,381309,3389744,40.641944,-73.909211,3079930055,EAST 89 STREET
896060,225618,2116433,40.855706,-73.882736,2031050028,CROTONA AVENUE
9016,119756,1009770,40.72972,-74.004391,1005820042,CARMINE STREET
81954,214414,2001012,40.816925,-73.928033,2023430010,GRAND CONCOURSE
793625,500797,5000518,40.64305,-74.083843,5000280056,WESTERVELT AVENUE
979083,387479,3390088,40.693312,-73.947636,3017670062,HART STREET
894054,385836,3395397,40.595571,-73.995618,3068897501,BAY 34 STREET
96335,221797,2074663,40.843573,-73.832419,2053940009,MIDDLETOWN ROAD
233155,302281,3066934,40.724204,-73.946068,3026840018,DIAMOND STREET
983115,432462,4443008,40.742503,-73.854098,4020090079,CORONA AVENUE
