unique_id_number,how_to_apply_or_enroll_by_phone,get_help_by_calling_other_than_311,apply_by_mail_call_to_action,brief_excerpt,how_to_apply_or_enroll_in_person
P016en,"<p>     Apply over the phone by calling <a href=""tel:718-935-2067"">718-935-2067</a> (Monday \u2013 Friday, 8 a.m \u2013 3 p.m, except holidays).<br> </p>","<p>     <strong>Call Pre-K admissions</strong> </p> <p>     Call <a href=""tel:718-935-2009"">718-935-2009</a> if you have questions about getting into Pre-K. </p>",,"<p>     Enroll your child in a free, full-day, high-quality Pre-K program. </p>","<ol>     <li>Use <a href=""https://maps.nyc.gov/upk/"" target=""_blank"">Pre-K Finder</a> to research programs and find new choices before completing your application.     </li>     <li>Type in your address to see programs near you.     </li>     <li>Download and fill in the application for the programs of your choice.     </li>     <li>Submit your application online or bring your completed application to a <a href=""http://nyc.gov/schools/welcomecenters"" target=""_blank"">Family Welcome Center</a>.     </li> </ol>"
P013en,,"<p>     <strong>Call if you have questions</strong> </p> <p>     Call NYCHA Section 8 at <a href=""tel:718-707-7771"">718-707-7771</a>. </p>",,<p>     Section 8 helps low-and-moderate-income families rent housing in the private market. </p>,
P097en,,"<p>     <strong>Call Youth Connect</strong> </p> <p>     Call DYCD Youth Connect at <a href=""tel:1-800-246-4646"">1-800-246-4646</a> if you have questions about this program. </p>",,"<p>     High school and college students can participate in paid summer internships at top NYC companies, non-profits, and government agencies. </p>",
P103en,"<p>     Call the National Call Center for Homeless Veterans at <a href=""tel:877-424-3838"">877-424-3838</a>, which will connect you to your local VA homeless program. </p>","<p>     <strong>Call the National Call Center for Homeless Veterans</strong> </p> <p>     Call <a href=""tel:877-424-3838"">877-424-3838</a> to learn if you're eligible and apply. </p>",,<p>     The VA assists homeless veterans and their families find and maintain permanent housing. </p>,"<p>     Veterans can apply in person at the <a href=""https://access.nyc.gov/location/the-va-medical-center/"" target=""_blank"">VA Medical Center</a> in the Bronx or at the <a href=""https://access.nyc.gov/location/the-harbor-va-site/"" target=""_blank"">VA NY Harbor Site</a> in Manhattan. </p>"
P095en,,"<p>     <strong>Call Youth Connect</strong> </p> <p>     Call DYCD Youth Connect at <a href=""tel:800-246-4646"">800-246-4646</a> if you have questions about this program. </p>",,<p>     Train & Earn offers job training and job placement help to unemployed youth who are not in school. </p>,
P015en,"<p>     Call HPD at <a href=""tel:212-863-8494"">212-863-8494</a> to apply if you are living in Mitchell-Lama or Redevelopment Company development housing. </p>","<p>     <strong>Call SCRIE using TTY</strong> </p> <p>     Call <a href=""tel:212-639-9675"">212-639-9675</a> if you have a hard time hearing.<br> </p>",Download the form,<p>     SCRIE can help senior citizens freeze their rent and prevent it from being increased. </p>,"<ol>     <li>If you live in qualified housing, other than Mitchell-Lama or Redevelopment Company development housing, you can apply in person.     </li>     <li>Gather all of the personal documents you'll need to apply. It's OK to bring copies.     </li>     <li>         <strong>Visit the walk-in center:</strong><br>         66 John St, 3rd Floor<br>         New York, NY 10038<br>         Open Monday - Friday, 8:30 a.m. - 4:30 p.m.     </li> </ol>"
P059en,,,,"<p>     Help for young people who have emotional, behavioral, and mental health challenges. </p>",
P019en,"<p>     To apply for Emergency HEAP you must first apply and be approved for regular HEAP. You can apply for Emergency HEAP over the phone by calling <a href=""tel:212-835-7216"">212-835-7216</a>. </p>","<p>     <strong>Call HEAP</strong> </p> <p>     Call the Infoline at <a href=""tel:800-692-0557"">800-692-0557</a> if you have questions about HEAP or <a href=""tel:212-835-7216"">212-835-7216</a> for operator assistance. </p>",Download the form,<p>     HEAP can help you pay for the costs of heating your home during the winter months. </p>,"<ol>     <li>Find a <a href=""https://access.nyc.gov/locations/?programs=6871"" target=""_blank"">HEAP office</a> near you.     </li>     <li>Gather your personal documents and bring them with you to the office.     </li>     <li>You can print and fill out <a href=""https://access.nyc.gov/wp-content/uploads/2017/11/HEAP_ApplInst_EN.pdf"" target=""_blank"">the application</a> before you go in or complete it at the office.     </li> </ol>"
P083en,"<p>     If you are unable to apply online, contact the NYCHA Customer Contact Center to request a paper application at <a href=""tel:718-707-7771"">718-707-7771</a>. </p>","<p>     <strong>Call NYCHA</strong> </p> <p>     Call <a href=""tel:718-707-7771"">718-707-7771</a> if you have questions about public housing. </p>",,<p>     Affordable housing for low-and moderate-income New Yorkers. </p>,"<p>     You can apply online at kiosks available at the NYCHA Customer Contact Centers located at : </p> <p>     478 East Fordham Road (1 Fordham Plaza), 2nd Floor<br>     Bronx, NY 10458 </p> <p>     or </p> <p>     787 Atlantic Avenue, 2nd Floor<br>     Brooklyn, NY 11238 </p> <p>     Centers are open Monday - Friday, 8:00 am - 5:00 pm. </p>"
P035en,,"<p>     <strong>Talk to a counselor now</strong><br> </p> <p>     Call <a href=""tel:888-692-9355"">888-NYC-WELL</a> to speak with a counselor at anytime.<br> </p> <ul>     <li>For Spanish, press 3     </li>     <li>For Chinese, press 4     </li> </ul> <p>     <strong>Call 711</strong> </p> <ul>     <li>If you need relay service for deaf or hard of hearing.     </li> </ul>",,"<p>     Free and private talk, text, or chat mental health services available all day for you or someone you care about. </p>",
