zip_code,phone,address,latitude,:@computed_region_f5dn_yrer,borough
10462,718-935-2278,"1230 Zerega Avenue
 ",40.833586,58,Bronx
11101,718-935-2386,28 11 Queens Plaza,40.75008,39,Queens
11230,718-935-2313,"1780 Ocean Avenue
",40.618915,60,Brooklyn
11217,718-935-2371,"29 Fort Greene Place
(Note: General Education Only)",40.688834,68,Brooklyn (Note: General Education Only)
10001,718-935-2383,"333 Seventh Avenue
",40.747629,11,Manhattan
11233,718-935-2340,"1665 St Mark's Avenue
",40.673138,55,Brooklyn
11354,718-935-2391,30 48 Linden Place,40.770185,22,Queens
11201,718-935-4908,"131 Livingston Street
(Note: Special Education Only)",40.690743,68,Brooklyn (Note: Special Education Only)
11209,718-935-2331,"415 89th Street
",40.619931,10,Brooklyn
10458,718-935-2178,1 Fordham Plaza,40.860994,35,Bronx
10301,718-935-2402,718 Ocean Terrace,40.608405,30,Staten Island
11435,718-935-2393,90 27 Sutphin Boulevard,40.70234,41,Queens
10027,718-935-2385,"388 125th Street
",40.747629,11,Manhattan
