tostreetname,inspectiondistrict,modifiedon
,59.0,2015-12-03T17:54:48.000
ERICSON DRIVE ENTRANCE SB,27.0,2015-12-03T17:54:48.000
METRO NORTH HUDSON LINE,80.0,2015-12-03T17:54:48.000
PINEAPPLE STREET,57.0,2015-12-03T17:54:48.000
PEDESTRIAN OVERPASS,,2015-12-03T17:54:48.000
ERICSON DRIVE EXIT NB,32.0,2015-12-03T17:54:48.000
EAST  132 STREET,1.0,2015-12-03T17:54:48.000
REMSEN STREET,57.0,2015-12-03T17:54:48.000
THIRD AVENUE BRIDGE,1.0,2015-12-03T17:54:48.000
,44.0,2015-12-03T17:54:48.000
,75.0,2015-12-03T17:54:48.000
,91.0,2015-12-03T17:54:48.000
,30.0,2015-12-03T17:54:48.000
,75.0,2015-12-03T17:54:48.000
,,2015-12-03T17:54:48.000
ERICSON DRIVE ENTRANCE NB,32.0,2015-12-03T17:54:48.000
X ISLE PARKWAY ENTRANCE NB,88.0,2015-12-03T17:54:48.000
RIVERSIDE DRIVE,64.0,2015-12-03T17:54:48.000
,65.0,2015-12-03T17:54:48.000
,,2015-12-03T17:54:48.000
BROOKLYN QNS EXPRESSWAY,16.0,2015-12-03T17:54:48.000
,91.0,2015-12-03T17:54:48.000
,8.0,2015-12-03T17:54:48.000
,95.0,2015-12-03T17:54:48.000
,,2015-12-03T17:54:48.000
,3.0,2015-12-03T17:54:48.000
,,2015-12-03T17:54:48.000
,36.0,2015-12-03T17:54:48.000
QUEENS BOULEVARD,55.0,2015-12-03T17:54:48.000
,3.0,2015-12-03T17:54:48.000
AMTRAK RR,2.0,2015-12-03T17:54:48.000
AMTRAK RR,,2015-12-03T17:54:48.000
MINTHORNE STREET,26.0,2015-12-03T17:54:48.000
FDR DRIVE EXIT SB,12.0,2015-12-03T17:54:48.000
BODY OF WATER,76.0,2015-12-03T17:54:48.000
HOYT AVENUE,15.0,2015-12-03T17:54:48.000
BROOKLYN BRIDGE,3.0,2015-12-03T17:54:48.000
SHORE PARKWAY ENTRANCE EB,78.0,2015-12-03T17:54:48.000
,12.0,2015-12-03T17:54:48.000
FDR DRIVE ENTRANCE NB,65.0,2015-12-03T17:54:48.000
FDR DRIVE ENTRANCE NB,1.0,2015-12-03T17:54:48.000
