neighborhood_tabulation_area_1,number_of_public_computer_2,residential_broadband_isp_1
South Ozone Park,1900-01-03T19:00:00.000,Medium High
Eastchester-Edenwald-Baychester,1900-01-03T18:00:00.000,Medium High
Bushwick North,1900-01-03T16:00:00.000,High
Auburndale,1900-01-01T20:00:00.000,Medium High
Astoria,1900-01-06T06:00:00.000,High
Dyker Heights,1900-01-04T00:00:00.000,High
Forest Hills,1900-01-08T16:30:00.000,High
Arden Heights,1899-12-31T00:00:00.000,Medium High
New Springville-Bloomfield-Travis,1900-01-03T15:00:00.000,Low
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1900-01-03T09:00:00.000,High
Hunts Point,1900-01-05T04:00:00.000,Low
Soundview-Bruckner,1899-12-31T00:00:00.000,Medium Low
Mount Hope,1900-01-04T08:00:00.000,Low
Rego Park,1900-01-05T16:30:00.000,High
Rikers Island,1899-12-31T00:00:00.000,Low
Greenpoint,1900-01-02T05:00:00.000,Medium Low
Prospect Lefferts Gardens-Wingate,1900-01-04T13:30:00.000,Low
North Riverdale-Fieldston-Riverdale,1900-01-05T17:30:00.000,Medium Low
Fordham South,1899-12-31T00:00:00.000,Low
Woodlawn-Wakefield,1900-01-04T04:00:00.000,High
Springfield Gardens South-Brookville,1899-12-31T00:00:00.000,Low
East Flushing,1900-01-03T18:00:00.000,Medium High
West Concourse,1900-01-01T16:00:00.000,Low
Central Harlem North-Polo Grounds,1900-01-20T14:30:00.000,Low
Soundview-Castle Hill-Clason Point-Harding Park,1900-01-06T06:00:00.000,Low
Jamaica,1900-01-11T18:00:00.000,Medium Low
Claremont-Bathgate,1900-01-04T06:00:00.000,Low
Bedford Park-Fordham North,1900-01-06T13:30:00.000,Medium Low
Airport,1899-12-31T00:00:00.000,Low
Van Nest-Morris Park-Westchester Square,1900-01-06T21:30:00.000,Medium Low
Gramercy,1900-01-03T12:00:00.000,High
Whitestone,1900-01-01T20:00:00.000,Medium Low
Hudson Yards-Chelsea-Flat Iron-Union Square,1900-01-09T22:00:00.000,High
East Flatbush-Farragut,1900-01-03T10:00:00.000,Medium High
Pomonok-Flushing Heights-Hillcrest,1900-01-04T08:00:00.000,Medium High
Brighton Beach,1900-01-05T08:00:00.000,Medium Low
East Concourse-Concourse Village,1900-01-04T06:30:00.000,Low
Jamaica Estates-Holliswood,1900-01-01T20:00:00.000,Medium Low
Baisley Park,1900-01-03T12:00:00.000,Medium High
Pelham Parkway,1900-01-03T18:00:00.000,Medium Low
Cambria Heights,1900-01-01T23:00:00.000,Medium High
park-cemetery-etc-Bronx,1899-12-31T00:00:00.000,Low
Central Harlem South,1900-01-03T20:00:00.000,Medium Low
Lincoln Square,1900-01-10T21:00:00.000,High
Briarwood-Jamaica Hills,1900-01-01T20:00:00.000,Medium Low
Chinatown,1900-01-06T21:30:00.000,Low
Flatbush,1900-01-10T13:30:00.000,Low
Grymes Hill-Clifton-Fox Hills,1899-12-31T00:00:00.000,Medium High
Upper East Side-Carnegie Hill,1900-01-02T02:00:00.000,High
Bensonhurst West,1900-01-01T08:30:00.000,Medium Low
Midwood,1900-01-03T13:00:00.000,Medium Low
Richmond Hill,1900-01-03T12:00:00.000,Medium High
Queens Village,1900-01-01T20:00:00.000,Medium High
Sunset Park East,1900-01-01T17:30:00.000,High
Parkchester,1900-01-04T10:00:00.000,Medium Low
Georgetown-Marine Park-Bergen Beach-Mill Basin,1900-01-02T00:00:00.000,Medium High
Norwood,1900-01-07T00:00:00.000,Low
park-cemetery-etc-Brooklyn,1900-01-02T22:00:00.000,Low
East Harlem South,1900-01-08T10:00:00.000,Medium High
New Dorp-Midland Beach,1900-01-02T02:00:00.000,Medium High
Glen Oaks-Floral Park-New Hyde Park,1900-01-01T20:00:00.000,High
Highbridge,1900-01-08T05:00:00.000,Low
park-cemetery-etc-Manhattan,1900-01-02T15:00:00.000,Low
East Village,1900-01-06T12:00:00.000,Medium High
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1900-01-07T11:00:00.000,Medium Low
Bushwick South,1900-01-12T23:00:00.000,Medium Low
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,1900-01-05T08:00:00.000,Medium Low
Kew Gardens,1899-12-31T00:00:00.000,Medium Low
Upper West Side,1900-01-07T16:00:00.000,High
North Corona,1900-01-08T02:00:00.000,High
Erasmus,1899-12-31T00:00:00.000,Low
Middle Village,1900-01-03T12:00:00.000,High
West Brighton,1899-12-31T00:00:00.000,Low
Oakwood-Oakwood Beach,1899-12-31T00:00:00.000,Medium High
Borough Park,1900-01-09T21:00:00.000,Low
Hammels-Arverne-Edgemere,1900-01-11T01:00:00.000,Low
Bayside-Bayside Hills,1900-01-01T23:00:00.000,Medium High
East New York (Pennsylvania Ave),1899-12-31T11:00:00.000,Low
Canarsie,1900-01-02T21:00:00.000,Medium High
West Farms-Bronx River,1900-01-03T18:00:00.000,Low
Brooklyn Heights-Cobble Hill,1900-01-03T21:00:00.000,High
Starrett City,1900-01-01T16:00:00.000,Low
Rossville-Woodrow,1900-01-02T01:00:00.000,Medium High
park-cemetery-etc-Queens,1900-01-02T00:00:00.000,Low
Stuyvesant Heights,1900-01-09T03:00:00.000,Low
Morrisania-Melrose,1900-01-06T02:00:00.000,Medium Low
Prospect Heights,1899-12-31T00:00:00.000,High
Stapleton-Rosebank,1900-01-03T02:00:00.000,Medium Low
University Heights-Morris Heights,1900-01-06T20:30:00.000,Low
Carroll Gardens-Columbia Street-Red Hook,1900-01-07T16:00:00.000,Medium Low
Park Slope-Gowanus,1900-01-07T08:00:00.000,High
Murray Hill-Kips Bay,1900-01-05T14:00:00.000,High
Bronxdale,1900-01-08T18:00:00.000,Medium Low
Hollis,1900-01-01T20:00:00.000,Medium High
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,1900-01-03T14:00:00.000,Medium Low
Cypress Hills-City Line,1900-01-03T16:00:00.000,Medium High
Co-op City,1900-01-05T10:00:00.000,Low
West Village,1900-01-08T15:30:00.000,High
Ozone Park,1900-01-01T20:00:00.000,Medium High
Hunters Point-Sunnyside-West Maspeth,1900-01-05T10:00:00.000,Medium High
Charleston-Richmond Valley-Tottenville,1900-01-01T19:00:00.000,Medium Low
Marble Hill-Inwood,1900-01-06T13:30:00.000,Low
Old Town-Dongan Hills-South Beach,1899-12-31T13:00:00.000,Medium High
East New York,1900-01-12T07:00:00.000,Medium Low
Laurelton,1900-01-01T20:00:00.000,Medium High
park-cemetery-etc-Staten Island,1899-12-31T00:00:00.000,Low
Washington Heights North,1900-01-01T22:30:00.000,Low
Crown Heights South,1899-12-31T00:00:00.000,Low
Kensington-Ocean Parkway,1900-01-02T00:00:00.000,Low
Van Cortlandt Village,1900-01-05T18:00:00.000,Low
Flushing,1900-01-10T21:30:00.000,High
Yorkville,1900-01-02T07:00:00.000,High
Seagate-Coney Island,1900-01-08T17:00:00.000,Medium Low
Lower East Side,1900-01-13T08:00:00.000,Low
Rosedale,1900-01-01T20:00:00.000,High
Allerton-Pelham Gardens,1900-01-01T23:00:00.000,Medium High
Sunset Park West,1900-01-03T21:00:00.000,High
East Williamsburg,1900-01-04T14:00:00.000,High
Ridgewood,1900-01-03T15:00:00.000,High
Murray Hill,1899-12-31T14:00:00.000,Medium High
Jackson Heights,1900-01-05T14:00:00.000,Medium High
Stuyvesant Town-Cooper Village,1899-12-31T00:00:00.000,High
Mariner's Harbor-Arlington-Port Ivory-Graniteville,1900-01-02T14:00:00.000,Medium Low
Old Astoria,1900-01-04T11:00:00.000,High
Lenox Hill-Roosevelt Island,1900-01-10T20:30:00.000,High
College Point,1900-01-01T20:00:00.000,Medium High
Kingsbridge Heights,1899-12-31T00:00:00.000,Low
Clinton Hill,1900-01-05T20:00:00.000,High
Bensonhurst East,1900-01-04T00:00:00.000,Medium Low
Turtle Bay-East Midtown,1900-01-07T23:00:00.000,High
Bedford,1900-01-04T21:00:00.000,Medium High
Far Rockaway-Bayswater,1900-01-09T16:00:00.000,Medium High
