school,d75_capacity,forecast_capacity,needed_tocomplete
PROJECT #1,,405,6.68
PROJECT #1,,416,6.8
PROJECT #18,,730,10.46
P.S. @ 7120 NEW UTRECHT AVENUE,0.0,451,3.13
PROJECT #50,,730,20.59
P.S. @ 120-08 JAMAICA AVENUE,96.0,696,0.0
P.S. @ 137-23 45 AVENUE,96.0,696,0.0
FLUSHING HS #2,0.0,25,0.0
PROJECT #59,,730,2.41
PROJECT #34,,600,6.8
ELMHURST EDUCATIONAL CAMPUS,0.0,50,0.0
P.S. 48,0.0,23,0.0
P.S. 188 ADDITION,0.0,288,0.0
P.S.@ 1 BEACH 39 STREET,96.0,419,0.0
P.S. 177,0.0,47,0.0
FLUSHING HS #1,0.0,50,0.0
P.S. 197,0.0,23,0.0
FAR ROCKAWAY HS,0.0,37,0.0
PROJECT #2,,571,8.26
PROJECT #42,,600,18.55
PROJECT #2,,451,5.87
EDWARD R. MURROW HS,0.0,75,0.0
PROJECT #41,,730,9.97
I.S. 228,0.0,35,0.0
I.S. @ 46 VERONA STREET,96.0,557,0.0
PROJECT #1,,475,6.77
I.S./H.S. @ 45 CLEVELAND PLACE,96.0,1350,0.0
PROJECT #36,,600,6.75
PROJECT #7,,600,4.24
PROJECT #21,,730,5.36
PROJECT #61,,730,6.2
P.S. @ 2 HUDSON SQUARE,0.0,433,1.65
PROJECT #1,,451,6.49
PROJECT #24,,600,4.38
I.S. 25,0.0,119,0.0
PROJECT #1,,451,6.8
P.S./IS. 187 ADDITION,0.0,342,4.36
I.S. @ 44-59 45 AVENUE,0.0,599,8.39
PROJECT #1 HS,,496,8.17
P.S. @ 23-10 43 AVENUE,96.0,547,0.0
PROJECT #1,,332,4.67
CURTIS HS,0.0,12,0.0
PROJECT #17,,605,8.44
H.S. @ 425-447 OVINGTON AVENUE,96.0,676,0.0
PROJECT #1,,451,6.71
P.S. @ 257 FRANKLIN STREET,0.0,451,5.24
P.S./I.S. @ WESTERN RAILYARDS,0.0,686,98.26
PROJECT #11,,600,18.54
MEDGAR EVERS COLLEGE PREP SCHOOL ANNEX,0.0,595,4.38
FAR ROCKAWAY HS,0.0,59,0.0
P.S. @ 1631-1659 ZEREGA AVENUE,96.0,547,9.17
PROJECT #27,,730,6.23
PROJECT #1,,730,13.77
P.S. @ 8802 5 AVENUE,96.0,547,0.0
PROJECT #9,,461,7.89
I.S. 157,0.0,46,0.0
HIGHBRIDGE ENVIRONMENTAL EDUCATION CAMPUS,0.0,23,0.0
PROJECT #1,,451,6.79
PROJECT #23,,730,10.45
P.S. @ 6389-6393 BROADWAY,96.0,547,0.0
PROJECT #3,,730,5.2
PROJECT #19,,700,6.26
I.S. 101,12.0,104,0.0
PROJECT #28,,730,10.11
PROJECT #1,,428,7.9
PROJECT #1,,451,0.0
PROJECT #8,,600,4.24
PROJECT #4,,600,4.15
P.S./I.S. @ 27 LANDIS AVENUE,96.0,764,13.09
P.S. 19 ADDITION,96.0,330,0.0
FOREST HILLS HS ANNEX,0.0,743,7.0
