total_est_cost,bbl,actual_est_compl,design_start
118.01,,30-Aug,26-Feb
60.0,,30-Mar,26-Jul
207.58,,28-Sep,24-Mar
96.05,,30-Jun,26-Mar
60.0,,31-May,27-Feb
118.0,,30-Aug,26-May
50.0,,30-Aug,26-Feb
77.0,,30-Sep,26-May
45.0,4077740165.0,29-Mar,25-Mar
3.97,4052610001.0,26-Sep,25-Feb
118.0,,30-Jun,26-Jun
1.42,4050020001.0,26-Sep,25-Feb
60.85,1021790365.0,30-Jun,26-Feb
151.31,3060650028.0,29-Mar,24-Oct
4.17,4021260014.0,26-Sep,25-Mar
96.0,,30-Jun,26-Jul
0.63,2025270058.0,26-Sep,25-Mar
76.0,,30-Sep,26-Aug
7.39,3067340109.0,26-Sep,25-Apr
0.4,3067690018.0,26-Sep,25-Sep
96.0,,31-Mar,27-Mar
118.26,,30-Aug,26-Aug
77.03,,31-May,27-Jan
76.02,,Feb-30,27-Jan
48.99,,30-Mar,26-Jul
106.59,,Sep-32,28-Mar
118.01,,30-May,26-Jul
0.98,3066310001.0,26-Sep,25-Apr
62.72,,30-Sep,26-Jul
3.73,4050020001.0,26-Sep,25-Feb
0.54,3055190001.0,26-Sep,25-Apr
96.02,,31-Mar,26-Sep
96.19,,30-Jun,26-Jul
118.01,,Sep-32,28-Feb
96.0,,30-Sep,26-Aug
76.0,3024860001.0,30-Apr,25-Nov
77.0,,31-Jan,27-Feb
5.33,2055470001.0,25-Sep,24-Sep
77.0,,31-Mar,26-Oct
153.18,2039910087.0,29-Sep,25-Apr
115.11,,29-Apr,25-Mar
77.01,,Jun-31,27-Jul
169.56,4093300001.0,28-Sep,23-Nov
80.14,,Sep-31,27-Jul
71.35,,29-Sep,18-Apr
0.94,4016000061.0,25-Sep,24-Sep
59.84,,Sep-31,27-Jul
77.68,3061800033.0,30-Jun,26-Feb
78.01,,Apr-31,26-Dec
55.0,,30-Jul,26-Aug
76.75,,29-Apr,26-Mar
60.0,,31-Aug,27-May
135.88,2058411968.0,29-Mar,24-Oct
1.21,3070840001.0,26-Sep,25-Feb
0.68,5000220001.0,26-Sep,25-Apr
222.43,3005230001.0,27-Aug,21-May
0.82,4157360001.0,26-Sep,25-Feb
77.0,,30-Aug,26-Jul
99.1,4021890002.0,29-Sep,24-Dec
95.53,5002270024.0,27-Sep,23-Nov
77.0,,Aug-32,28-Jan
48.99,,30-Mar,26-Jul
92.43,,31-May,26-Oct
176.1,4004360021.0,28-Sep,23-Apr
1.82,4157360001.0,25-Sep,24-Sep
210.16,,30-Apr,24-Mar
48.0,,30-Mar,26-Jul
213.77,3012890025.0,29-Sep,21-Feb
60.0,,31-Mar,27-Jul
489.68,,29-May,24-Mar
182.89,3058730077.0,28-Aug,24-Mar
